1 init
2 Random Walk : 0.6707706885778746
3 addClause -56 -59 -21 
4 addClause 2 18 32 
5 addClause -41 -46 40 
6 addClause -18 29 40 
7 addClause -60 -59 -43 
8 addClause -31 32 13 
9 addClause 8 13 42 
10 addClause -53 16 -54 
11 addClause 38 -26 -51 
12 addClause 41 -31 33 
13 addClause 40 7 -32 
14 addClause -7 -44 25 
15 addClause -34 -33 -2 
16 addClause 10 58 51 
17 addClause 3 30 53 
18 addClause 16 7 -40 
19 addClause 19 57 -4 
20 addClause -34 -7 -14 
21 addClause 6 -19 7 
22 addClause 52 13 22 
23 addClause 20 -53 18 
24 addClause 44 29 60 
25 addClause -48 -62 -58 
26 addClause -36 -6 1 
27 addClause -6 -14 -39 
28 addClause 26 50 3 
29 addClause 5 44 -53 
30 addClause 38 -36 5 
31 addClause -9 7 55 
32 addClause 51 27 -6 
33 addClause -57 -25 -36 
34 addClause -9 44 -18 
35 addClause 42 20 38 
36 addClause 53 42 43 
37 addClause 49 -49 -59 
38 addClause -48 51 -23 
39 addClause -8 -29 42 
40 addClause -3 -57 -31 
41 addClause -45 -28 -22 
42 addClause -27 57 55 
43 addClause -26 -41 35 
44 addClause -3 51 -45 
45 addClause -43 -36 -22 
46 addClause 43 48 37 
47 addClause 55 -12 20 
48 addClause -58 61 -45 
49 addClause -18 -61 -31 
50 addClause 34 27 -60 
51 addClause 17 -3 44 
52 addClause -9 -55 -62 
53 addClause 2 -19 -56 
54 addClause 25 -30 -24 
55 addClause -11 29 61 
56 addClause 59 25 -27 
57 addClause 39 12 -33 
58 addClause 55 40 -14 
59 addClause 51 21 15 
60 addClause 18 -53 10 
61 addClause -20 -39 55 
62 addClause -2 33 57 
63 addClause -37 -56 -54 
64 addClause -14 -41 -53 
65 addClause 20 55 51 
66 addClause 25 7 -45 
67 addClause -3 -49 61 
68 addClause 15 10 51 
69 addClause -40 7 -39 
70 addClause 42 -10 43 
71 addClause 5 33 -21 
72 addClause 18 45 -57 
73 addClause 9 33 -52 
74 addClause 32 46 -18 
75 addClause -22 3 -59 
76 addClause -42 -32 44 
77 addClause -48 25 24 
78 addClause 12 20 46 
79 addClause 56 -14 39 
80 addClause 47 45 -20 
81 addClause 46 7 -19 
82 addClause 31 27 -2 
83 addClause 14 20 31 
84 addClause -6 -46 -43 
85 addClause -3 52 39 
86 addClause -21 -58 47 
87 addClause -48 10 -51 
88 addClause -11 15 27 
89 addClause 6 -49 -41 
90 addClause 1 -49 4 
91 addClause -15 -12 -31 
92 addClause 49 -22 7 
93 addClause -7 24 43 
94 addClause 41 -41 51 
95 addClause 58 59 -61 
96 addClause 37 47 61 
97 addClause -21 8 35 
98 addClause -36 21 6 
99 addClause 45 -13 1 
100 addClause -51 41 17 
101 addClause 45 5 21 
102 addClause 51 -7 34 
103 addClause 40 -53 61 
104 addClause -8 42 -34 
105 addClause -14 24 43 
106 addClause -44 -36 28 
107 addClause 53 46 -17 
108 addClause 22 -27 -48 
109 addClause 58 -19 18 
110 addClause 9 49 -19 
111 addClause 43 -40 55 
112 addClause 7 -14 -35 
113 addClause 10 34 -10 
114 addClause -35 -61 -16 
115 addClause 51 -45 11 
116 addClause -47 59 -17 
117 addClause 21 -7 13 
118 addClause 21 43 1 
119 addClause -27 44 -33 
120 addClause -28 -26 49 
121 addClause -47 16 -52 
122 addClause -58 -11 15 
123 addClause 1 61 37 
124 addClause -15 36 -8 
125 addClause -1 -28 55 
126 addClause -61 37 52 
127 addClause 17 16 4 
128 addClause 43 4 38 
129 addClause -39 60 -13 
130 addClause -41 -45 -50 
131 addClause -18 -32 -50 
132 addClause 60 -21 -5 
133 addClause -20 -52 54 
134 addClause -5 53 -52 
135 addClause -2 -34 7 
136 addClause 46 54 -50 
137 addClause 39 -40 -13 
138 addClause 55 52 -40 
139 addClause -59 -55 -42 
140 addClause 1 -44 28 
141 addClause 49 29 -49 
142 addClause 50 -21 56 
143 addClause 40 26 -47 
144 addClause -6 -32 -41 
145 addClause 42 45 18 
146 addClause 7 35 50 
147 addClause 55 3 -5 
148 addClause 6 60 -57 
149 addClause 31 -4 7 
150 addClause -17 55 -62 
151 addClause 49 -7 43 
152 addClause -62 -59 -38 
153 addClause 48 20 35 
154 addClause 9 23 54 
155 addClause 35 -21 -20 
156 addClause 15 -16 -14 
157 addClause -47 49 -21 
158 addClause 27 42 -55 
159 addClause 56 6 45 
160 addClause 26 5 -30 
161 addClause 34 2 -22 
162 addClause -18 37 -11 
163 addClause -56 -48 -59 
164 addClause -28 -54 20 
165 addClause 13 29 -27 
166 addClause -30 30 -27 
167 addClause 9 4 -59 
168 addClause 48 -14 59 
169 addClause -12 -17 -20 
170 addClause -25 30 57 
171 addClause 60 -50 -33 
172 addClause -42 -54 13 
173 addClause -34 52 -59 
174 addClause 61 -26 12 
175 addClause -9 23 -5 
176 addClause -33 -7 -21 
177 addClause -45 27 -4 
178 addClause -18 -11 24 
179 addClause 24 35 14 
180 addClause -33 18 2 
181 addClause 31 6 -47 
182 addClause 53 -53 -30 
183 addClause 22 50 -2 
184 addClause -26 -38 -15 
185 addClause 32 -19 46 
186 addClause -33 -53 -13 
187 addClause 33 9 44 
188 addClause 33 -55 28 
189 solve
190 addClause -193 192 166 
191 addClause 49 -224 -174 
192 addClause 194 -37 140 
193 addClause -142 -181 37 
194 addClause -69 -154 -139 
195 addClause -229 -30 153 
196 addClause 143 83 27 
197 addClause 90 211 80 
198 addClause -128 91 -149 
199 addClause 173 -198 -12 
200 addClause 3 -7 75 
201 addClause 206 -219 -147 
202 addClause -52 120 -108 
203 addClause 203 -98 155 
204 addClause 112 -20 -52 
205 addClause -139 -98 -63 
206 addClause -34 185 -16 
207 addClause -41 -146 191 
208 addClause -163 81 -198 
209 addClause -112 -67 -81 
210 addClause 140 106 212 
211 addClause 167 79 219 
212 addClause 93 -89 157 
213 addClause 91 -10 36 
214 addClause -183 -56 61 
215 addClause 33 -83 211 
216 addClause -197 186 -31 
217 addClause -186 19 -82 
218 addClause -41 46 109 
219 addClause 82 113 -137 
220 addClause -130 152 149 
221 addClause -55 105 178 
222 addClause 203 226 120 
223 addClause 88 53 -58 
224 addClause -153 23 137 
225 addClause -186 24 -62 
226 addClause 222 112 -59 
227 addClause 28 -171 186 
228 addClause -146 51 -122 
229 addClause -212 -110 78 
230 addClause -199 174 -108 
231 addClause 200 -215 -66 
232 addClause 156 209 -189 
233 addClause -167 25 199 
234 addClause 48 23 -30 
235 addClause -164 137 -96 
236 addClause 129 195 217 
237 addClause 15 70 -90 
238 addClause 145 -200 -160 
239 addClause 12 157 -138 
240 addClause -192 -189 78 
241 addClause 221 162 -165 
242 addClause -32 -67 -7 
243 addClause 180 -182 -134 
244 addClause -87 -225 -227 
245 addClause 96 14 19 
246 addClause 122 -100 -123 
247 addClause 219 227 -222 
248 addClause 117 -150 -171 
249 addClause 74 177 88 
250 addClause -45 -176 92 
251 addClause 4 -91 170 
252 addClause 185 -138 -22 
253 addClause 6 186 -130 
254 addClause -183 -90 221 
255 addClause -61 176 -46 
256 addClause 147 -77 79 
257 addClause -211 -134 46 
258 addClause 138 -190 48 
259 addClause 61 37 -14 
260 addClause 118 -47 90 
261 addClause 186 20 -125 
262 addClause 157 -76 -20 
263 addClause 7 106 61 
264 addClause -154 -212 76 
265 addClause 112 -232 107 
266 addClause -112 227 156 
267 addClause 35 83 -187 
268 addClause 210 32 231 
269 addClause 181 193 -185 
270 addClause -165 -196 166 
271 addClause -172 136 127 
272 addClause 184 188 100 
273 addClause 147 -180 -32 
274 addClause -29 134 11 
275 addClause 58 167 -16 
276 addClause 29 7 -184 
277 addClause -33 7 -57 
278 addClause -160 46 -197 
279 addClause 12 204 209 
280 addClause 54 -6 81 
281 addClause -133 144 137 
282 addClause -40 -11 82 
283 addClause -194 -80 132 
284 addClause -201 111 206 
285 addClause -16 171 -136 
286 addClause -191 97 -73 
287 addClause -174 -33 -60 
288 addClause 2 157 -72 
289 addClause -171 -134 169 
290 addClause -30 -144 143 
291 addClause 198 205 181 
292 addClause -62 -188 109 
293 addClause 92 20 -218 
294 addClause -199 120 215 
295 addClause -177 -4 158 
296 addClause 92 -185 -175 
297 addClause 65 81 31 
298 addClause 25 -23 -199 
299 addClause -153 -212 43 
300 addClause -107 168 109 
301 addClause -66 102 109 
302 addClause 146 53 -50 
