GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SAT4J core,org.sat4j.minisat.core,SizeLCDS,72,25,8,2,15,9,6,5,2,4
SAT4J core,org.sat4j.minisat.core,Glucose2LCDS,4,30,0,4,2,8,1,4,1,2
SAT4J core,org.sat4j.minisat.core,SimplificationType,34,0,0,0,2,0,1,0,1,0
SAT4J core,org.sat4j.minisat.core,IntQueue,157,0,16,0,27,0,16,0,8,0
SAT4J core,org.sat4j.minisat.core,SizeComparator,18,3,2,0,4,1,2,1,1,1
SAT4J core,org.sat4j.minisat.core,GlucoseLCDS,24,158,3,13,5,38,4,13,1,8
SAT4J core,org.sat4j.minisat.core,Pair,0,17,0,0,0,7,0,5,0,5
SAT4J core,org.sat4j.minisat.core,Solver.new ConflictTimerAdapter() {...},12,0,0,0,3,0,2,0,2,0
SAT4J core,org.sat4j.minisat.core,Solver.new Comparator() {...},4,62,2,4,2,10,2,3,0,2
SAT4J core,org.sat4j.minisat.core,Solver.new LearnedConstraintsDeletionStrategy() {...},129,0,12,0,20,0,10,0,4,0
SAT4J core,org.sat4j.minisat.core,Solver.new TimerTask() {...},8,23,1,1,2,6,1,2,0,2
SAT4J core,org.sat4j.minisat.core,Solver.new ISimplifier() {...},36,188,9,25,5,39,9,13,1,4
SAT4J core,org.sat4j.minisat.core,Solver.new ISimplifier() {...},12,202,5,23,1,34,6,13,1,4
SAT4J core,org.sat4j.minisat.core,Solver.new ISimplifier() {...},2,4,0,0,1,2,1,2,1,2
SAT4J core,org.sat4j.minisat.core,Solver.new ISimplifier() {...},2,88,2,12,1,15,3,7,1,2
SAT4J core,org.sat4j.minisat.core,SearchParams,67,68,6,0,14,25,4,13,1,13
SAT4J core,org.sat4j.minisat.core,AgeLCDS,105,9,10,0,16,4,8,1,3,1
SAT4J core,org.sat4j.minisat.core,Solver,1826,2592,238,295,402,634,229,181,72,69
SAT4J core,org.sat4j.minisat.core,ConflictTimerAdapter,0,39,0,2,0,14,0,6,0,5
SAT4J core,org.sat4j.minisat.core,MemoryBasedConflictTimer,33,8,4,0,8,3,5,1,3,1
SAT4J core,org.sat4j.minisat.core,CircularBuffer,12,114,3,7,3,27,2,8,0,5
SAT4J core,org.sat4j.minisat.core,IPhaseSelectionStrategy,1,4,0,0,1,4,1,4,1,4
SAT4J core,org.sat4j.minisat.core,Solver.5.new ConflictTimerAdapter() {...},13,0,0,0,3,0,2,0,2,0
SAT4J core,org.sat4j.minisat.core,Heap,64,306,24,30,5,60,21,24,2,16
SAT4J core,org.sat4j.minisat.core,CounterBasedPrimeImplicantStrategy,353,0,38,0,62,0,22,0,3,0
SAT4J core,org.sat4j.minisat.core,Counter,14,17,0,0,4,7,3,3,3,3
SAT4J core,org.sat4j.minisat.core,LearnedConstraintsEvaluationType,0,34,0,0,0,4,0,1,0,1
SAT4J core,org.sat4j.minisat.core,ActivityLCDS,91,20,10,2,18,8,8,4,3,3
SAT4J core,org.sat4j.minisat.core,ConflictTimerContainer,22,31,2,2,5,7,3,4,2,3
SAT4J core,org.sat4j.minisat.core,ActivityComparator,0,23,0,2,0,5,0,3,0,2
SAT4J core,org.sat4j.minisat.core,SolverStats,230,170,0,8,60,45,21,23,21,19
SAT4J core,org.sat4j.minisat.core,RestartStrategy,0,4,0,0,0,4,0,4,0,4
SAT4J core,org.sat4j.minisat.core,QuadraticPrimeImplicantStrategy,460,0,76,0,82,0,43,0,5,0
SAT4J core,org.sat4j.minisat.core,LearnedConstraintsDeletionStrategy,0,4,0,0,0,4,0,4,0,4
SAT4J core,org.sat4j.minisat.core,GlucoseConflictTimer,11,48,1,3,3,14,2,4,1,3
SAT4J core,org.sat4j.minisat.core,WatcherBasedPrimeImplicantStrategy,397,0,46,0,70,0,31,0,8,0
SAT4J core,org.sat4j.tools.counting,ParityConstraintGenerator,155,0,20,0,41,0,20,0,10,0
SAT4J core,org.sat4j.tools.counting,AbstractApproxMC,119,0,8,0,33,0,12,0,8,0
SAT4J core,org.sat4j.tools.counting,AllVariablesSamplingSet.new IteratorInt() {...},28,0,2,0,4,0,4,0,3,0
SAT4J core,org.sat4j.tools.counting,AllVariablesSamplingSet,20,0,0,0,6,0,4,0,4,0
SAT4J core,org.sat4j.tools.counting,ApproxMC,112,0,6,0,20,0,11,0,8,0
SAT4J core,org.sat4j.tools.counting,ApproxMC2,260,0,14,0,53,0,17,0,10,0
SAT4J core,org.sat4j.tools.counting,ModelCounterAdapter,59,0,0,0,20,0,8,0,8,0
SAT4J core,org.sat4j.tools.counting,SamplingSetAdapter,25,0,0,0,7,0,5,0,5,0
SAT4J core,org.sat4j.fuzzer,DeltaDebugger,837,0,110,0,190,0,65,0,10,0
SAT4J core,org.sat4j.fuzzer,TraceFactory,240,1419,49,207,66,335,41,93,1,5
SAT4J core,org.sat4j.fuzzer,Trace,64,67,2,0,18,12,4,4,3,4
SAT4J core,org.sat4j.fuzzer,TraceRunner,963,0,110,0,172,0,59,0,4,0
SAT4J core,org.sat4j.fuzzer,Helper.new SolutionFoundListener() {...},0,10,0,0,0,3,0,2,0,2
SAT4J core,org.sat4j.fuzzer,BasicSolutionEnumerator,154,0,10,0,43,0,8,0,3,0
SAT4J core,org.sat4j.fuzzer,Helper,457,243,54,24,94,54,41,19,12,9
SAT4J core,org.sat4j.fuzzer,APIFuzzer,42,88,6,10,13,20,7,3,1,1
SAT4J core,org.sat4j.minisat.restarts,LubyRestarts,11,96,0,4,4,27,3,12,3,10
SAT4J core,org.sat4j.minisat.restarts,FixedPeriodRestarts,11,32,0,2,4,10,3,7,3,6
SAT4J core,org.sat4j.minisat.restarts,ArminRestarts,6,84,0,4,3,19,2,8,2,6
SAT4J core,org.sat4j.minisat.restarts,MiniSATRestarts,6,46,0,2,3,12,2,7,2,6
SAT4J core,org.sat4j.minisat.restarts,Glucose21Restarts,2,106,1,9,1,23,2,11,1,7
SAT4J core,org.sat4j.minisat.restarts,NoRestarts,3,6,0,0,2,3,2,3,2,3
SAT4J core,org.sat4j.minisat.restarts,EMARestarts,2,90,1,3,1,18,2,8,1,7
SAT4J core,org.sat4j.minisat.constraints.card,MaxWatchCard,467,367,62,48,82,73,52,32,16,13
