1 init
2 Data Structure Factory : MixedDataStructureSingleWL
3 Order : VarOrderHeap/varDecay=0.7771965372843195
4 Phase Selection Strategy : PhaseInLastLearnedClauseSelectionStrategy
5 Learning Strategy : FixedLengthLearning/maxlength=11
6 Restart Strategy : FixedPeriodRestarts/period=1549
7 Simplification Type : NO_SIMPLIFICATION
8 Search Params : varDecay=0.9936196122960688/claDecay=1.2281713965648926/conflictBoundIncFactor=2.5264963567147185/initConflictBound=119
9 Learned Constraints Evaluation Type : ACTIVITY
10 Random Walk : 0.4067610734575825
11 DB simplification
12 addClause -70 -20 64 
13 addClause -80 -18 -75 
14 addClause 23 32 29 
15 addClause 5 68 21 
16 addClause -1 10 75 
17 addClause 73 -17 -49 
18 addClause 11 -68 29 
19 addClause 13 54 4 
20 addClause -52 -31 -38 
21 addClause 63 27 -53 
22 addClause -67 -64 31 
23 addClause -37 53 13 
24 addClause 77 -70 -3 
25 addClause 18 -67 36 
26 addClause -60 55 -77 
27 addClause 42 73 53 
28 addClause 54 9 12 
29 addClause 80 -63 63 
30 addClause 27 11 53 
31 addClause -6 -12 29 
32 addClause 26 -60 54 
33 addClause -15 16 -44 
34 addClause -31 -82 16 
35 addClause 58 -49 -12 
36 addClause 73 5 12 
37 addClause 70 -61 -36 
38 addClause 40 -16 72 
39 addClause 59 -50 12 
40 addClause 23 74 37 
41 addClause -12 68 19 
42 addClause -53 -45 -22 
43 addClause -8 -55 66 
44 addClause 24 -8 -46 
45 addClause 44 -72 65 
46 addClause -69 -23 50 
47 addClause -2 69 -76 
48 addClause 11 -30 30 
49 addClause -40 66 -33 
50 addClause 22 -30 -75 
51 addClause -75 -35 -83 
52 addClause -26 31 1 
53 addClause 14 -72 -49 
54 addClause 59 21 67 
55 addClause 30 34 33 
56 addClause 37 4 52 
57 addClause -61 58 4 
58 addClause -39 -11 8 
59 addClause -40 68 32 
60 addClause -23 52 73 
61 addClause -15 74 -69 
62 addClause -42 80 40 
63 addClause 24 -58 48 
64 addClause -18 36 -41 
65 addClause -80 18 -4 
66 addClause 18 16 63 
67 addClause -41 -49 -7 
68 addClause 15 1 66 
69 addClause 30 -42 -46 
70 addClause -1 28 8 
71 addClause 22 -63 46 
72 addClause -68 50 23 
73 addClause -47 -45 -65 
74 addClause -52 -32 52 
75 addClause 51 22 70 
76 addClause -79 11 74 
77 addClause -30 52 62 
78 addClause -65 25 36 
79 addClause 6 -63 -56 
80 addClause -36 24 -63 
81 addClause 59 41 -9 
82 addClause 60 33 24 
83 addClause -47 -54 51 
84 addClause 31 62 59 
85 addClause -54 -23 60 
86 addClause -55 16 -83 
87 addClause 24 62 5 
88 addClause 55 -15 -1 
89 addClause -64 69 72 
90 addClause -81 77 10 
91 addClause -63 27 64 
92 addClause -51 -13 -1 
93 addClause -62 -3 37 
94 addClause 39 54 -68 
95 addClause -36 -48 -75 
96 addClause -23 -21 -47 
97 addClause 45 39 -41 
98 addClause -70 -77 -64 
99 addClause -51 -80 50 
100 addClause 16 -58 -2 
101 addClause 76 -29 23 
102 addClause 56 -69 -83 
103 addClause -60 -32 -38 
104 addClause -63 -68 -9 
105 addClause 51 25 -2 
106 addClause 31 -49 57 
107 addClause 2 19 -20 
108 addClause 9 56 -59 
109 addClause 28 -36 -31 
110 addClause -78 48 -54 
111 addClause -26 -50 6 
112 addClause 32 67 30 
113 addClause -72 29 66 
114 addClause 15 -70 23 
115 addClause -55 9 -63 
116 addClause -38 -54 45 
117 addClause 40 77 2 
118 addClause 42 -31 -64 
119 addClause 32 -40 73 
120 addClause -25 8 42 
121 addClause -6 -74 -35 
122 addClause -80 42 -37 
123 addClause -68 72 -3 
124 addClause -53 51 79 
125 addClause -29 48 -2 
126 addClause -64 -44 -59 
127 addClause 60 -16 68 
128 addClause 71 -72 55 
129 addClause -31 34 27 
130 addClause 62 21 44 
131 addClause 71 -15 23 
132 addClause -38 -41 1 
133 addClause -36 5 -10 
134 addClause 80 -82 66 
135 addClause 76 41 3 
136 addClause 56 -34 29 
137 addClause 59 -82 -66 
138 addClause 45 -43 19 
139 addClause 43 66 -42 
140 addClause 65 44 75 
141 addClause 9 -35 -34 
142 addClause 53 -10 55 
143 addClause -24 -52 44 
144 addClause -19 -69 -1 
145 addClause 50 61 -64 
146 addClause -57 82 -80 
147 addClause -2 52 -36 
148 addClause 32 9 -75 
149 addClause -47 19 -44 
150 addClause -3 -18 -22 
151 addClause 39 57 -28 
152 addClause 5 -76 42 
153 addClause 16 50 -18 
154 addClause 12 69 -69 
155 addClause 15 -27 -3 
156 addClause 78 -9 -61 
157 addClause 14 -76 -70 
158 addClause 6 -24 -18 
159 addClause 23 7 76 
160 addClause 39 17 -16 
161 addClause -76 -81 -48 
162 addClause 21 -4 81 
163 addClause -29 -79 -66 
164 addClause -56 6 3 
165 addClause -72 -69 -4 
166 addClause 29 4 34 
167 addClause -4 -38 -57 
168 addClause -77 39 75 
169 addClause 17 70 -5 
170 addClause 49 33 -8 
171 addClause 76 -24 65 
172 addClause 47 52 46 
173 addClause 66 -83 8 
174 addClause -50 -24 11 
175 addClause 19 -16 6 
176 addClause -55 -16 71 
177 addClause -16 -40 21 
178 addClause -73 66 8 
179 addClause 57 56 -47 
180 addClause -22 -58 1 
181 addClause 68 12 -62 
182 addClause 1 -62 -24 
183 addClause 6 -76 -57 
184 addClause 61 -30 23 
185 addClause 40 19 38 
186 addClause 22 -20 -83 
187 addClause -43 -61 64 
188 addClause 55 -38 34 
189 addClause -45 82 -61 
190 addClause 75 -73 -27 
191 addClause -61 -41 35 
192 addClause -31 82 17 
193 addClause 60 10 -1 
194 addClause 81 -50 -33 
195 addClause -15 -11 56 
196 addClause 75 54 -46 
197 addClause 50 -34 45 
198 addClause 11 60 45 
199 addClause 67 49 61 
200 addClause -68 -7 12 
201 addClause 50 80 57 
202 addClause 29 65 -83 
203 addClause -23 42 34 
204 addClause 40 59 47 
205 addClause 67 -56 60 
206 addClause 8 25 36 
207 addClause -36 33 49 
208 addClause -63 12 33 
209 addClause 67 80 -10 
210 addClause 27 50 11 
211 addClause -54 -71 23 
212 addClause -9 -16 27 
213 addClause -41 26 41 
214 addClause -44 3 9 
215 addClause 52 -39 -28 
216 addClause 72 52 19 
217 addClause -39 -19 43 
218 addClause 42 -20 -35 
219 addClause 3 -66 -41 
220 addClause 46 -22 54 
221 addClause -13 69 64 
222 addClause -68 -36 23 
223 addClause -48 51 -30 
224 addClause 57 63 -58 
225 addClause -54 -48 -18 
226 addClause 4 -57 59 
227 addClause -65 9 -22 
228 addClause 61 -35 16 
229 addClause 31 67 -35 
230 addClause -16 59 6 
231 addClause -53 -55 37 
232 addClause -31 -50 46 
233 addClause -40 12 -4 
234 addClause 20 14 -51 
235 addClause -28 -46 66 
236 addClause 36 45 -64 
237 addClause 58 -78 -52 
238 addClause -48 -35 53 
239 addClause 28 2 17 
240 addClause -20 33 -5 
241 addClause 34 -51 -34 
242 addClause 62 -6 18 
243 addClause -41 -42 73 
244 addClause 35 69 -65 
245 addClause 62 -20 20 
246 addClause -59 -5 -54 
247 addClause -1 -4 -32 
248 addClause 80 76 66 
249 addClause 78 23 -43 
250 addClause -24 13 26 
251 addClause -27 66 -48 
252 addClause 24 18 -38 
253 addClause 12 5 -68 
254 addClause 63 72 -37 
255 addClause -38 34 -77 
256 addClause -28 11 -55 
257 addClause 82 -59 -13 
258 addClause 9 32 -1 
259 addClause 43 -23 18 
260 addClause 77 40 75 
261 assuming 79 28 10 35 -3 36 9 67 
262 addClause 170 -119 186 
263 addClause -171 -261 -173 
264 addClause 138 271 -112 
265 addClause -277 56 -18 
266 addClause 3 -253 -153 
267 addClause 158 -263 28 
268 addClause -16 -52 50 
269 addClause 27 -238 -123 
270 addClause 176 180 206 
271 addClause 26 -164 115 
272 addClause 52 -84 160 
273 addClause -39 -176 -23 
274 addClause 90 -105 -24 
275 addClause 22 -44 90 
276 addClause 73 -278 -259 
277 addClause -134 32 151 
278 addClause 94 100 43 
279 addClause 53 -109 12 
280 addClause 11 24 -198 
281 addClause -248 81 -127 
282 addClause 70 -77 -70 
283 addClause -186 255 -41 
284 addClause -95 -215 56 
285 addClause -255 161 -114 
286 addClause -170 224 -45 
287 addClause 141 -181 -104 
288 addClause 150 -121 171 
289 addClause 277 221 174 
290 addClause -12 -127 -115 
291 addClause 115 1 -54 
292 addClause 165 201 31 
293 addClause -15 -168 48 
294 addClause -209 -173 160 
295 addClause 254 -54 -62 
296 addClause -84 238 -135 
297 addClause 245 46 62 
298 addClause 166 276 -159 
299 addClause 91 -139 3 
300 addClause 186 -104 -86 
301 addClause -210 -58 -196 
302 addClause 64 153 -88 
303 addClause 242 152 268 
304 addClause 215 -124 41 
305 addClause 38 90 68 
306 addClause 133 -132 149 
307 addClause -236 -227 -216 
308 addClause -239 82 -184 
309 addClause 35 -217 -274 
310 addClause 146 -91 -27 
311 addClause -15 8 -135 
312 addClause -275 19 263 
313 addClause 53 -72 -225 
314 addClause -99 196 255 
315 addClause 150 121 -54 
316 addClause -25 -242 -213 
317 addClause 253 214 245 
318 addClause -99 270 -278 
319 addClause -277 21 16 
320 addClause 27 -167 126 
321 addClause -95 168 -252 
322 addClause 187 -274 47 
323 addClause -2 -53 222 
324 addClause 20 104 172 
325 addClause -102 140 -19 
326 addClause -161 120 125 
327 addClause 127 -88 -242 
328 addClause -42 -144 -177 
329 addClause 43 146 164 
330 addClause 106 -223 241 
331 addClause -94 -5 134 
332 addClause -146 -120 38 
333 addClause 160 -71 161 
334 addClause 208 -41 -244 
335 addClause 251 -160 -157 
336 addClause 74 178 -29 
337 addClause -156 8 -104 
338 addClause 87 111 -100 
339 addClause -159 160 -142 
340 addClause 56 -90 -94 
341 addClause -277 247 -165 
342 addClause 32 265 71 
343 addClause 103 -170 -124 
344 addClause 47 -259 275 
345 addClause -139 237 -104 
346 addClause 185 -249 -164 
347 addClause 59 -19 64 
348 addClause 220 84 104 
349 addClause 64 127 76 
350 addClause -228 -249 -188 
351 addClause -36 190 98 
352 addClause -73 -86 -160 
353 addClause 80 23 222 
354 addClause 226 135 -196 
355 addClause 272 -126 -9 
356 addClause 110 257 -228 
357 addClause 94 -60 222 
358 addClause 89 63 226 
359 addClause -188 116 -120 
360 addClause -32 -107 -112 
361 addClause -262 39 -172 
362 addClause 73 -226 74 
363 addClause -131 205 -62 
364 addClause 207 100 43 
365 addClause -9 -234 -148 
366 addClause 46 -55 -213 
367 addClause 152 260 128 
368 addClause 276 -58 -104 
369 addClause -138 -16 28 
370 addClause 223 -95 -49 
371 addClause -200 90 -240 
372 addClause -45 71 -84 
373 addClause -54 104 -257 
374 addClause 114 268 254 
375 addClause -153 4 -27 
376 addClause -41 24 -144 
377 addClause 68 -36 45 
378 addClause 227 204 -12 
379 addClause -105 72 -137 
380 addClause 85 147 192 
381 addClause 26 -53 146 
382 addClause -232 -251 -261 
383 addClause 176 266 200 
384 addClause 41 -32 115 
385 addClause -163 24 268 
386 addClause 262 261 196 
387 addClause 72 274 -193 
388 addClause -22 -238 110 
389 addClause 232 62 237 
390 addClause 258 -226 -158 
391 addClause -174 -245 -126 
392 addClause 154 262 -44 
393 addClause 240 -160 -187 
394 addClause 168 255 -252 
395 addClause -171 -101 270 
396 addClause -170 190 244 
397 addClause 267 1 61 
398 addClause 74 -46 -84 
399 addClause -259 159 19 
400 addClause -120 -47 35 
401 addClause -71 -183 137 
402 addClause -39 126 266 
403 addClause -224 -116 -219 
404 addClause 92 207 257 
405 addClause 150 27 228 
406 addClause -12 262 -141 
407 addClause -238 207 -61 
408 addClause -207 -203 174 
409 addClause 194 170 -122 
410 addClause 66 204 27 
411 addClause 254 -43 231 
412 addClause 277 56 -270 
413 addClause 263 -152 36 
414 addClause -162 -271 -142 
415 addClause -151 186 31 
416 addClause 204 259 85 
417 addClause -271 7 100 
418 addClause -266 45 186 
419 addClause -118 196 -29 
420 addClause 109 26 118 
421 addClause 276 -181 -205 
422 addClause -227 -171 -10 
423 addClause -42 -59 27 
424 addClause 52 -114 -152 
425 addClause 99 170 104 
426 addClause -74 -148 3 
427 addClause -243 202 -188 
428 addClause 22 11 10 
429 addClause -56 154 166 
430 addClause -58 36 -252 
431 addClause -51 136 -76 
432 addClause 128 -102 -172 
433 addClause -31 49 -137 
434 addClause -241 127 -159 
435 addClause 106 -124 215 
436 addClause -112 -164 -158 
437 addClause -230 -54 58 
438 addClause 131 171 261 
439 addClause -20 47 -122 
440 addClause -14 275 -238 
441 addClause -75 -217 -189 
442 addClause -241 266 14 
443 addClause -118 -152 179 
444 addClause 236 53 -217 
445 addClause 143 60 -19 
446 addClause 92 54 125 
447 addClause -116 -2 101 
448 addClause 103 210 220 
449 addClause -64 -41 103 
450 addClause -144 193 -75 
451 addClause 152 98 -34 
452 addClause 19 -233 224 
453 addClause 107 -36 19 
454 addClause -9 -171 62 
455 addClause -46 -26 -49 
456 addClause -219 101 230 
457 addClause 260 -56 -278 
458 addClause -247 -67 -29 
459 addClause -95 -83 53 
460 addClause 196 -97 -223 
461 addClause 87 -71 -102 
462 addClause -104 -180 -158 
463 addClause 82 66 -197 
464 addClause -157 -206 -5 
465 addClause 90 -260 -222 
466 addClause -185 195 -248 
467 addClause -272 144 263 
468 addClause 121 -93 -116 
469 addClause -62 -146 92 
470 addClause -142 142 109 
471 addClause 245 -272 -218 
472 addClause -272 -221 -197 
473 addClause 23 254 -44 
474 addClause -82 -178 -241 
475 addClause 49 66 -41 
476 addClause -272 -117 -273 
477 addClause -21 -11 189 
478 addClause 205 -107 13 
479 addClause 14 206 -80 
480 addClause 216 -251 39 
481 addClause -55 41 77 
482 addClause -206 155 179 
483 addClause -60 -90 -94 
484 addClause -21 72 -61 
485 addClause 215 87 -86 
486 addClause -162 270 221 
487 addClause -125 253 90 
488 addClause 11 244 104 
489 addClause 214 -61 173 
490 addClause 271 31 125 
491 addClause 142 68 -247 
492 addClause 136 -70 -195 
493 addClause -114 -54 90 
494 addClause 103 189 151 
495 addClause -73 30 -188 
496 addClause -47 -180 29 
497 addClause 103 -85 114 
498 addClause -86 110 -113 
499 addClause 97 87 -143 
500 addClause -217 -272 180 
501 addClause 254 -32 66 
502 addClause 129 -201 146 
503 addClause 57 261 -109 
504 addClause -63 -20 125 
505 addClause 77 -40 -176 
506 addClause -273 -164 251 
507 addClause 43 94 -95 
508 addClause -238 182 -254 
509 addClause -55 -143 -247 
510 addClause -151 62 150 
511 addClause 77 237 3 
512 addClause -58 61 118 
513 addClause -15 52 -82 
514 addClause 201 58 107 
515 addClause 70 212 145 
516 addClause -63 -140 148 
517 addClause -186 134 -205 
518 addClause 252 136 -137 
519 addClause 261 -4 61 
520 addClause -159 -270 262 
521 addClause -178 134 178 
522 addClause -39 76 15 
523 addClause -173 260 -149 
524 addClause 25 136 134 
525 addClause -229 -63 204 
526 addClause 151 -259 -110 
527 addClause 255 32 172 
528 addClause 49 -36 113 
529 addClause -47 -135 259 
530 addClause -204 -156 103 
531 addClause 42 -46 100 
532 addClause 33 -65 197 
533 addClause 115 102 -203 
534 addClause -131 -212 -251 
535 addClause 28 -129 182 
536 addClause -181 130 192 
537 addClause 178 56 -35 
538 addClause -15 -144 122 
539 addClause -249 -244 -213 
540 addClause 121 186 -233 
541 addClause 203 -42 204 
542 addClause 92 -151 111 
543 addClause 158 -28 -122 
544 addClause -103 161 18 
545 addClause 124 45 -170 
546 addClause -71 -122 -7 
547 addClause 61 222 7 
548 addClause -158 -219 -136 
549 addClause -257 255 -269 
550 addClause 212 26 13 
551 addClause 264 -211 -122 
552 addClause 239 -88 -38 
553 addClause -232 -130 1 
554 addClause 135 -278 -194 
555 addClause -7 275 -68 
556 addClause 119 181 67 
557 addClause -71 2 -40 
558 addClause -167 185 -12 
559 addClause 32 96 153 
560 addClause 17 -73 -241 
561 addClause -73 35 -263 
562 addClause 89 241 -106 
563 addClause 26 187 -267 
564 addClause 60 84 -107 
565 addClause -265 262 -72 
566 addClause 269 -153 -79 
567 addClause -198 110 -123 
568 addClause 179 130 25 
569 addClause 207 103 -239 
570 addClause 73 54 100 
571 addClause 225 144 10 
572 addClause -266 246 91 
573 addClause 84 -125 -221 
