1 init
2 using solver RESTARTS
3 Random Walk 0.46741541395872843
4 DBS simplification allowed
5 addClause -41 36 -1 
6 addClause 35 -10 36 
7 addClause -38 47 -47 
8 addClause -31 -56 11 
9 addClause -39 -49 -43 
10 addClause 10 38 1 
11 addClause -59 31 17 
12 addClause 35 38 -51 
13 addClause -11 52 50 
14 addClause 19 20 54 
15 addClause 15 46 -1 
16 addClause -44 1 38 
17 addClause 30 -34 24 
18 addClause 41 -53 11 
19 addClause 4 -15 -33 
20 addClause 42 3 -3 
21 addClause -10 9 52 
22 addClause -43 8 18 
23 addClause 32 7 48 
24 addClause 24 21 -41 
25 addClause -19 12 -12 
26 addClause -55 37 -40 
27 addClause -29 1 2 
28 addClause -41 -9 -43 
29 addClause 17 24 11 
30 addClause -30 -4 -45 
31 addClause 10 -50 58 
32 addClause 49 -51 19 
33 addClause 15 25 -6 
34 addClause -58 -12 -59 
35 addClause 35 11 -48 
36 addClause -3 26 9 
37 addClause 2 -15 -56 
38 addClause -57 -15 23 
39 addClause -44 58 -49 
40 addClause 43 34 -30 
41 addClause 28 -44 48 
42 addClause 49 -23 -58 
43 addClause 40 30 -49 
44 addClause 38 -56 22 
45 addClause -31 -32 39 
46 addClause -21 2 37 
47 addClause 24 -51 -17 
48 addClause 29 8 14 
49 addClause 51 -34 34 
50 addClause 35 20 -56 
51 addClause 2 6 -17 
52 addClause 6 44 -44 
53 addClause 46 36 -1 
54 addClause 32 -5 36 
55 addClause 19 53 51 
56 addClause 55 58 32 
57 addClause 33 52 15 
58 addClause 1 24 -53 
59 addClause 21 38 -36 
60 addClause -50 -59 -26 
61 addClause -37 -4 57 
62 addClause 26 7 43 
63 addClause -28 -58 47 
64 addClause -15 41 -5 
65 addClause 43 -22 20 
66 addClause -40 27 -56 
67 addClause -21 -10 -53 
68 addClause -32 44 1 
69 addClause 57 32 -43 
70 addClause -3 -12 36 
71 addClause 57 23 35 
72 addClause 38 -49 36 
73 addClause -41 42 -16 
74 addClause 11 36 -17 
75 addClause -39 -42 25 
76 addClause 36 -36 3 
77 addClause 46 -54 10 
78 addClause -59 55 -8 
79 addClause 5 -48 -30 
80 addClause -38 -3 4 
81 addClause -33 -49 22 
82 addClause -51 49 27 
83 addClause 50 37 7 
84 addClause 9 -58 -18 
85 addClause 11 4 -47 
86 addClause 32 -37 -49 
87 addClause -48 -26 3 
88 addClause -4 27 -46 
89 addClause -4 -34 -55 
90 addClause -58 -53 -12 
91 addClause 6 -57 -11 
92 addClause 10 13 -27 
93 addClause -39 47 5 
94 addClause -48 50 -13 
95 addClause 2 -50 -1 
96 addClause 56 -22 -24 
97 addClause -2 1 52 
98 addClause -33 5 20 
99 addClause -55 -38 -41 
100 addClause -42 53 -1 
101 addClause 17 -8 8 
102 addClause 57 -38 13 
103 addClause -58 41 -26 
104 addClause -21 -55 -39 
105 addClause 42 -35 -34 
106 addClause -35 -12 -6 
107 addClause -5 -17 46 
108 addClause -44 7 -19 
109 addClause -31 -47 -22 
110 addClause -12 -51 40 
111 addClause -18 21 42 
112 addClause 40 55 14 
113 addClause 45 -48 -15 
114 addClause -23 42 20 
115 addClause -45 25 44 
116 addClause 48 47 -44 
117 addClause -33 49 -9 
118 addClause -32 -58 48 
119 addClause 20 24 -59 
120 addClause 54 9 -13 
121 addClause 5 -14 45 
122 addClause 53 -26 -37 
123 addClause 12 -41 -20 
124 addClause 3 -44 28 
125 addClause -36 -49 -41 
126 addClause -22 58 -16 
127 addClause -33 26 -21 
128 addClause -35 14 8 
129 addClause 8 -16 -37 
130 addClause -48 39 -3 
131 addClause -45 42 13 
132 addClause -51 -19 -5 
133 addClause 43 -20 13 
134 addClause -54 -59 -29 
135 addClause 58 18 40 
136 addClause -17 36 -38 
137 addClause 35 -2 15 
138 addClause -58 2 -14 
139 addClause -22 -2 -45 
140 addClause -1 17 21 
141 addClause -45 28 8 
142 addClause 31 -19 -50 
143 addClause 5 19 -24 
144 addClause 49 -35 48 
145 addClause -6 -34 31 
146 addClause -2 14 -9 
147 addClause 38 -36 24 
148 addClause -22 33 -59 
149 addClause 41 -18 42 
150 addClause 6 33 30 
151 addClause 20 -19 49 
152 assuming 2 -16 -58 40 -29 
153 addClause 117 107 -202 
154 addClause -103 229 72 
155 addClause -81 -155 -196 
156 addClause 111 -16 -245 
157 addClause 109 -29 -233 
158 addClause -105 174 119 
159 addClause 203 -42 -74 
160 addClause -23 -35 104 
161 addClause 187 60 -179 
162 addClause -155 54 -88 
163 addClause 79 -241 -23 
164 addClause 64 -239 -199 
165 addClause -137 -148 21 
166 addClause 35 -123 -127 
167 addClause 67 -221 97 
168 addClause 111 75 -11 
169 addClause -107 -150 -149 
170 addClause 32 -110 -66 
171 addClause -43 -206 140 
172 addClause 159 17 -14 
173 addClause 51 -30 -73 
174 addClause -126 -9 149 
175 addClause -236 22 185 
176 addClause -56 49 86 
177 addClause 40 172 31 
178 addClause -32 -242 4 
179 addClause -229 -236 -47 
180 addClause -139 -15 177 
181 addClause 29 127 32 
182 addClause 2 -215 194 
183 addClause -94 -186 -229 
184 addClause 172 -228 57 
185 addClause 4 -136 150 
186 addClause 108 -94 -21 
187 addClause -53 139 -40 
188 addClause 23 84 -189 
189 addClause -100 -11 231 
190 addClause 141 187 -161 
191 addClause 174 -30 -227 
192 addClause -4 -82 190 
193 addClause -109 -32 220 
194 addClause 37 -45 87 
195 addClause 67 -206 136 
196 addClause -45 72 33 
197 addClause -13 209 14 
198 addClause -193 -31 -38 
199 addClause -172 -162 -49 
200 addClause -133 62 -204 
201 addClause -176 -157 -23 
202 addClause 186 223 93 
203 addClause -156 -100 161 
204 addClause 68 -52 94 
205 addClause 241 72 22 
206 addClause 67 183 -116 
207 addClause -240 235 95 
208 addClause -53 155 164 
209 addClause 1 -168 141 
210 addClause 34 -198 -132 
211 addClause 231 92 -120 
212 addClause -21 -119 -229 
213 addClause 210 -29 101 
214 addClause -143 -173 50 
215 addClause 122 -66 58 
216 addClause 56 -206 -193 
217 addClause -40 -12 -20 
218 addClause 9 122 -177 
219 addClause 145 134 -234 
220 addClause 75 129 67 
221 addClause -131 23 231 
222 addClause -63 203 -68 
223 addClause 178 238 -142 
224 addClause 123 -202 85 
225 addClause 8 98 142 
226 addClause 170 17 -114 
227 addClause -209 119 -214 
228 addClause -209 175 -161 
229 addClause -135 59 1 
230 addClause 48 89 -71 
231 addClause -138 -158 173 
232 addClause -119 -234 108 
233 addClause 221 34 236 
234 addClause -89 -72 68 
235 addClause 74 203 10 
236 addClause -28 33 -20 
237 addClause -29 -34 213 
238 addClause 62 33 -119 
239 addClause -71 224 123 
240 addClause 91 -13 59 
241 addClause 206 3 -12 
242 addClause -163 81 12 
243 addClause -153 201 -43 
244 addClause -68 -177 -201 
245 addClause 128 -61 -50 
246 addClause 123 164 143 
247 addClause 9 -106 -190 
248 addClause 244 87 -143 
249 addClause 132 165 -237 
250 addClause -78 -243 145 
251 addClause 14 115 -27 
252 addClause 185 -171 -210 
253 addClause 106 43 91 
254 addClause -57 121 68 
255 addClause 95 16 -191 
256 addClause -237 158 134 
257 addClause -135 -172 -196 
258 addClause 66 -187 41 
259 addClause -186 171 -39 
260 addClause 120 -69 -164 
261 addClause -2 -9 67 
262 addClause -85 -82 -222 
263 addClause -130 -141 118 
264 addClause 38 158 195 
265 addClause 67 -36 161 
266 addClause -49 183 48 
267 addClause 121 -240 178 
268 addClause -81 -191 -74 
269 addClause -75 232 37 
270 addClause -187 22 -234 
271 addClause -213 -222 186 
272 addClause -128 -222 -37 
273 addClause -11 204 -100 
274 addClause 150 -140 222 
275 addClause 195 -148 -59 
276 addClause -167 -204 137 
277 addClause -25 158 -148 
278 addClause 36 -245 32 
279 addClause -72 -128 -48 
280 addClause -43 -95 11 
281 addClause 165 -77 142 
282 addClause -12 -210 -147 
283 addClause 78 220 -183 
284 addClause 1 238 -155 
285 addClause -38 -234 27 
286 addClause 162 -215 2 
287 addClause -148 160 -96 
288 addClause -159 -221 158 
289 addClause 19 -2 -6 
290 addClause 42 204 114 
291 addClause 196 -32 163 
292 addClause 208 178 -107 
293 addClause -208 172 181 
294 addClause -20 -234 -208 
295 addClause 190 24 -158 
296 addClause -151 -237 -64 
297 addClause 17 -187 -10 
298 addClause 90 -30 65 
299 addClause 120 -78 -33 
300 addClause -27 -66 -46 
301 addClause -142 -233 68 
302 addClause -60 149 161 
