1 init
2 Data Structure Factory : CardinalityDataStructureYanMin
3 Learning Strategy : PercentLengthLearning/maxpercent=10
4 Order : PureOrder/period=17
5 Phase Selection Strategy : RandomLiteralSelectionStrategy
6 Restart Strategy : ArminRestarts
7 Search Params : varDecay=0.9225688551269368/claDecay=0.9916611687036042/conflictBoundIncFactor=1.3597819820144195/initConflictBound=96
8 Learned Constraints Evaluation Type : LBD
9 Random Walk : 0.6372049472633162
10 DBS simplification
11 addClause -1 8 -5 
12 addClause 4 1 -9 
13 addClause -9 -12 -1 
14 addClause 7 1 -5 
15 addClause 9 3 -8 
16 addClause 11 -11 -6 
17 addClause -10 -4 -1 
18 addClause -2 -1 -6 
19 addClause -8 1 3 
20 addClause 2 5 1 
21 addClause 3 -12 6 
22 addClause -12 8 -8 
23 addClause 4 -7 1 
24 addClause -7 -1 -10 
25 addClause 2 -12 4 
26 addClause -4 1 -12 
27 addClause 11 -5 -6 
28 addClause -2 7 2 
29 addClause 11 -12 -1 
30 addClause -9 1 -7 
31 addClause 1 -9 -13 
32 addClause 6 3 -5 
33 addClause 9 -7 8 
34 addClause 9 -7 -2 
35 addClause -11 11 -10 
36 addClause -7 -9 5 
37 addClause -3 10 1 
38 addClause 9 5 -10 
39 addClause -4 11 -9 
40 addClause 6 -8 -10 
41 addClause 6 1 -2 
42 addClause 5 -3 4 
43 addClause 9 -3 -9 
44 addClause 10 2 4 
45 addClause 6 -5 3 
46 addClause -11 5 -12 
47 addClause 3 -4 1 
48 addClause 10 -8 -13 
49 addClause -12 -5 2 
50 addClause 7 -11 -3 
51 addClause 9 -9 -5 
52 addClause 4 -12 -1 
53 addClause 8 11 -6 
54 addClause 9 8 -5 
55 addClause 6 -1 -8 
56 addClause -10 1 2 
57 addClause -12 -4 4 
58 addClause 5 9 -5 
59 addClause -11 -6 -8 
60 addClause 7 -9 -5 
61 addClause -11 -4 -8 
62 addClause 10 -7 -5 
63 addClause -12 -2 3 
64 addClause 7 6 10 
65 addClause 5 -5 -9 
66 addClause 11 2 10 
67 addClause 7 6 -2 
68 addClause 2 8 4 
69 addClause -2 -11 3 
70 addClause 4 7 -2 
enumerating
