1 init
2 Data Structure Factory : CardinalityDataStructureYanMax
3 Order : PureOrder/period=16
4 Phase Selection Strategy : PhaseInLastLearnedClauseSelectionStrategy
5 Learning Strategy : ActiveLearning/percent=0.9267748167369434
6 Restart Strategy : NoRestarts
7 Simplification Type : expensiveSimplification
8 Search Params : varDecay=0.9649000146480134/claDecay=0.8849488557442233/conflictBoundIncFactor=0.5279249442013286/initConflictBound=607
9 Learned Constraints Evaluation Type : LBD2
10 Random Walk : 0.5373668876584753
11 DBS simplification
12 addClause -40 -2 52 
13 addClause -74 60 56 
14 addClause -65 -94 -24 
15 addClause -54 -65 -70 
16 addClause 14 33 -46 
17 addClause -75 -18 -90 
18 addClause 46 -61 10 
19 addClause -64 -96 79 
20 addClause -81 30 -60 
21 addClause -33 -41 12 
22 addClause 37 86 -81 
23 addClause -23 -38 94 
24 addClause -79 -69 -5 
25 addClause -80 22 80 
26 addClause 74 10 -85 
27 addClause -45 71 -63 
28 addClause 26 -34 -58 
29 addClause -95 -15 -81 
30 addClause -23 22 -85 
31 addClause -59 9 10 
32 addClause -7 -22 70 
33 addClause -92 38 -83 
34 addClause 13 -69 -62 
35 addClause -55 53 92 
36 addClause -32 24 -37 
37 addClause -28 31 65 
38 addClause 70 70 85 
39 addClause -48 52 -41 
40 addClause 71 45 -9 
41 addClause 22 -65 76 
42 addClause -22 34 -42 
43 addClause 36 -23 -57 
44 addClause 83 -56 -22 
45 addClause 80 -75 81 
46 addClause -75 93 50 
47 addClause -10 55 -64 
48 addClause 11 -55 89 
49 addClause 74 13 -51 
50 addClause -60 51 -95 
51 addClause 33 -88 -31 
52 addClause 10 71 11 
53 addClause -83 -43 -13 
54 addClause -66 -1 -87 
55 addClause -6 94 70 
56 addClause 3 -33 -41 
57 addClause 72 -7 80 
58 addClause 27 38 91 
59 addClause -81 -18 34 
60 addClause 92 45 -84 
61 addClause 25 7 61 
62 addClause -28 23 47 
63 addClause 46 -62 19 
64 addClause -44 -22 50 
65 addClause 69 -77 75 
66 addClause 46 53 19 
67 addClause -29 49 70 
68 addClause 37 -20 -96 
69 addClause -21 96 -2 
70 addClause 60 10 86 
71 addClause -25 60 -82 
72 addClause -91 27 27 
73 addClause -42 80 -83 
74 addClause 91 54 56 
75 addClause -62 5 61 
76 addClause -95 61 -41 
77 addClause -33 16 -94 
78 addClause -97 5 78 
79 addClause 5 39 -24 
80 addClause 9 24 75 
81 addClause -55 66 -87 
82 addClause 8 6 -67 
83 addClause 5 -65 -53 
84 addClause -16 -8 8 
85 addClause -42 -59 44 
86 addClause 68 -67 58 
87 addClause -46 94 -28 
88 addClause 37 -60 -11 
89 addClause 17 -82 2 
90 addClause 34 -86 -35 
91 addClause 4 -28 -66 
92 addClause 27 -40 -26 
93 addClause -41 -87 66 
94 addClause -63 38 -91 
95 addClause -73 74 25 
96 addClause -74 -30 8 
97 addClause -53 -55 -67 
98 addClause -32 -83 85 
99 addClause 72 2 28 
100 addClause 95 45 -57 
101 addClause -72 76 -48 
102 addClause -80 -91 70 
103 addClause -9 -88 54 
104 addClause 47 -61 37 
105 addClause 93 -93 93 
106 addClause 48 -54 -43 
107 addClause 46 50 -25 
108 addClause 85 70 -1 
109 addClause -85 -32 -59 
110 addClause -80 -27 -28 
111 addClause 18 -24 -49 
112 addClause -71 70 -54 
113 addClause 10 -18 -60 
114 addClause -28 -91 -90 
115 addClause 12 55 -68 
116 addClause 42 68 84 
117 addClause 43 75 -60 
118 addClause -47 -75 -58 
119 addClause 85 -94 91 
120 addClause 56 -22 -46 
121 addClause -76 64 -97 
122 addClause -5 -42 -50 
123 addClause 38 64 39 
124 addClause 93 17 71 
125 addClause 63 -89 -52 
126 addClause 34 -62 91 
127 addClause 4 44 61 
128 addClause -55 30 40 
129 addClause -77 -42 55 
130 addClause 22 72 -15 
131 addClause -67 27 60 
132 addClause 57 14 14 
133 addClause 82 53 -47 
134 addClause -5 4 56 
135 addClause -19 -47 20 
136 addClause 60 -34 82 
137 addClause -11 -72 20 
138 addClause 91 -69 -95 
139 addClause -58 -28 60 
140 addClause -96 64 -45 
141 addClause 52 86 -31 
142 addClause 36 15 -75 
143 addClause -86 61 -7 
144 addClause 25 50 15 
145 addClause 56 10 -32 
146 addClause -69 -86 43 
147 addClause -12 46 -69 
148 addClause 69 2 -38 
149 addClause 40 -31 -29 
150 addClause 52 -96 49 
151 addClause 44 -33 40 
152 addClause 42 -79 -42 
153 addClause 81 17 63 
154 addClause 59 -14 -25 
155 addClause -66 47 -27 
156 addClause 38 59 -97 
157 addClause -11 72 -51 
158 addClause -76 60 -71 
159 addClause -32 -7 -25 
160 addClause 16 -89 13 
161 addClause 23 75 -44 
162 addClause 82 -90 -42 
163 addClause 69 -38 -76 
164 addClause -13 29 -91 
165 addClause -52 64 33 
166 addClause -57 -33 6 
167 addClause -52 -95 -46 
168 addClause -59 66 43 
169 addClause 48 -8 -8 
170 addClause 90 72 -45 
171 addClause -60 -48 -19 
172 addClause -52 -8 -84 
173 addClause -42 12 26 
174 addClause -77 -95 49 
175 addClause -67 -9 -84 
176 addClause -24 88 8 
177 addClause 78 46 -15 
178 addClause -96 43 -80 
179 addClause 57 85 82 
180 addClause 4 47 -49 
181 addClause 86 -30 -51 
182 addClause 32 90 -20 
183 addClause -58 -21 74 
184 addClause 56 -29 -33 
185 addClause 60 48 -57 
186 addClause -18 11 65 
187 addClause -52 77 -19 
188 addClause 38 18 -48 
189 addClause -7 76 -71 
190 addClause 29 -18 59 
191 addClause -16 3 17 
192 addClause 90 81 14 
193 addClause -39 -6 63 
194 addClause -45 56 -60 
195 addClause -62 90 70 
196 addClause -57 39 -95 
197 addClause 65 34 -27 
198 addClause -15 36 -2 
199 addClause 73 -12 65 
200 addClause 92 63 70 
201 addClause -52 29 21 
202 addClause -92 47 43 
203 addClause 39 9 -30 
204 addClause 1 -39 -59 
205 addClause 87 -92 -40 
206 addClause 51 -71 -82 
207 addClause -44 12 3 
208 addClause 74 60 -52 
209 addClause 22 65 13 
