1 init
2 using solver PHASE
3 DBS simplification allowed
4 addClause 95 43 56 
5 addClause -35 -178 188 
6 addClause -163 -9 123 
7 addClause -67 73 104 
8 addClause -147 -22 100 
9 addClause -168 151 -19 
10 addClause 123 -162 28 
11 addClause -66 95 -35 
12 addClause -125 -113 -188 
13 addClause -93 -171 147 
14 addClause -80 139 -190 
15 addClause 114 -4 -9 
16 addClause -33 -54 3 
17 addClause 65 -44 127 
18 addClause 51 54 49 
19 addClause -54 129 -99 
20 addClause 7 16 -150 
21 addClause -141 180 -37 
22 addClause 55 -101 -153 
23 addClause 71 -82 -171 
24 addClause 172 10 155 
25 addClause -160 -112 -66 
26 addClause 130 -28 -127 
27 addClause 127 -53 140 
28 addClause -184 93 -78 
29 addClause 141 19 -143 
30 addClause 23 -44 115 
31 addClause -20 -165 157 
32 addClause 116 169 145 
33 addClause 100 -115 -49 
34 addClause -33 82 2 
35 addClause 39 -64 5 
36 addClause 148 85 -125 
37 addClause 93 -88 -69 
38 addClause -145 -61 -92 
39 addClause 118 -45 -28 
40 addClause -117 8 189 
41 addClause -137 20 147 
42 addClause -86 89 179 
43 addClause -132 -64 -38 
44 addClause -175 -147 -151 
45 addClause -103 114 88 
46 addClause -188 -18 138 
47 addClause 102 -154 -144 
48 addClause -74 -5 157 
49 addClause 115 -178 -34 
50 addClause 12 -43 -1 
51 addClause -185 -40 -155 
52 addClause -69 137 -13 
53 addClause 17 -4 -147 
54 addClause -154 24 -27 
55 addClause -18 -178 99 
56 addClause -190 -183 110 
57 addClause -49 -187 69 
58 addClause 61 -136 -117 
59 addClause -91 184 -102 
60 addClause -150 147 52 
61 addClause 9 -46 -39 
62 addClause -143 167 -185 
63 addClause 118 -170 33 
64 addClause 112 70 8 
65 addClause 134 50 95 
66 addClause 107 -78 -84 
67 addClause -187 44 -73 
68 addClause 131 149 173 
69 addClause -90 87 -65 
70 addClause 131 -180 129 
71 addClause -63 -87 43 
72 addClause 157 -172 172 
73 addClause -43 -1 -39 
74 addClause -161 69 5 
75 addClause 97 -103 155 
76 addClause 19 145 92 
77 addClause 52 -133 24 
78 addClause 32 123 77 
79 addClause -16 113 -181 
80 addClause 34 113 151 
81 addClause -124 63 -181 
82 addClause 31 -22 3 
83 addClause -61 -64 176 
84 addClause 59 31 101 
85 addClause 99 50 -73 
86 addClause -173 -114 18 
87 addClause -22 -100 44 
88 addClause -140 105 70 
89 addClause 66 -89 -144 
90 addClause 139 25 150 
91 addClause 80 -6 -59 
92 addClause -168 -99 -83 
93 addClause -164 -150 -119 
94 addClause -128 -8 32 
95 addClause -118 141 64 
96 addClause -108 -16 55 
97 addClause -138 72 45 
98 addClause -46 -33 -161 
99 addClause 118 -64 140 
100 addClause 20 121 -58 
101 addClause -128 -170 69 
102 addClause -95 3 -132 
103 addClause 91 -156 -87 
104 addClause -31 126 76 
105 addClause -166 56 61 
106 addClause -184 -58 -168 
107 addClause 65 -118 188 
108 addClause 46 -73 2 
109 addClause 100 -12 169 
110 addClause 163 -54 -123 
111 addClause -116 160 -37 
112 addClause 26 -59 -58 
113 addClause -154 69 -131 
114 addClause -1 -76 173 
115 addClause 47 -86 172 
116 addClause -177 -178 99 
117 addClause 187 -72 21 
118 addClause 29 25 140 
119 addClause -186 149 133 
120 addClause -117 22 -170 
121 addClause 127 -73 -158 
122 addClause 186 -58 -103 
123 addClause 20 180 -158 
124 addClause -115 -190 -86 
125 addClause 55 -83 73 
126 addClause 63 81 5 
127 addClause 155 167 -83 
128 addClause 107 109 20 
129 addClause -152 22 171 
130 addClause -130 76 -155 
131 addClause 53 -143 55 
132 addClause -174 147 -154 
133 addClause 33 68 -33 
134 addClause -80 122 46 
135 addClause 23 10 56 
136 addClause 129 23 -53 
137 addClause 171 182 -72 
138 addClause 137 -74 -130 
139 addClause 75 46 174 
140 addClause 156 -15 -159 
141 addClause -81 141 83 
142 addClause -122 159 -142 
143 addClause 154 4 -31 
144 addClause 161 30 -162 
145 addClause -87 52 33 
146 addClause -174 -46 25 
147 addClause -135 -190 -18 
148 addClause 51 -93 180 
149 addClause -121 -34 -24 
150 addClause 183 -55 -94 
151 addClause -42 181 -69 
152 addClause -21 -121 -29 
153 addClause 42 -87 136 
154 addClause 163 -13 -34 
155 addClause -167 -185 122 
156 addClause -187 -39 -63 
157 addClause 19 -44 90 
158 addClause -149 -167 154 
159 addClause -149 89 -98 
160 addClause -70 2 69 
161 addClause -137 -84 -147 
162 addClause -66 -152 33 
163 addClause -4 -38 -140 
164 addClause 51 -154 86 
165 addClause -81 62 -110 
166 addClause -71 181 -2 
167 addClause -71 -24 -51 
168 addClause -54 93 17 
169 addClause 158 -157 -116 
170 addClause 92 -118 -165 
171 addClause 43 7 -80 
172 addClause -188 46 -15 
173 addClause -108 -139 187 
174 addClause 105 -137 -121 
175 addClause 39 -139 3 
176 addClause 138 105 27 
177 addClause -102 90 -151 
178 addClause 125 95 -6 
179 addClause 75 -15 -169 
180 addClause -161 -102 -172 
181 addClause -153 158 44 
182 addClause 67 -166 158 
183 addClause -94 132 -131 
184 addClause -148 -90 99 
185 addClause -106 57 -144 
186 addClause 89 -45 177 
187 addClause 17 138 189 
188 addClause -130 177 -181 
189 addClause 57 -139 -152 
190 addClause -145 -106 -83 
191 addClause -86 123 78 
192 addClause 126 -31 -139 
193 addClause 115 -83 -24 
194 addClause 110 -114 -95 
195 addClause 77 33 58 
196 addClause 183 163 -48 
197 addClause 86 123 -85 
198 addClause -123 38 -10 
199 addClause 141 106 20 
200 addClause -187 124 158 
201 addClause -99 168 174 
202 addClause 104 -82 -116 
203 addClause 33 -46 -188 
204 addClause -138 16 -109 
205 addClause 148 -64 -190 
206 addClause -30 -168 59 
207 addClause 22 115 -28 
208 addClause -47 158 -23 
209 addClause 148 30 94 
210 addClause -30 -64 -99 
211 addClause 122 26 162 
212 addClause -141 180 -66 
213 addClause -181 -182 141 
214 addClause 110 185 -107 
215 addClause -74 -53 157 
216 addClause 162 -21 39 
217 addClause -130 -49 7 
218 addClause 178 58 77 
219 addClause -104 -39 -107 
220 addClause -151 102 -153 
221 addClause 163 25 47 
222 addClause 8 -22 -133 
223 addClause -125 -37 2 
224 addClause -166 -39 60 
225 addClause 22 -122 78 
226 addClause -18 -151 -182 
227 addClause 156 47 1 
228 addClause 117 -124 14 
229 addClause 131 -190 59 
230 addClause 142 19 137 
231 addClause 155 65 -41 
232 addClause 137 158 -76 
233 addClause -155 -152 47 
234 addClause -174 170 36 
235 addClause -12 81 -57 
236 addClause 81 -28 -132 
237 addClause -110 -160 -113 
238 addClause 59 -179 -15 
239 addClause 4 -67 67 
240 addClause 129 -133 156 
241 addClause 152 116 -44 
242 addClause -76 -68 66 
243 addClause -20 -163 31 
244 addClause -107 -80 -125 
245 addClause -44 54 131 
246 addClause 104 116 101 
247 addClause 101 -147 86 
248 addClause 88 -98 -78 
249 addClause -82 121 171 
250 addClause -124 -53 -128 
251 addClause -187 78 -34 
252 addClause -1 -151 -136 
253 addClause -179 3 161 
254 addClause 156 -184 188 
255 addClause 178 -86 -181 
256 addClause 170 -143 122 
257 addClause -143 -156 27 
258 addClause 153 157 139 
259 addClause 165 -47 -160 
260 addClause 3 -158 104 
261 addClause -49 9 -63 
262 addClause 96 -166 -35 
263 addClause 114 93 -6 
264 addClause 13 24 -80 
265 addClause -72 -69 105 
266 addClause -133 4 175 
267 addClause -84 -102 -147 
268 addClause -36 12 104 
269 addClause 102 44 129 
270 addClause -84 98 -24 
271 addClause 71 171 165 
272 addClause 107 -149 91 
273 addClause -4 -188 -140 
274 addClause 35 168 178 
275 addClause 55 90 46 
276 addClause 19 -118 -162 
277 addClause -186 89 45 
278 addClause 100 182 -123 
279 addClause -69 94 49 
280 addClause -189 -162 -186 
281 addClause -154 -152 -124 
282 addClause -153 131 151 
283 addClause 110 63 -144 
284 addClause -142 -39 -74 
285 addClause -186 28 151 
286 addClause -91 -128 -188 
287 addClause 48 -61 -163 
