1 init
3 addClause 43 
4 addClause 40 
5 addClause -3 
6 addClause -8 
7 addClause -41 
8 addClause 5 
9 addClause 18 
10 addClause 6 
11 addClause 37 
12 addClause 9 
13 addClause 5 
14 addClause 30 
15 addClause 12 
16 addClause 5 
17 addClause 21 
18 addClause 40 
19 addClause 49 
20 addClause 32 
21 addClause 43 
22 addClause 34 
23 addClause 6 
24 addClause -41 
25 addClause 42 
26 addClause -11 
27 addClause -11 
28 addClause 19 
29 addClause 15 
30 addClause -25 
31 addClause 38 
32 addClause 33 
33 addClause -27 
34 addClause 14 
35 addClause 14 
36 addClause -2 
37 addClause -44 
38 addClause 31 
39 addClause 43 
40 addClause 31 
41 addClause -2 
42 addClause 19 
43 addClause 38 
44 addClause 19 
45 addClause 47 
46 addClause 24 
47 addClause 4 
48 addClause 50 
49 addClause 6 
50 addClause -36 
51 addClause 40 
52 addClause 26 
53 addClause -11 
54 addClause 34 
55 addClause -22 
56 addClause 18 
57 addClause -46 
58 addClause 34 
59 addClause -46 
60 addClause 49 
61 addClause -3 
62 addClause -8 
63 addClause -1 
64 addClause -2 
65 addClause -46 
66 addClause 34 
67 addClause 38 
68 addClause 50 
69 addClause 16 
70 addClause 19 
71 addClause 38 
72 addClause 38 
73 addClause 49 
74 addClause 30 
75 addClause 15 
76 addClause 6 
77 addClause 24 
78 addClause 33 
79 addClause 24 
80 addClause 35 
81 addClause 21 
82 addClause 23 
83 addClause -44 
84 addClause -11 
85 addClause 42 
86 addClause 30 
87 addClause 50 
88 addClause 12 
89 addClause -7 
90 addClause -22 
91 addClause -17 
92 addClause -25 
93 addClause -11 
94 addClause 12 
95 addClause -20 
96 addClause -3 
97 addClause 16 
98 addClause 31 
99 addClause 47 
100 addClause -25 
101 addClause 33 
102 addClause -46 
103 addClause 14 
104 addClause 19 
105 addClause 26 
106 addClause 19 
107 addClause -20 
108 addClause 33 
109 addClause -41 
110 addClause 37 
111 addClause -22 
112 addClause 31 
113 addClause 6 
114 addClause 23 
115 addClause 26 
116 addClause 37 
117 addClause 33 
118 addClause -46 
119 addClause 30 
120 addClause 49 
121 addClause 50 
122 addClause -45 
123 addClause 12 
124 addClause 4 
125 addClause -17 
126 addClause 15 
127 addClause 24 
128 addClause -29 
129 addClause 32 
130 addClause -36 
131 addClause 23 
132 addClause 23 
133 addClause 19 
134 addClause -7 
135 addClause -46 
136 addClause 21 
137 addClause 21 
138 addClause 33 
139 addClause 38 
140 addClause 31 
141 addClause 31 
142 addClause 37 
143 addClause 49 
144 addClause 23 
145 addClause -2 
146 addClause 12 
147 addClause -48 
148 addClause 21 
149 addClause 33 
150 addClause -29 
151 addClause -17 
152 addClause -13 
153 addClause 40 
154 addClause -36 
155 addClause -20 
156 assuming 1 
157 newVar 81
158 addClause -25 
159 addClause -104 
160 addClause -125 
161 addClause 109 
162 addClause 19 
163 addClause -79 
164 addClause 109 
165 addClause 77 
166 addClause -28 
167 addClause 102 
168 addClause -67 
169 addClause 85 
170 addClause -84 
171 addClause 94 
172 addClause -73 
173 addClause 61 
174 addClause -57 
175 addClause -78 
176 addClause -80 
177 addClause -11 
178 addClause 33 
179 addClause 9 
180 addClause -99 
181 addClause 53 
182 addClause 58 
183 addClause -112 
184 addClause 35 
185 addClause -129 
186 addClause -80 
187 addClause 91 
188 addClause 110 
189 addClause -71 
190 addClause -111 
191 addClause -55 
192 addClause 81 
193 addClause -78 
194 addClause -66 
195 addClause -88 
196 addClause -99 
197 addClause 101 
198 addClause 56 
199 addClause -87 
200 addClause -62 
201 addClause 65 
202 addClause 59 
203 addClause -54 
204 addClause -1 
205 addClause -44 
206 addClause 24 
207 addClause -111 
208 addClause -105 
209 addClause 113 
210 addClause -29 
211 addClause -84 
212 addClause -114 
213 addClause 16 
214 addClause -90 
215 addClause -17 
216 addClause -111 
217 addClause 75 
218 addClause 35 
