1 init
2 using solver SATUNSAT
3 addClause -2 -8 -3 
4 addClause 3 5 -4 
5 addClause 8 2 5 
6 addClause 3 -11 7 
7 addClause 9 -9 -7 
8 addClause -5 -2 6 
9 addClause 8 9 2 
10 addClause -10 7 6 
11 addClause 5 -10 -5 
12 addClause 8 4 -7 
13 addClause 5 1 -6 
14 addClause -7 -9 -3 
15 addClause 7 3 2 
16 addClause 9 2 8 
17 addClause -8 10 1 
18 addClause 5 8 1 
19 addClause 1 -9 9 
20 addClause 9 -10 4 
21 addClause 5 -10 -5 
22 addClause -2 -6 -1 
23 addClause -4 4 9 
24 addClause 9 -9 1 
25 addClause -6 4 -4 
26 addClause 1 6 8 
27 addClause 3 8 -9 
28 addClause 5 -10 9 
29 addClause 8 9 -10 
30 addClause 5 4 3 
31 addClause 8 -2 3 
32 addClause 1 4 3 
33 addClause -1 5 2 
34 addClause -11 1 -8 
35 addClause -11 -6 -3 
36 addClause 4 -8 -1 
37 addClause 7 1 2 
38 addClause -8 -3 -4 
39 addClause -5 -8 4 
40 addClause -8 3 -11 
41 addClause 2 1 -4 
42 addClause -2 -11 -8 
43 addClause -9 -12 -11 
44 addClause -4 -9 6 
45 addClause -4 9 -3 
46 addClause -1 7 -5 
47 addClause 9 4 -10 
48 addClause 8 -2 -11 
49 addClause 3 -1 1 
50 addClause 10 7 9 
51 addClause -6 1 8 
52 addClause -4 -3 2 
53 addClause -9 -7 -8 
54 addClause 3 6 -4 
55 addClause 1 -2 10 
56 addClause 10 8 9 
57 addClause 1 7 4 
58 enumerating
