1 init
2 Random Walk : 0.2499364344085635
3 addClause -8 126 -157 
4 addClause 67 -102 32 
5 addClause 104 18 158 
6 addClause 45 -53 8 
7 addClause 99 148 -8 
8 addClause 133 -159 -147 
9 addClause -60 -5 -40 
10 addClause -97 -3 98 
11 addClause -143 67 -93 
12 addClause -95 68 -107 
13 addClause -106 9 -121 
14 addClause -6 -59 19 
15 addClause 7 -139 -32 
16 addClause 50 -114 -108 
17 addClause 163 -69 -166 
18 addClause 32 80 41 
19 addClause -10 146 -104 
20 addClause -171 -161 -160 
21 addClause 165 -54 -35 
22 addClause -26 47 -82 
23 addClause -60 -102 145 
24 addClause 13 94 119 
25 addClause 104 54 -60 
26 addClause 7 -29 76 
27 addClause -98 -95 -20 
28 addClause 8 110 51 
29 addClause -170 69 -87 
30 addClause 142 141 35 
31 addClause -83 95 -84 
32 addClause -56 -146 -13 
33 addClause 131 -3 -149 
34 addClause 90 37 17 
35 addClause 74 -50 -155 
36 addClause 108 -40 -144 
37 addClause 168 154 -99 
38 addClause -49 61 122 
39 addClause 124 -97 129 
40 addClause -135 144 138 
41 addClause -40 -88 89 
42 addClause 149 -26 119 
43 addClause 102 10 -5 
44 addClause 108 -59 -131 
45 addClause -52 -4 -10 
46 addClause -99 102 -155 
47 addClause 45 -7 -138 
48 addClause 46 -50 84 
49 addClause 156 139 -157 
50 addClause 70 -66 -48 
51 addClause -23 65 73 
52 addClause -15 -31 -3 
53 addClause 82 69 -110 
54 addClause -112 -134 -163 
55 addClause -165 -42 64 
56 addClause -140 -18 -32 
57 addClause 56 84 25 
58 addClause 12 1 2 
59 addClause -74 -23 -163 
60 addClause 56 169 -131 
61 addClause 105 94 -118 
62 addClause -34 140 -84 
63 addClause -152 -7 93 
64 addClause -91 -170 -30 
65 addClause -44 171 162 
66 addClause -72 123 -84 
67 addClause 160 -108 -162 
68 addClause 78 -43 62 
69 addClause 5 4 -1 
70 addClause -124 -38 77 
71 addClause 114 -16 149 
72 addClause -83 21 5 
73 addClause -162 -78 -93 
74 addClause -66 -6 -139 
75 addClause 70 131 110 
76 addClause 35 70 41 
77 addClause -38 24 118 
78 addClause 44 68 15 
79 addClause 15 59 45 
80 addClause -161 -17 -55 
81 addClause 49 149 -79 
82 addClause -149 120 98 
83 addClause -152 -5 129 
84 addClause -62 -98 104 
85 addClause 30 -55 110 
86 addClause -64 -93 -7 
87 addClause -94 123 144 
88 addClause -164 54 69 
89 addClause -90 -78 155 
90 addClause -121 -130 -104 
91 addClause -168 -149 -107 
92 addClause 149 75 58 
93 addClause -28 34 45 
94 addClause -93 -21 70 
95 addClause 140 43 142 
96 addClause 59 -118 92 
97 addClause -129 -32 -118 
98 addClause -108 163 92 
99 addClause 35 -118 -143 
100 addClause 20 -131 166 
101 addClause 148 153 144 
102 addClause 54 2 137 
103 addClause -141 17 -146 
104 addClause 64 -126 98 
105 addClause 16 162 153 
106 addClause -5 -12 128 
107 addClause 166 -165 -41 
108 addClause -3 115 6 
109 addClause 125 -4 72 
110 addClause -121 -16 -96 
111 addClause 127 -28 -37 
112 addClause -137 -23 -66 
113 addClause -11 164 142 
114 addClause -28 -39 -136 
115 addClause -14 75 -86 
116 addClause 36 51 20 
117 addClause -28 -51 142 
118 addClause -102 -154 -156 
119 addClause 137 94 -101 
120 addClause 137 35 25 
121 addClause 159 -164 -104 
122 addClause 165 -81 -9 
123 addClause 161 -24 -7 
124 addClause -157 144 -41 
125 addClause -53 70 -80 
126 addClause 83 87 158 
127 addClause -77 90 132 
128 addClause -131 134 -44 
129 addClause -56 -64 103 
130 addClause -88 145 45 
131 addClause 127 -141 -157 
132 addClause -143 2 -75 
133 addClause 43 68 -150 
134 addClause 144 50 -86 
135 addClause -172 53 -50 
136 addClause 14 42 -123 
137 addClause 74 -123 -137 
138 addClause -64 6 12 
139 addClause 66 -90 41 
140 addClause 150 18 -104 
141 addClause 34 -34 39 
142 addClause 138 -105 -58 
143 addClause -151 -73 -124 
144 addClause -62 -118 -79 
145 addClause 29 68 54 
146 addClause -52 143 61 
147 addClause -69 -99 -128 
148 addClause -36 99 -172 
149 addClause 151 86 62 
150 addClause -149 46 -158 
151 addClause 61 2 -76 
152 addClause 23 145 -71 
153 addClause 143 45 170 
154 addClause 137 166 -11 
155 addClause 116 -17 -3 
156 addClause 166 99 -170 
157 addClause -158 93 95 
158 addClause 64 92 -160 
159 addClause -30 112 -133 
160 addClause 143 -130 7 
161 addClause -158 -65 -27 
162 addClause 66 145 140 
163 addClause -48 92 -17 
164 addClause -109 -120 69 
165 addClause -43 90 107 
166 addClause 111 38 140 
167 addClause -138 -104 -70 
168 addClause -164 -166 -119 
169 addClause -126 -107 -143 
170 addClause -30 -83 123 
171 addClause -1 79 49 
172 addClause 18 117 108 
173 addClause -170 82 -40 
174 addClause -160 -92 -69 
175 addClause 64 -151 61 
176 addClause 171 -51 36 
177 addClause -84 -135 28 
178 addClause 134 60 117 
179 addClause -152 -67 126 
180 addClause -146 -157 28 
181 addClause -157 111 67 
182 addClause -49 -56 -89 
183 addClause 18 75 151 
184 addClause -29 125 64 
