1 init
2 Data Structure Factory : CardinalityDataStructureYanMax
3 Order : NaturalStaticOrder
4 Learning Strategy : ClauseOnlyLearning
5 Restart Strategy : MiniSATRestarts
6 Simplification Type : expensiveSimplificationWLOnly
7 Search Params : varDecay=0.915759963306746/claDecay=1.0151709335833448/conflictBoundIncFactor=2.7738024171803315/initConflictBound=621
8 Learned Constraints Evaluation Type : LBD
9 DB simplification
10 addClause 79 62 -13 
11 addClause -4 113 147 
12 addClause 45 185 99 
13 addClause -141 92 -145 
14 addClause -155 -37 82 
15 addClause -130 -104 151 
16 addClause 161 132 -69 
17 addClause 180 99 -80 
18 addClause -81 42 54 
19 addClause 159 115 -100 
20 addClause -175 1 -164 
21 addClause -33 143 76 
22 addClause 174 -166 165 
23 addClause 120 -114 15 
24 addClause -7 -132 84 
25 addClause 86 -90 -66 
26 addClause -11 -121 -146 
27 addClause 114 10 60 
28 addClause 90 -154 -40 
29 addClause 183 49 114 
30 addClause -181 15 -134 
31 addClause 94 87 38 
32 addClause -97 35 -171 
33 addClause -104 -168 77 
34 addClause 129 103 172 
35 addClause -79 65 -12 
36 addClause -6 -155 113 
37 addClause 106 48 -21 
38 addClause -99 16 -120 
39 addClause -153 23 106 
40 addClause -58 51 115 
41 addClause 19 151 -134 
42 addClause 114 -93 16 
43 addClause -51 45 -129 
44 addClause 40 -31 5 
45 addClause 139 17 121 
46 addClause 185 -12 155 
47 addClause -110 134 -106 
48 addClause -181 -153 46 
49 addClause -73 118 -18 
50 addClause -10 -2 126 
51 addClause 72 125 71 
52 addClause 135 20 -45 
53 addClause 31 -88 65 
54 addClause 175 88 -90 
55 addClause 85 53 88 
56 addClause 160 -138 -98 
57 addClause 100 -110 92 
58 addClause 177 151 153 
59 addClause -187 -34 -120 
60 addClause -185 58 -45 
61 addClause -35 70 -11 
62 addClause -37 32 -20 
63 addClause 9 -20 5 
64 addClause 5 49 147 
65 addClause -96 -35 21 
66 addClause 81 -48 -79 
67 addClause 39 165 -80 
68 addClause 179 147 53 
69 addClause 111 24 -103 
70 addClause -150 133 33 
71 addClause -16 -26 134 
72 addClause -151 181 -88 
73 addClause -110 -94 108 
74 addClause 117 7 -185 
75 addClause 30 4 125 
76 addClause -2 58 -59 
77 addClause -132 -95 -169 
78 addClause -91 -140 -29 
79 addClause -76 -28 -6 
80 addClause 120 182 35 
81 addClause -76 81 -39 
82 addClause 169 -171 18 
83 addClause 62 176 98 
84 addClause 73 126 -111 
85 addClause 21 51 -122 
86 addClause 45 -55 -12 
87 addClause -168 42 -111 
88 addClause 67 56 82 
89 addClause -170 -101 159 
90 addClause 65 -147 -58 
91 addClause 48 180 80 
92 addClause -22 110 127 
93 addClause -154 -31 -175 
94 addClause -12 129 -69 
95 addClause -16 -24 32 
96 addClause 126 -129 -93 
97 addClause 95 181 68 
98 addClause -90 13 182 
99 addClause 1 -133 -92 
100 addClause 39 -158 -104 
101 addClause -174 135 -111 
102 addClause 151 -63 20 
103 addClause -106 112 -138 
104 addClause 144 6 71 
105 addClause -135 73 135 
106 addClause -78 80 -35 
107 addClause 171 71 144 
108 addClause 185 18 133 
109 addClause 22 -132 166 
110 addClause 95 -144 36 
111 addClause 16 -23 -29 
112 addClause 21 165 -17 
113 addClause -140 130 -152 
114 addClause 154 23 -154 
115 addClause -130 -105 152 
116 addClause -80 106 -127 
117 addClause -93 162 -100 
118 addClause -103 141 59 
119 addClause -155 77 112 
120 addClause 55 -17 -141 
121 addClause -2 -149 -25 
122 addClause -164 -107 -87 
123 addClause -4 89 56 
124 addClause 153 -57 83 
125 addClause -96 -134 -147 
126 addClause 73 -165 -148 
127 addClause 84 -133 173 
128 addClause -97 -148 -15 
129 addClause -123 166 -144 
130 addClause 42 11 -52 
131 addClause 150 -118 -1 
132 addClause -59 116 34 
133 addClause 166 -136 -28 
134 addClause 47 123 -158 
135 addClause 179 -90 128 
136 addClause 175 167 57 
137 addClause 84 -81 79 
138 addClause -96 8 -19 
139 addClause -14 183 81 
140 addClause -120 -56 159 
141 addClause 58 98 111 
142 addClause -135 -3 -129 
143 addClause -15 128 -157 
144 addClause 155 -161 -34 
145 addClause -59 73 112 
146 addClause -78 115 88 
147 addClause 19 -30 90 
148 addClause 40 119 -64 
149 addClause -39 67 113 
150 addClause -47 5 -104 
151 addClause -115 -105 -113 
152 addClause 39 65 -177 
153 addClause -37 156 -17 
154 addClause 155 -132 -137 
155 addClause 142 11 118 
156 addClause -67 73 43 
157 addClause 172 161 31 
158 addClause 176 -3 11 
159 addClause 107 77 101 
160 addClause -18 -99 -41 
161 addClause 118 149 -74 
162 addClause -150 -59 134 
163 addClause -16 41 93 
164 addClause 129 -20 -77 
165 addClause 175 -12 -180 
166 addClause 73 -123 104 
167 addClause -10 20 -72 
168 addClause -35 -153 102 
169 addClause 4 -135 147 
170 addClause 137 121 138 
171 addClause -174 67 -67 
172 addClause 108 131 58 
173 addClause -186 -119 -37 
174 addClause 50 -122 -109 
175 addClause 116 134 92 
176 addClause -14 -58 -85 
177 addClause -14 -43 -67 
178 addClause -39 -63 -56 
179 addClause -112 33 58 
180 addClause 108 157 76 
181 addClause -87 -167 -41 
182 addClause -136 131 182 
183 addClause -130 -116 176 
184 addClause -93 -59 -182 
185 addClause -99 -139 134 
186 addClause -29 -164 -6 
187 addClause 39 -3 -90 
188 addClause -150 -185 146 
189 addClause -25 122 58 
190 addClause -131 -74 67 
191 addClause -112 -84 -1 
192 addClause 20 -42 88 
193 addClause -56 88 80 
194 addClause -33 3 -148 
195 addClause -55 -116 -123 
196 addClause 68 -47 -8 
197 addClause 81 56 -8 
198 addClause -103 -170 -46 
