1 init
2 using solver LEARNING
3 Random Walk 0.8780507347451837
4 DBS simplification allowed
5 addClause 2 -40 34 
6 addClause -162 -33 -73 
7 addClause 114 -110 -106 
8 addClause -120 -79 -8 
9 addClause 53 162 155 
10 addClause -175 106 43 
11 addClause 52 59 129 
12 addClause -100 -58 73 
13 addClause -136 122 -132 
14 addClause -47 177 133 
15 addClause -121 81 -82 
16 addClause -52 104 140 
17 addClause 140 -103 -125 
18 addClause 112 -147 5 
19 addClause 149 32 65 
20 addClause 108 188 -90 
21 addClause 28 176 -48 
22 addClause -168 99 -49 
23 addClause 188 -109 159 
24 addClause -139 173 -20 
25 addClause -135 -116 -151 
26 addClause 34 -21 148 
27 addClause -36 -145 -107 
28 addClause 89 66 164 
29 addClause -184 130 82 
30 addClause -27 -141 21 
31 addClause 25 -2 45 
32 addClause -40 42 -128 
33 addClause -140 -66 -146 
34 addClause -162 -85 99 
35 addClause 134 -186 5 
36 addClause -59 -107 131 
37 addClause -21 155 19 
38 addClause -154 -88 -15 
39 addClause -46 -68 -73 
40 addClause -135 99 -17 
41 addClause -22 91 40 
42 addClause 34 -174 -68 
43 addClause 21 4 187 
44 addClause 11 134 179 
45 addClause -6 4 94 
46 addClause 41 122 129 
47 addClause -79 57 102 
48 addClause 173 -183 -182 
49 addClause -115 183 -66 
50 addClause 2 -76 36 
51 addClause 115 -86 124 
52 addClause -181 -5 -124 
53 addClause -75 63 190 
54 addClause -4 97 184 
55 addClause -44 166 184 
56 addClause -82 -43 192 
57 addClause -158 -78 -52 
58 addClause 76 -184 11 
59 addClause -45 -87 2 
60 addClause -116 -38 78 
61 addClause -85 44 10 
62 addClause -79 87 42 
63 addClause -45 85 161 
64 addClause -167 -24 -79 
65 addClause 44 -89 22 
66 addClause 127 81 22 
67 addClause 4 162 174 
68 addClause -78 -18 17 
69 addClause 137 -105 -193 
70 addClause -38 96 -104 
71 addClause 132 -76 81 
72 addClause 46 156 -112 
73 addClause 128 -9 -188 
74 addClause -131 -35 58 
75 addClause 41 -20 -178 
76 addClause -100 -147 -5 
77 addClause 1 64 133 
78 addClause -114 179 -126 
79 addClause 113 -157 -167 
80 addClause 138 -46 -34 
81 addClause 58 -115 -88 
82 addClause 53 174 133 
83 addClause -122 -109 100 
84 addClause -119 70 122 
85 addClause -146 111 -44 
86 addClause 59 46 34 
87 addClause -148 -108 45 
88 addClause -32 123 24 
89 addClause 117 -14 104 
90 addClause 89 124 99 
91 addClause -11 149 -50 
92 addClause -124 107 104 
93 addClause 85 -1 77 
94 addClause -63 -105 -20 
95 addClause -1 -46 -138 
96 addClause 48 189 37 
97 addClause 105 -85 -130 
98 addClause 68 138 -182 
99 addClause -164 -91 -52 
100 addClause -162 150 -17 
101 addClause 153 45 -73 
102 addClause -62 83 -11 
103 addClause -5 42 -75 
104 addClause 135 -124 -187 
105 addClause 138 97 -158 
106 addClause -138 142 -90 
107 addClause 3 21 48 
108 addClause 141 -64 -177 
109 addClause 152 -13 133 
110 addClause 26 -26 157 
111 addClause 24 170 100 
112 addClause -128 3 -46 
113 addClause -89 -154 -189 
114 addClause 87 148 127 
115 addClause 76 78 -143 
116 addClause 181 117 69 
117 addClause 131 -106 63 
118 addClause -83 -157 144 
119 addClause 99 95 155 
120 addClause 100 87 36 
121 addClause -94 -135 -169 
122 addClause 148 -58 -175 
123 addClause 174 -154 150 
124 addClause 145 -19 128 
125 addClause 150 -72 -155 
126 addClause -102 -52 25 
127 addClause 144 -183 -26 
128 addClause 109 135 118 
129 addClause 76 -133 -87 
130 addClause 142 147 85 
131 addClause -111 -154 -150 
132 addClause 27 31 -48 
133 addClause -134 -175 -36 
134 addClause 23 -54 -117 
135 addClause -22 -135 88 
136 addClause 165 74 82 
137 addClause -19 131 72 
138 addClause -162 98 -3 
139 addClause -95 -184 116 
140 addClause -96 124 -36 
141 addClause -159 46 -128 
142 addClause -135 52 54 
143 addClause 18 163 -103 
144 addClause -148 -168 156 
145 addClause 167 65 -84 
146 addClause -107 19 176 
147 addClause 38 -138 170 
148 addClause -31 121 -77 
149 addClause 173 -186 82 
150 addClause -68 -189 -94 
151 addClause -101 15 -31 
152 addClause -152 -134 56 
153 addClause 65 -69 20 
154 addClause 179 -56 -103 
155 addClause -103 -164 186 
156 addClause -189 83 84 
157 addClause 93 -123 -98 
158 addClause -147 104 157 
159 addClause -178 -37 142 
160 addClause 127 -165 23 
161 addClause -92 42 -105 
162 addClause -68 -174 -176 
163 addClause 78 -49 150 
164 addClause 45 131 53 
165 addClause 66 26 -93 
166 addClause -30 13 153 
167 addClause -103 110 158 
168 addClause 19 -35 182 
169 addClause 107 -125 -155 
170 addClause 178 -74 -4 
171 addClause -141 -32 -130 
172 addClause 160 -168 123 
173 addClause 79 -5 97 
174 addClause 97 -185 -15 
175 addClause 178 83 -73 
176 addClause -35 -185 49 
177 addClause -8 -82 -76 
178 addClause -70 81 -179 
179 addClause -119 10 -148 
180 addClause -183 150 -58 
181 addClause -28 22 -43 
182 addClause -3 25 128 
183 addClause 83 3 9 
184 addClause 21 -183 -50 
185 addClause 51 -97 -81 
186 addClause -51 -34 -162 
187 addClause 180 -85 -103 
188 addClause -43 -147 -16 
189 addClause -14 115 -128 
190 addClause 40 -67 -91 
191 addClause -157 3 -169 
192 addClause 152 -57 -70 
193 addClause 181 96 139 
194 addClause -136 13 86 
195 addClause -157 191 -68 
196 addClause -97 -30 143 
197 addClause 43 -92 73 
198 addClause 50 112 -139 
199 addClause 187 -69 -162 
200 addClause -7 -83 146 
201 addClause 106 -94 152 
202 addClause 157 44 13 
203 addClause 156 17 -67 
204 addClause 31 -125 21 
205 addClause 47 -20 26 
206 addClause 57 127 -142 
207 addClause -142 -152 -140 
208 addClause 48 27 -184 
209 addClause -95 -138 -84 
210 addClause 175 11 161 
211 addClause 112 73 -82 
212 addClause -80 121 39 
213 addClause 141 -82 36 
214 addClause 123 35 31 
215 addClause -28 -18 157 
216 addClause -48 140 -132 
217 addClause -41 115 186 
218 addClause 75 150 -81 
219 addClause -112 -185 -94 
220 addClause -162 -87 -120 
221 addClause -130 -47 -106 
222 addClause 43 19 144 
223 addClause 177 -148 -155 
224 addClause 145 8 167 
225 addClause -22 93 133 
226 addClause 15 -152 -98 
227 addClause 91 -80 45 
