1 init
2 Data Structure Factory : CardinalityDataStructureYanMax
3 Order : VarOrderHeap/varDecay=0.8356017063763439
4 Phase Selection Strategy : PositiveLiteralSelectionStrategy
5 Learning Strategy : FixedLengthLearning/maxlength=9
6 Restart Strategy : FixedPeriodRestarts/period=106
7 Simplification Type : expensiveSimplification
8 Search Params : varDecay=0.9969467521964738/claDecay=1.0770427079081446/conflictBoundIncFactor=0.012479139499889214/initConflictBound=555
9 Learned Constraints Evaluation Type : LBD2
10 Random Walk : 0.20427432392832734
11 DB simplification
12 addClause -3 -14 1 
13 addClause -33 -22 -14 
14 addClause 11 -11 -6 
15 addClause -22 -14 -11 
16 addClause 17 -24 6 
17 addClause -9 5 25 
18 addClause 5 15 -6 
19 addClause -1 13 7 
20 addClause -17 -22 -2 
21 addClause -7 9 -13 
22 addClause -30 -20 -11 
23 addClause 3 -1 -10 
24 addClause 8 2 -21 
25 addClause -34 24 7 
26 addClause -24 3 -10 
27 addClause 32 -13 33 
28 addClause 13 -20 11 
29 addClause 22 25 -3 
30 addClause -28 -30 -13 
31 addClause 33 -34 -28 
32 addClause 13 -7 8 
33 addClause 12 -3 21 
34 addClause 1 -31 1 
35 addClause -1 -17 24 
36 addClause -5 -26 2 
37 addClause 28 27 -33 
38 addClause 28 17 26 
39 addClause 6 -33 7 
40 addClause -4 23 -27 
41 addClause -24 -17 13 
42 addClause 29 2 -5 
43 addClause 1 5 -24 
44 addClause -30 16 -12 
45 addClause 29 5 -10 
46 addClause 29 -22 -8 
47 addClause 31 -30 5 
48 addClause -9 -4 -15 
49 addClause 14 -30 -9 
50 addClause -18 -5 33 
51 addClause -16 18 -8 
52 addClause 21 -16 -25 
53 addClause -32 26 5 
54 addClause 20 28 10 
55 addClause 4 -13 1 
56 addClause 7 23 -10 
57 addClause -2 29 -15 
58 addClause 8 -8 -21 
59 addClause -17 10 21 
60 addClause 32 -29 31 
61 addClause -12 30 -15 
62 addClause -4 -1 -25 
63 addClause -5 28 -27 
64 addClause 8 17 20 
65 addClause -9 -33 -3 
66 addClause -33 -19 -4 
67 addClause -15 18 10 
68 addClause -28 10 23 
69 addClause 7 -13 -15 
70 addClause 7 -14 8 
71 addClause -6 -30 -4 
72 addClause 11 -10 -29 
73 addClause -3 -32 -33 
74 addClause -6 -23 -17 
75 addClause -26 -21 -22 
76 addClause -4 -34 19 
77 addClause -30 27 28 
78 addClause 21 19 8 
79 addClause -19 -5 29 
80 addClause -22 -26 8 
81 addClause -23 -33 32 
82 addClause -8 -22 30 
83 addClause 5 15 14 
84 addClause -4 -10 -22 
85 addClause 12 31 -1 
86 addClause 3 5 -27 
87 addClause 1 20 18 
88 addClause 29 -15 31 
89 addClause -24 29 -30 
90 addClause 29 7 -15 
91 addClause -15 -27 9 
92 addClause -29 33 -12 
93 addClause 19 25 33 
94 addClause 4 -7 -5 
95 addClause -23 6 11 
96 addClause -15 -23 -11 
97 addClause -20 26 -15 
98 addClause 20 -17 18 
99 addClause 28 8 -5 
100 addClause 27 -23 -16 
101 addClause -1 15 -5 
102 addClause 26 -13 18 
103 addClause -27 -13 -19 
104 addClause 20 -28 6 
105 addClause 12 -11 -23 
106 addClause 33 9 -19 
107 addClause -33 29 7 
108 addClause 23 31 22 
109 addClause -23 29 24 
110 addClause -24 30 -29 
111 addClause 6 -31 -32 
112 addClause 14 -29 6 
113 addClause -25 31 -4 
114 assuming -20 18 33 
115 addClause 117 30 66 
116 addClause 120 -27 -36 
117 addClause -99 143 14 
118 addClause -141 -102 52 
119 addClause -10 16 125 
120 addClause 88 -103 27 
121 addClause 56 28 -67 
122 addClause -16 69 75 
123 addClause -44 72 -135 
124 addClause 68 -57 118 
125 addClause -58 -49 133 
126 addClause -82 112 80 
127 addClause 40 32 105 
128 addClause -103 -96 -62 
129 addClause -116 -38 -34 
130 addClause -21 114 116 
131 addClause -129 -4 52 
132 addClause 108 -13 -135 
133 addClause -35 123 -55 
134 addClause 117 107 33 
135 addClause 25 44 67 
136 addClause 89 77 137 
137 addClause -50 8 -115 
138 addClause -120 -77 47 
139 addClause 6 118 -142 
140 addClause 33 -42 52 
141 addClause -101 -18 -42 
142 addClause -69 -119 93 
143 addClause 132 57 62 
144 addClause 24 108 89 
145 addClause -69 -95 -109 
146 addClause 65 -4 131 
147 addClause 96 -139 143 
148 addClause -125 -25 -71 
149 addClause -81 -139 51 
150 addClause -13 -63 -53 
151 addClause -144 -49 74 
152 addClause 136 -46 -100 
153 addClause 11 -77 5 
154 addClause -77 -102 7 
155 addClause -110 -136 62 
156 addClause 103 -118 -71 
157 addClause -90 -113 -78 
158 addClause -108 39 -91 
159 addClause 12 -10 81 
160 addClause 15 62 -131 
161 addClause 108 -98 64 
162 addClause 30 -12 -121 
163 addClause -89 -29 -82 
164 addClause -13 138 76 
165 addClause 70 76 13 
166 addClause -10 135 120 
167 addClause -78 -134 118 
168 addClause -30 120 108 
169 addClause 139 19 -83 
170 addClause -93 140 -32 
171 addClause -72 -40 -56 
172 addClause -99 -132 -88 
173 addClause 109 -81 -118 
174 addClause -44 -25 63 
175 addClause -122 8 118 
176 addClause -21 -77 -8 
177 addClause 106 -74 94 
178 addClause -27 -2 -141 
179 addClause -33 142 -144 
180 addClause -31 -27 54 
181 addClause -51 118 73 
182 addClause -56 -84 22 
183 addClause -81 42 -60 
184 addClause -83 -77 -54 
185 addClause -67 13 -55 
186 addClause 62 71 -137 
187 addClause -32 28 -57 
188 addClause 35 -96 -13 
189 addClause -84 12 -77 
190 addClause 5 128 26 
191 addClause 96 129 -70 
192 addClause -51 -110 -31 
193 addClause -112 130 -73 
194 addClause 29 -55 38 
195 addClause 68 9 49 
196 addClause 85 118 18 
197 addClause 102 141 -13 
198 addClause -48 143 -140 
199 addClause 79 9 108 
200 addClause 98 107 99 
201 addClause 104 -115 55 
202 addClause -29 107 -81 
203 addClause -72 70 140 
204 addClause 118 -27 58 
205 addClause 4 136 43 
206 addClause -69 29 16 
207 addClause -111 38 -118 
208 addClause -55 22 27 
209 addClause -48 -90 -75 
210 addClause -140 -62 28 
211 addClause 43 124 138 
212 addClause 77 111 -114 
213 addClause 99 18 -64 
214 addClause -85 -28 -60 
215 addClause -67 -73 -9 
216 addClause -25 45 49 
217 addClause -57 -13 -98 
218 addClause 77 -9 -40 
219 addClause -112 112 -115 
220 addClause -73 135 -141 
221 addClause 109 -42 37 
222 addClause 108 111 -53 
223 addClause 87 -25 137 
224 addClause 76 5 -132 
225 addClause 115 39 -122 
226 addClause -105 -20 -31 
227 addClause 50 49 99 
228 addClause 125 -109 -60 
229 addClause -9 132 -78 
230 addClause 93 57 120 
231 addClause -62 9 -110 
232 addClause -143 82 7 
233 addClause -112 18 91 
234 addClause 104 1 -121 
235 addClause 25 128 120 
236 addClause 62 23 -52 
237 addClause -115 127 -29 
238 addClause -65 -31 -56 
239 addClause 82 -65 106 
240 addClause 90 73 -99 
241 addClause 26 53 101 
