1 init
2 Data Structure Factory : CardinalityDataStructureYanMin
3 Phase Selection Strategy : SolutionPhaseSelectionStrategy
4 Learning Strategy : ActiveLearning/percent=0.039539270120495185
5 Restart Strategy : ArminRestarts
6 Simplification Type : expensiveSimplification
7 Search Params : varDecay=0.9454786578578876/claDecay=0.7897753461991256/conflictBoundIncFactor=1.5094663178450876/initConflictBound=488
8 Random Walk : 0.2310741092294586
9 addClause 121 -7 -146 
10 addClause -102 130 140 
11 addClause 12 14 70 
12 addClause 2 -120 78 
13 addClause -121 -45 71 
14 addClause 93 -144 -72 
15 addClause -81 95 166 
16 addClause 44 55 -110 
17 addClause 70 165 -151 
18 addClause 167 111 -14 
19 addClause 153 -6 48 
20 addClause 96 102 44 
21 addClause -17 108 -148 
22 addClause -62 51 -125 
23 addClause -60 118 15 
24 addClause 133 -167 -53 
25 addClause -100 -73 -9 
26 addClause -1 1 -136 
27 addClause 49 57 -142 
28 addClause -132 -49 -127 
29 addClause 34 -76 -93 
30 addClause -145 6 -34 
31 addClause 54 155 -137 
32 addClause -24 68 132 
33 addClause -29 -32 -79 
34 addClause -36 17 -73 
35 addClause 150 -112 122 
36 addClause -52 -122 139 
37 addClause 22 132 -161 
38 addClause -118 -143 160 
39 addClause -69 152 -167 
40 addClause 162 -164 29 
41 addClause -164 -145 -109 
42 addClause 71 -8 -81 
43 addClause 7 -70 14 
44 addClause -45 116 -31 
45 addClause 63 19 -145 
46 addClause -65 -28 -76 
47 addClause 72 135 26 
48 addClause 51 40 -44 
49 addClause 9 113 -38 
50 addClause 38 -123 -102 
51 addClause 70 -22 -83 
52 addClause -13 40 116 
53 addClause 49 -160 47 
54 addClause -20 81 159 
55 addClause 18 -62 -79 
56 addClause -28 93 -33 
57 addClause -24 -126 -119 
58 addClause -103 8 -45 
59 addClause -71 51 136 
60 addClause -12 80 -161 
61 addClause -68 -16 -111 
62 addClause 33 86 -88 
63 addClause -82 -159 -122 
64 addClause 11 -110 -84 
65 addClause -163 -72 42 
66 addClause -168 15 -83 
67 addClause 13 66 -105 
68 addClause -86 -67 -154 
69 addClause -108 39 54 
70 addClause 138 65 31 
71 addClause 35 24 51 
72 addClause 56 -144 6 
73 addClause -85 112 137 
74 addClause -109 -101 -122 
75 addClause 82 -16 6 
76 addClause 33 80 -120 
77 addClause -17 -15 116 
78 addClause -3 19 -128 
79 addClause -72 81 19 
80 addClause -11 130 -17 
81 addClause 74 69 -27 
82 addClause -44 45 -26 
83 addClause -57 12 -128 
84 addClause 65 -82 -147 
85 addClause -107 115 163 
86 addClause 74 -129 97 
87 addClause -56 53 -43 
88 addClause -107 -123 21 
89 addClause 49 25 94 
90 addClause 63 40 15 
91 addClause 113 -108 85 
92 addClause -166 28 -89 
93 addClause 126 157 -133 
94 addClause -39 -104 -66 
95 addClause -129 163 135 
96 addClause 55 122 -113 
97 addClause 13 -39 -138 
98 addClause 164 99 76 
