1 init
2 Data Structure Factory : MixedDataStructureDanielWLConciseBinary
3 Learning Strategy : PercentLengthLearning/maxpercent=6
4 Order : NaturalStaticOrder
5 Phase Selection Strategy : UserFixedPhaseSelectionStrategy
6 Restart Strategy : ArminRestarts
7 Search Params : varDecay=0.9009054691579145/claDecay=0.9925680321370399/conflictBoundIncFactor=0.8305537213210499/initConflictBound=99
8 Learned Constraints Evaluation Type : ACTIVITY
9 DBS simplification
10 addClause -112 -71 107 
11 addClause -25 -1 -66 
12 addClause -62 42 -10 
13 addClause 86 -13 77 
14 addClause 4 54 -118 
15 addClause 60 -61 -23 
16 addClause -118 77 110 
17 addClause -74 -107 -2 
18 addClause 116 -70 -35 
19 addClause 62 117 -24 
20 addClause -91 -60 -119 
21 addClause 90 65 16 
22 addClause -16 -46 -100 
23 addClause -68 100 -47 
24 addClause 9 -1 -70 
25 addClause -13 113 -82 
26 addClause -24 102 -54 
27 addClause -33 112 -43 
28 addClause 104 -101 -70 
29 addClause 101 29 -49 
30 addClause -31 43 29 
31 addClause -64 99 -9 
32 addClause 61 -120 76 
33 addClause 98 -55 -63 
34 addClause -52 -65 84 
35 addClause -115 36 97 
36 addClause 106 -96 81 
37 addClause 105 18 27 
38 addClause -49 -6 79 
39 addClause 53 62 92 
40 addClause 38 -57 2 
41 addClause 8 105 -27 
42 addClause 4 -90 82 
43 addClause -12 54 113 
44 addClause 75 -52 36 
45 addClause 4 -102 12 
46 addClause 102 -92 -5 
47 addClause 101 98 105 
48 addClause 21 -44 30 
49 addClause -119 14 31 
50 addClause -61 3 -6 
51 addClause -22 -35 -43 
52 addClause 15 -10 -49 
53 addClause -53 4 -88 
54 addClause -29 21 -56 
55 addClause 98 95 51 
56 addClause -2 -112 -45 
57 addClause 95 -42 -10 
58 addClause -25 -89 31 
59 addClause -46 6 105 
60 addClause -36 -83 47 
61 addClause -49 92 53 
62 addClause -11 -15 57 
63 addClause 7 9 -24 
64 addClause -41 102 -32 
65 addClause 98 -11 17 
66 addClause -16 -11 28 
67 addClause 16 104 -48 
68 addClause -72 -100 -119 
69 addClause -51 -17 -114 
70 addClause 53 67 18 
71 addClause 47 3 -88 
72 addClause 80 -65 59 
73 addClause 68 -14 -110 
74 addClause 36 -32 -74 
75 addClause -28 -41 -83 
76 addClause -5 109 -112 
77 addClause 2 69 96 
78 addClause 81 -35 -50 
79 addClause 77 -77 10 
80 addClause -54 -73 10 
81 addClause -63 69 95 
82 addClause 51 -102 -53 
83 addClause 15 -51 -52 
84 addClause -61 -13 33 
85 addClause 18 9 -79 
86 addClause -33 31 102 
87 addClause -23 54 -39 
88 addClause 63 -88 -112 
89 addClause 48 23 -25 
90 addClause -56 -30 113 
91 addClause 73 23 -41 
92 addClause 112 100 119 
93 addClause 48 -120 29 
94 addClause 108 97 13 
95 addClause -93 34 67 
96 addClause -16 -22 10 
97 addClause -116 72 119 
98 addClause 62 -35 -101 
99 addClause -9 79 40 
100 addClause 44 -84 58 
101 addClause -85 94 -75 
