1 init
2 using solver MiniLearningHeapRsatExpSimpBiere
3 Random Walk : 0.9185753809852562
4 DBS simplification
5 addClause -157 98 -150 
6 addClause 33 -7 -95 
7 addClause 2 68 -91 
8 addClause 46 123 -19 
9 addClause -85 -52 -98 
10 addClause 42 -64 46 
11 addClause -110 52 84 
12 addClause 160 -108 30 
13 addClause -97 86 155 
14 addClause 39 123 -5 
15 addClause -36 -90 -101 
16 addClause -50 -157 76 
17 addClause 127 -151 39 
18 addClause -24 -2 108 
19 addClause -87 17 6 
20 addClause -64 -135 -50 
21 addClause 106 79 -147 
22 addClause 17 33 -24 
23 addClause -81 -101 159 
24 addClause -38 -6 -111 
25 addClause 106 70 9 
26 addClause -117 147 -90 
27 addClause 84 29 39 
28 addClause 84 56 15 
29 addClause -134 -133 -103 
30 addClause 159 -65 -78 
31 addClause 14 127 21 
32 addClause -49 162 64 
33 addClause 40 -158 -35 
34 addClause -28 -100 -64 
35 addClause 133 -70 -32 
36 addClause -149 -128 -90 
37 addClause 94 161 -78 
38 addClause 21 -96 -70 
39 addClause 38 142 -142 
40 addClause 162 -46 -6 
41 addClause 158 82 104 
42 addClause -3 -72 59 
43 addClause -92 -7 -15 
44 addClause -119 -103 100 
45 addClause -54 -144 -129 
46 addClause 142 62 -122 
47 addClause 55 -39 146 
48 addClause 61 87 -20 
49 addClause -103 -70 144 
50 addClause -154 -33 -49 
51 addClause -140 20 -161 
52 addClause -71 -26 -73 
53 addClause -80 127 -70 
54 addClause 29 130 104 
55 addClause -77 26 22 
56 addClause -17 -101 -142 
57 addClause 4 38 13 
58 addClause 70 54 20 
59 addClause -138 145 66 
60 addClause -139 -46 94 
61 addClause 69 -84 163 
62 addClause -72 -118 79 
63 addClause -75 29 -87 
64 addClause 127 21 56 
65 addClause -147 155 -97 
66 addClause 98 6 -88 
67 addClause 158 36 5 
68 addClause 63 150 67 
69 addClause -74 -21 109 
70 addClause -136 103 125 
71 addClause 16 3 39 
72 addClause 22 19 83 
73 addClause 18 -80 -40 
74 addClause 61 -135 -7 
75 addClause 25 31 -74 
76 addClause -107 -32 112 
77 addClause 61 -16 67 
78 addClause -154 -162 -139 
79 addClause 45 123 54 
80 addClause -3 71 52 
81 addClause -35 -121 142 
82 addClause 151 -141 80 
83 addClause -162 -63 -164 
84 addClause 8 13 138 
85 addClause -61 -71 122 
86 addClause 38 -46 44 
87 addClause 75 64 -121 
88 addClause 18 78 -68 
89 addClause 98 -141 63 
90 addClause 130 42 -121 
91 addClause 1 26 56 
92 addClause -129 24 -64 
93 addClause 108 135 58 
94 addClause 78 83 98 
95 addClause -58 -40 10 
96 addClause 130 36 32 
97 addClause -148 -30 140 
98 addClause -162 127 -142 
99 addClause -109 4 53 
100 addClause -121 40 -68 
101 addClause 7 76 13 
102 addClause -34 107 161 
103 addClause -39 -47 -26 
104 addClause 38 -142 -11 
105 addClause -44 -36 -56 
106 addClause -45 108 -48 
107 addClause 28 -46 33 
108 addClause -99 79 -113 
109 addClause 27 77 -81 
110 addClause -48 -131 163 
111 addClause -4 -11 -145 
112 addClause -72 -143 -37 
113 addClause 11 57 -34 
114 addClause -98 52 25 
115 addClause 163 -37 155 
116 addClause -120 -42 -9 
117 addClause 44 -120 -75 
118 addClause 24 77 111 
119 addClause 96 30 -154 
120 addClause -66 -91 44 
121 addClause 163 -51 71 
122 addClause 81 -73 -128 
123 addClause -160 118 -149 
124 addClause 74 115 116 
125 addClause 36 -99 111 
126 addClause 123 -45 124 
127 addClause -130 -111 125 
128 addClause 5 92 -91 
129 addClause 91 -123 -118 
130 addClause -9 -76 121 
131 addClause -79 78 118 
132 addClause -65 12 -163 
133 addClause -69 112 -113 
134 addClause -69 -152 -126 
135 addClause -76 -51 153 
136 addClause -115 4 -14 
137 addClause 120 138 42 
138 addClause -156 93 155 
139 addClause 35 142 -145 
140 addClause -125 -22 -58 
141 addClause -143 59 -64 
142 addClause -40 136 150 
143 addClause -56 36 -96 
144 addClause -54 153 -131 
145 addClause 61 36 -44 
146 addClause 15 87 70 
147 addClause 45 -28 -161 
148 addClause -9 95 -141 
149 addClause -49 55 -80 
150 addClause -146 -26 -163 
151 addClause -108 -89 -39 
152 addClause -120 -75 78 
153 addClause -147 70 -49 
154 addClause 137 -112 132 
155 addClause 26 -127 -145 
156 addClause 123 9 -107 
157 addClause -62 -21 -41 
158 addClause 93 76 -129 
159 addClause 57 20 -1 
160 addClause -12 142 139 
161 addClause 84 -105 20 
162 addClause -154 112 -85 
