1 init
2 using solver PARAMS
3 Random Walk 0.13151186082889232
4 DBS simplification allowed
5 addClause -92 20 140 
6 addClause -43 120 85 
7 addClause 142 -99 -54 
8 addClause -141 -73 -82 
9 addClause 69 -67 -59 
10 addClause -14 72 92 
11 addClause 33 -71 -46 
12 addClause -146 -144 -98 
13 addClause 19 22 -22 
14 addClause -16 -140 -99 
15 addClause -63 -55 -126 
16 addClause -6 -50 106 
17 addClause 66 53 -81 
18 addClause -88 -124 49 
19 addClause 53 -75 14 
20 addClause -5 -56 -36 
21 addClause -84 -5 -27 
22 addClause -109 -38 38 
23 addClause 29 113 78 
24 addClause -45 1 51 
25 addClause 52 31 114 
26 addClause 40 32 12 
27 addClause 6 -114 112 
28 addClause -111 29 93 
29 addClause 115 -44 106 
30 addClause -10 126 -85 
31 addClause -98 114 -115 
32 addClause -95 143 -20 
33 addClause -73 -96 93 
34 addClause -111 -149 75 
35 addClause 118 -85 58 
36 addClause 65 -48 93 
37 addClause -18 -114 -26 
38 addClause 54 -96 -57 
39 addClause -116 104 28 
40 addClause 29 67 -142 
41 addClause 111 -12 -143 
42 addClause 82 18 -27 
43 addClause -115 -31 24 
44 addClause 42 -112 -52 
45 addClause -4 54 120 
46 addClause -88 -14 71 
47 addClause 66 -86 121 
48 addClause 77 124 -127 
49 addClause 148 9 16 
50 addClause -87 -46 76 
51 addClause -92 -107 31 
52 addClause 107 18 -63 
53 addClause -80 -117 12 
54 addClause -62 26 122 
55 addClause -114 104 -72 
56 addClause 28 5 145 
57 addClause -16 129 4 
58 addClause -88 77 47 
59 addClause -83 77 -34 
60 addClause -124 109 -48 
61 addClause -62 23 -35 
62 addClause 129 111 28 
63 addClause -110 -17 61 
64 addClause 103 40 134 
65 addClause -102 41 103 
66 addClause 108 -76 38 
67 addClause 50 -105 -57 
68 addClause 134 146 75 
69 addClause -48 -94 -80 
70 addClause -98 95 36 
71 addClause 7 -62 139 
72 addClause 32 -83 25 
73 addClause -69 -53 84 
74 addClause 4 125 86 
75 addClause 88 61 38 
76 addClause -9 24 -145 
77 addClause -89 62 34 
78 addClause 113 121 -137 
79 addClause 13 147 1 
80 addClause -106 -66 21 
81 addClause -133 121 -61 
82 addClause -43 -127 -62 
83 addClause -67 -117 79 
84 addClause -125 -44 81 
85 addClause 27 83 41 
86 addClause 145 -73 123 
87 addClause -145 51 -146 
88 addClause -9 35 139 
89 addClause -116 -100 147 
90 addClause -79 33 -31 
91 addClause 103 -47 46 
92 addClause 142 143 -38 
93 addClause 33 17 4 
94 addClause 95 -21 -139 
95 addClause -94 -28 -17 
96 addClause -38 -74 103 
97 addClause -115 -121 6 
98 addClause 11 -28 -130 
99 addClause 130 -29 -31 
100 addClause -123 86 79 
101 addClause 122 -35 54 
102 addClause 63 -20 -128 
103 addClause -127 -63 -14 
104 addClause 118 -1 2 
105 addClause 131 66 10 
106 addClause -82 53 116 
107 addClause 36 22 -56 
108 addClause -135 -92 22 
109 addClause 113 93 -58 
110 addClause 22 -67 69 
111 addClause 57 -90 59 
112 addClause -47 92 91 
113 addClause 5 -29 -44 
114 addClause -122 48 72 
115 addClause -34 16 -114 
116 addClause 87 -88 -72 
117 addClause -21 -113 99 
118 addClause 19 -125 142 
119 addClause -111 62 -46 
120 addClause 127 120 -89 
121 addClause -30 -75 16 
122 addClause -137 13 146 
123 addClause -107 140 -63 
124 addClause 3 -68 74 
125 addClause 52 -77 -100 
126 addClause 64 -126 83 
127 addClause -7 -144 42 
128 addClause -55 -137 9 
129 addClause -132 25 -99 
130 addClause -142 -138 -92 
131 addClause -20 -121 85 
132 addClause 81 -129 28 
133 addClause 75 87 -148 
134 addClause 58 51 -52 
135 addClause -58 -125 -34 
136 addClause 27 146 -98 
137 addClause -147 100 116 
138 addClause -16 128 -146 
139 addClause 87 -18 -2 
140 addClause 128 148 -46 
141 addClause -30 -103 -146 
142 addClause -7 26 109 
143 addClause 82 107 -142 
144 addClause 76 70 111 
145 addClause 149 113 80 
146 addClause -98 25 -23 
147 addClause 136 -53 97 
148 addClause 147 -124 -150 
149 addClause -144 109 -88 
