1 init
2 using solver PHASE
3 Random Walk 0.5152359565364061
4 DBS simplification allowed
5 addClause -54 32 -7 
6 addClause -80 54 -95 
7 addClause 23 87 -33 
8 addClause 28 62 29 
9 addClause 55 49 123 
10 addClause -101 22 115 
11 addClause 69 -107 -103 
12 addClause 2 -122 -115 
13 addClause 26 68 39 
14 addClause -29 106 56 
15 addClause 19 101 -29 
16 addClause 89 28 103 
17 addClause -37 107 -70 
18 addClause 56 58 -3 
19 addClause 98 49 -68 
20 addClause -61 75 34 
21 addClause 82 30 4 
22 addClause -22 43 -62 
23 addClause -16 34 -111 
24 addClause 45 36 95 
25 addClause -122 87 -121 
26 addClause 107 -100 -62 
27 addClause 16 -121 -61 
28 addClause -105 -98 -9 
29 addClause 70 -86 104 
30 addClause -62 -41 92 
31 addClause 5 76 -63 
32 addClause -85 -83 122 
33 addClause 52 48 -33 
34 addClause -111 -86 116 
35 addClause -44 27 -56 
36 addClause -56 -64 119 
37 addClause 97 -33 81 
38 addClause -117 92 -102 
39 addClause 71 1 -122 
40 addClause 65 -76 60 
41 addClause 74 89 61 
42 addClause 118 -43 -74 
43 addClause 78 87 -106 
44 addClause -10 52 -76 
45 addClause 90 -97 -124 
46 addClause 1 118 102 
47 addClause 113 28 85 
48 addClause 77 -101 56 
49 addClause 10 -40 18 
50 addClause 18 -9 -67 
51 addClause 9 -84 59 
52 addClause -67 -48 -28 
53 addClause -85 -77 -62 
54 addClause -72 -33 -104 
55 addClause 14 -112 -111 
56 addClause 120 -73 99 
57 addClause -90 39 48 
58 addClause 37 -1 66 
59 addClause -55 23 93 
60 addClause -101 22 21 
61 addClause 106 -75 97 
62 addClause -66 -38 34 
63 addClause -42 -105 -83 
64 addClause -105 -78 -76 
65 addClause -9 -31 -1 
66 addClause 94 -123 1 
67 addClause 123 27 46 
68 addClause 101 61 57 
69 addClause -22 -21 33 
70 addClause 36 -11 -23 
71 addClause 99 92 35 
72 addClause 4 -67 109 
73 addClause 6 -68 -4 
74 addClause 108 -117 64 
75 addClause -12 -77 -13 
76 addClause -53 -61 98 
77 addClause -3 -6 -5 
78 addClause 3 -80 32 
79 addClause -111 -1 -49 
80 addClause 57 35 -63 
81 addClause 101 23 -17 
82 addClause -65 -9 12 
83 addClause -90 -63 -103 
84 addClause 5 -33 88 
85 addClause 120 23 80 
86 addClause 52 -97 2 
87 addClause 39 -71 70 
88 addClause 30 102 111 
89 addClause -76 -51 -99 
90 addClause -115 45 -121 
91 addClause -119 -110 -50 
92 addClause 20 43 -49 
93 addClause -107 82 -28 
94 addClause 36 46 -109 
95 addClause 52 22 32 
96 addClause -87 -30 -103 
97 addClause 71 -63 85 
98 addClause 16 98 -46 
99 addClause 8 -106 36 
100 addClause -40 -124 -88 
101 addClause 104 98 108 
102 addClause -91 108 20 
103 addClause 89 -23 33 
104 addClause -29 123 26 
105 addClause -120 39 34 
106 addClause -25 -38 62 
107 addClause -97 -26 -2 
108 addClause 57 -111 54 
109 addClause 73 6 -102 
110 addClause 44 5 11 
111 addClause 2 68 109 
112 addClause 35 115 -99 
113 addClause -22 -114 -16 
114 addClause 79 29 72 
115 addClause -118 64 58 
116 addClause 3 16 65 
117 addClause 5 104 -54 
118 addClause 80 107 73 
119 addClause 106 -49 -32 
120 addClause -118 104 -71 
121 addClause 48 -18 65 
122 addClause 101 12 -50 
123 addClause -13 55 -12 
124 addClause 8 -29 91 
125 addClause 102 -52 77 
126 addClause -85 -58 -92 
127 addClause 3 -2 -11 
128 addClause -35 122 86 
129 addClause -112 14 99 
130 addClause -85 100 -105 
131 addClause -3 -103 -104 
132 addClause 119 -100 38 
133 addClause -74 42 -76 
134 addClause 4 -75 -87 
135 addClause 86 1 -10 
136 addClause 84 -16 50 
137 addClause -46 -73 -119 
138 addClause -8 37 56 
139 addClause 17 -63 89 
140 addClause -4 43 -70 
141 addClause 1 -111 -72 
142 addClause 96 -117 -18 
143 addClause -96 -90 -32 
144 addClause -17 -57 8 
145 addClause -109 85 -5 
146 addClause -67 115 82 
147 addClause 14 76 -113 
148 addClause -30 4 70 
149 addClause 93 -67 -71 
150 addClause 25 120 65 
151 addClause -96 -28 -92 
152 addClause 20 -92 118 
153 addClause -34 31 109 
154 addClause -110 -60 -35 
155 addClause 26 -43 -2 
156 addClause 59 -3 -33 
157 addClause 98 -89 119 
158 addClause 30 96 -114 
159 addClause 115 -58 -13 
160 addClause 91 -11 -39 
161 addClause 92 102 -72 
162 addClause -45 -113 48 
163 addClause -83 -60 -26 
164 addClause 118 55 -103 
165 addClause 95 14 -77 
166 addClause -57 80 66 
167 addClause -7 -63 -24 
168 addClause -55 83 -34 
169 addClause 35 -57 -8 
170 addClause -50 -63 -67 
171 addClause -50 18 3 
172 addClause -124 -102 91 
173 addClause 35 98 45 
174 addClause 18 72 -89 
175 addClause -67 23 -93 
176 addClause 105 100 118 
177 addClause 17 -21 98 
178 addClause -5 44 4 
179 addClause -62 118 -80 
180 addClause 92 -21 97 
181 addClause 120 -47 -99 
182 addClause 31 -54 -72 
183 addClause 54 103 -18 
184 addClause 96 -24 -123 
185 addClause 78 -33 105 
186 addClause -30 50 -48 
187 addClause 39 -62 -13 
188 addClause -60 -98 35 
189 addClause -103 29 -1 
190 addClause 77 68 2 
191 addClause -58 -35 -61 
192 addClause -124 32 123 
193 addClause -51 -112 -25 
194 addClause 108 -62 109 
195 addClause -4 2 -108 
196 addClause -67 -96 38 
197 addClause -41 64 119 
198 addClause 48 -38 -117 
199 addClause -23 61 -110 
200 addClause 80 38 88 
201 addClause 58 -113 -114 
202 addClause -45 72 90 
203 addClause 82 -116 -65 
204 addClause 79 -94 -27 
205 addClause 12 -66 4 
206 addClause 3 -1 58 
207 addClause 54 -104 16 
208 addClause -75 -72 -4 
209 addClause 35 -5 -7 
210 addClause 55 -118 33 
211 addClause -76 65 14 
212 addClause -58 -50 34 
213 addClause -118 103 23 
214 addClause 101 4 -79 
215 addClause -37 119 72 
216 addClause 95 60 -106 
217 addClause 114 -68 -74 
218 addClause -36 40 106 
219 addClause 23 83 10 
