1 init
2 Data Structure Factory : CardinalityDataStructureYanMax
3 Learning Strategy : ClauseOnlyLearning
4 Order : VarOrderHeap/varDecay=0.21862827989033673
5 Phase Selection Strategy : RandomLiteralSelectionStrategy
6 Restart Strategy : MiniSATRestarts
7 Simplification Type : expensiveSimplificationWLOnly
8 Search Params : varDecay=0.9788708337826432/claDecay=0.5964469013785227/conflictBoundIncFactor=0.10757244314251668/initConflictBound=872
9 Learned Constraints Evaluation Type : ACTIVITY
10 Random Walk : 0.6223555244609674
11 DBS simplification
12 addClause 1 -83 118 
13 addClause -9 137 -49 
14 addClause 44 55 56 
15 addClause -68 47 95 
16 addClause 142 -63 -99 
17 addClause -96 -80 76 
18 addClause -58 18 103 
19 addClause -134 -127 45 
20 addClause -60 -67 3 
21 addClause 8 125 -8 
22 addClause 106 2 -63 
23 addClause -72 -73 127 
24 addClause 129 48 117 
25 addClause 118 31 -23 
26 addClause 137 129 -126 
27 addClause 135 101 -62 
28 addClause 138 -94 56 
29 addClause -8 32 17 
30 addClause -71 114 78 
31 addClause -76 -44 91 
32 addClause 4 -54 -89 
33 addClause 4 -40 132 
34 addClause 39 56 80 
35 addClause 35 -34 39 
36 addClause -90 -106 -102 
37 addClause 74 -75 1 
38 addClause -63 -107 -5 
39 addClause 23 46 -31 
40 addClause -82 -49 -75 
41 addClause -110 -92 -113 
42 addClause -10 -122 -93 
43 addClause -8 -109 -143 
44 addClause -101 -99 74 
45 addClause -43 -9 -103 
46 addClause 126 43 70 
47 addClause -2 35 135 
48 addClause 9 8 7 
49 addClause -54 6 44 
50 addClause -34 55 84 
51 addClause 17 -30 -84 
52 addClause 38 11 89 
53 addClause 41 86 127 
54 addClause -40 -9 46 
55 addClause -6 -139 52 
56 addClause -87 -13 -136 
57 addClause -72 139 -86 
58 addClause -13 -108 -126 
59 addClause -105 139 -139 
60 addClause -31 75 119 
61 addClause 107 -73 6 
62 addClause -11 -83 58 
63 addClause -74 -87 -53 
64 addClause -38 43 134 
65 addClause -91 -103 88 
66 addClause -60 -1 -41 
67 addClause -49 12 -58 
68 addClause 17 -24 50 
69 addClause 60 -88 -94 
70 addClause 42 45 -51 
71 addClause -103 -86 118 
72 addClause -103 -143 110 
73 addClause -26 -22 112 
74 addClause 54 76 69 
75 addClause -5 -106 -21 
76 addClause 105 12 104 
77 addClause 20 -89 -17 
78 addClause -126 34 -79 
79 addClause -137 47 -142 
80 addClause 100 35 -48 
81 addClause 93 52 104 
82 addClause -72 -88 -13 
83 addClause -79 78 -116 
84 addClause 10 22 -66 
85 addClause -15 131 114 
86 addClause 79 -105 -96 
87 addClause -67 87 -97 
88 addClause 79 -123 21 
89 addClause -2 -119 -69 
90 addClause -60 64 106 
91 addClause -20 -111 93 
92 addClause 7 -13 27 
93 addClause 113 60 -16 
94 addClause 29 -142 130 
95 addClause -36 -22 20 
96 addClause -70 -6 -115 
97 addClause 52 53 93 
98 addClause -80 67 98 
99 addClause -108 90 2 
100 addClause -86 70 -81 
101 addClause -44 -124 -61 
102 addClause -42 -3 -137 
103 addClause 71 -3 16 
104 addClause -136 24 -130 
105 addClause 1 -121 -44 
106 addClause 6 -35 -22 
107 addClause 89 -71 -87 
108 addClause 12 -122 -39 
109 addClause -59 87 -66 
110 addClause -121 73 97 
111 addClause -34 101 -125 
112 addClause 18 72 64 
113 addClause 44 10 138 
114 addClause 60 -15 -38 
115 addClause -64 90 -23 
116 addClause -22 -44 -117 
117 addClause -99 19 -88 
118 addClause 14 128 -88 
119 addClause -74 -82 -36 
120 addClause 12 -102 -98 
121 addClause -71 115 -24 
122 addClause 88 57 127 
123 addClause -70 142 -10 
124 addClause -36 128 -112 
125 addClause 64 -112 -81 
126 addClause 20 -80 -60 
127 addClause 33 -127 -37 
128 addClause 61 108 43 
129 addClause -14 76 34 
130 addClause -54 -58 48 
131 addClause 112 -30 -115 
132 addClause 74 -58 84 
133 addClause -55 102 73 
134 addClause 131 49 135 
135 addClause 42 -60 -67 
136 addClause 93 112 -139 
137 addClause -18 -26 21 
138 addClause -81 -137 -20 
139 addClause -59 -54 95 
140 addClause 32 90 -121 
141 addClause 86 -101 -91 
142 addClause 82 -4 96 
143 addClause 20 -132 105 
144 addClause -55 -27 126 
145 addClause 117 80 -103 
146 addClause -69 -131 -80 
147 addClause 121 -54 -47 
148 addClause 81 136 95 
149 addClause 140 -8 -16 
150 addClause 120 -25 -106 
151 addClause 124 -112 71 
152 addClause -40 -33 -25 
153 addClause -54 116 60 
154 addClause -104 -12 -5 
155 addClause -93 -60 97 
156 addClause 65 127 96 
157 addClause 23 -18 98 
158 addClause -52 41 -31 
159 addClause -10 92 -110 
160 addClause 90 127 6 
161 addClause 93 85 -111 
162 addClause 142 -104 -73 
163 addClause 99 -38 -82 
164 addClause 76 58 31 
165 addClause -80 -52 -106 
166 addClause -50 -31 -54 
167 addClause 17 35 99 
168 addClause 18 132 -139 
169 addClause 124 -9 -51 
170 addClause 85 -81 -113 
171 addClause 118 45 141 
172 addClause 47 86 42 
173 addClause -40 127 -77 
174 addClause -115 -89 4 
175 addClause -126 -125 -39 
176 addClause -103 -55 15 
177 addClause 96 -131 61 
178 addClause 6 -108 47 
179 addClause 90 98 89 
180 addClause -120 6 -56 
181 addClause -12 -133 142 
182 addClause 73 128 -60 
183 addClause 91 -143 -38 
184 addClause 90 -19 -141 
185 addClause 59 37 -108 
186 addClause -1 61 -104 
187 addClause 10 -75 23 
188 addClause 94 47 -121 
189 addClause -113 4 -105 
190 addClause 77 116 78 
191 addClause -90 -80 81 
192 addClause 60 -17 -7 
193 addClause 51 -60 -115 
194 addClause 124 -55 -140 
195 addClause -108 -96 30 
196 addClause -142 -106 52 
197 addClause 118 -141 -122 
198 addClause -62 58 6 
199 addClause 113 -22 18 
200 addClause -94 -87 63 
201 addClause -60 131 136 
202 addClause -121 -127 16 
203 addClause 7 -69 -98 
204 addClause -118 102 -123 
205 addClause 54 -58 -121 
206 addClause 61 13 73 
207 addClause 88 -59 -58 
208 addClause -140 -70 126 
209 addClause -34 -50 -26 
210 addClause 83 -112 -47 
211 addClause 28 5 94 
212 addClause 13 -136 16 
213 addClause 100 21 54 
214 addClause -101 -106 36 
215 addClause -60 -104 -137 
216 addClause -93 58 -7 
217 addClause -50 28 -120 
218 addClause 15 90 12 
219 addClause 3 -40 124 
220 addClause 136 -40 9 
221 addClause 105 70 -49 
222 addClause -15 78 -122 
223 addClause 77 -18 -112 
224 addClause 46 -87 119 
225 addClause 67 -45 12 
226 addClause -43 29 136 
227 addClause 142 -102 -45 
228 addClause 10 -141 -112 
229 addClause 35 -12 -115 
230 addClause 142 132 -5 
231 addClause 116 -83 91 
232 addClause 130 -90 -71 
233 addClause -127 -77 128 
234 addClause 95 101 123 
235 addClause -88 -36 57 
236 addClause -95 -71 -105 
237 addClause -119 125 -22 
238 addClause 41 -130 -142 
239 addClause 119 114 97 
240 addClause -48 65 118 
241 addClause -2 56 75 
242 addClause -49 -39 -31 
243 addClause -141 -29 -36 
244 addClause 19 -48 -94 
245 addClause -42 115 47 
246 addClause -93 -10 11 
247 addClause 97 -47 30 
248 addClause -86 -53 -99 
249 addClause -26 92 123 
250 addClause 128 107 -19 
251 addClause -86 -38 116 
252 addClause -74 -59 -20 
253 addClause -17 -107 45 
254 addClause 63 -69 -92 
255 addClause 13 40 16 
256 addClause 10 27 114 
257 addClause 20 142 -126 
258 addClause 99 35 -33 
259 addClause 98 137 94 
260 addClause -115 91 136 
261 addClause -7 109 -134 
262 addClause -51 -6 28 
263 addClause 135 109 28 
264 addClause -105 128 -21 
265 addClause -138 24 80 
266 addClause 44 125 22 
267 addClause -116 -92 41 
268 addClause 55 -129 -26 
269 addClause 119 -37 140 
270 addClause -23 54 140 
271 addClause -94 -48 130 
272 addClause 92 -55 -14 
273 addClause -32 -80 119 
274 addClause 104 -68 -123 
275 addClause -24 -64 -71 
276 addClause 93 -143 39 
277 addClause -113 9 -106 
278 addClause -94 115 83 
279 addClause 15 57 -9 
280 addClause -2 5 -127 
281 addClause 31 35 -139 
282 addClause -108 -126 -101 
283 addClause -136 88 72 
284 addClause -53 126 38 
285 addClause -124 -118 -24 
286 addClause 8 -127 -92 
287 addClause -65 -71 -13 
288 addClause 52 -70 -129 
289 addClause -140 32 -120 
290 addClause 44 27 119 
