1 init
2 Data Structure Factory : MixedDataStructureSingleWL
3 Order : VarOrderHeap/varDecay=0.11171708176668327
4 Phase Selection Strategy : RandomLiteralSelectionStrategy
5 Learning Strategy : MiniSATLearning
6 Restart Strategy : MiniSATRestarts
7 Simplification Type : NO_SIMPLIFICATION
8 Search Params : varDecay=0.9895250257819193/claDecay=1.3292891059130876/conflictBoundIncFactor=2.448777001378182/initConflictBound=512
9 Learned Constraints Evaluation Type : LBD2
10 Random Walk : 0.20867936387033403
11 DBS simplification
12 addClause -15 103 -88 
13 addClause -121 -97 -98 
14 addClause -21 -6 84 
15 addClause 73 -20 -118 
16 addClause -55 46 90 
17 addClause 45 102 100 
18 addClause -27 96 72 
19 addClause -105 124 116 
20 addClause 124 -109 -108 
21 addClause -58 -107 90 
22 addClause 66 19 36 
23 addClause 121 -83 99 
24 addClause -60 88 -66 
25 addClause -52 17 73 
26 addClause -111 -47 -20 
27 addClause -100 114 9 
28 addClause 121 -6 119 
29 addClause -6 8 -115 
30 addClause 79 11 -37 
31 addClause -61 42 110 
32 addClause -77 -4 118 
33 addClause 94 -35 -107 
34 addClause 125 -28 -88 
35 addClause 96 106 15 
36 addClause 95 -56 -50 
37 addClause 68 -94 94 
38 addClause 32 71 -18 
39 addClause -83 89 -93 
40 addClause 122 64 -22 
41 addClause 95 65 -103 
42 addClause -120 -58 -22 
43 addClause 1 78 115 
44 addClause -15 115 29 
45 addClause -33 82 20 
46 addClause -85 -124 27 
47 addClause -117 111 75 
48 addClause -5 18 63 
49 addClause 81 -72 -123 
50 addClause 76 122 23 
51 addClause 86 90 -5 
52 addClause -46 20 -21 
53 addClause -112 20 -106 
54 addClause -121 -125 113 
55 addClause 10 102 -32 
56 addClause 79 11 -31 
57 addClause -56 -115 -108 
58 addClause 14 78 -117 
59 addClause -111 8 1 
60 addClause -28 53 -63 
61 addClause 23 -82 -100 
62 addClause -2 22 69 
63 addClause -13 113 85 
64 addClause 31 -92 -37 
65 addClause 15 -121 -11 
66 addClause -94 -79 -108 
67 addClause 55 -16 -93 
68 addClause 80 -87 117 
69 addClause 21 20 -33 
70 addClause -41 116 -51 
71 addClause 44 48 -74 
72 addClause 88 -31 -34 
73 addClause -89 -110 -68 
74 addClause 120 -49 -82 
75 addClause 77 -26 -62 
76 addClause -73 8 -85 
77 addClause -114 -11 31 
78 addClause -23 112 -58 
79 addClause 103 6 -58 
80 addClause 26 58 73 
81 addClause 38 -3 -10 
82 addClause 5 86 108 
83 addClause 29 119 -49 
84 addClause 115 20 -8 
85 addClause 118 -39 -15 
86 addClause -107 55 -63 
87 addClause -122 118 35 
88 addClause -28 -22 -89 
89 addClause 33 94 -76 
90 addClause -125 34 42 
91 addClause 8 -20 -16 
92 addClause 35 -85 -42 
93 addClause 76 -75 35 
94 addClause -37 79 105 
95 addClause 124 -82 -126 
96 addClause -85 -97 19 
97 addClause 6 -10 -49 
98 addClause -96 -119 -62 
99 addClause -109 -93 -63 
100 addClause 4 -114 -64 
101 addClause -68 -22 71 
102 addClause -110 -13 106 
103 addClause 116 -8 -93 
104 addClause -67 47 14 
105 addClause -110 -47 -89 
106 addClause -7 -25 98 
107 addClause 119 28 -124 
108 addClause 30 -106 -104 
109 addClause -85 91 -104 
110 addClause -16 64 116 
111 addClause -121 -87 99 
112 addClause -57 50 -101 
113 addClause -78 75 20 
114 addClause 123 -120 -40 
115 addClause 20 -113 61 
116 addClause 95 -67 -116 
117 addClause -87 30 55 
118 addClause 113 56 -52 
119 addClause -77 -49 -118 
120 addClause -122 -67 106 
121 addClause -85 62 -91 
122 addClause -118 -68 -54 
123 addClause 71 69 11 
124 addClause 37 122 83 
125 addClause 94 126 73 
126 addClause 26 -117 -121 
127 addClause -4 24 -87 
128 addClause -14 -18 68 
129 addClause 57 -96 -10 
130 addClause -15 90 -28 
131 addClause 38 34 112 
132 addClause -40 -88 89 
133 addClause -68 95 58 
134 addClause -81 124 104 
135 addClause 124 -97 44 
136 addClause 41 -21 118 
137 addClause 117 2 102 
138 addClause -11 -26 95 
139 addClause 15 88 54 
140 addClause -96 -92 59 
141 addClause 49 -9 -19 
142 addClause 21 125 89 
143 addClause 88 8 -91 
144 addClause 82 10 -108 
145 addClause -39 -112 -4 
146 addClause 19 -4 11 
147 addClause 90 -13 -15 
148 addClause -81 -99 68 
149 addClause -1 31 27 
150 addClause -58 108 -10 
151 addClause -84 -17 78 
152 addClause -8 60 -122 
153 addClause 36 -104 -127 
154 addClause 40 108 -83 
155 addClause -116 -21 -80 
156 addClause 58 -120 -40 
157 addClause -85 109 -80 
158 addClause -70 17 -49 
159 addClause -48 -77 -44 
160 addClause -110 -45 -83 
161 addClause 7 110 -74 
162 addClause 32 35 85 
163 addClause 64 27 -81 
164 addClause 64 57 -58 
165 addClause 54 35 -14 
166 addClause -74 -63 -14 
167 addClause 111 -97 -76 
168 addClause -3 42 -71 
169 addClause -83 53 -21 
170 addClause 51 -6 105 
171 addClause 116 -4 36 
172 addClause 40 -21 13 
173 addClause -126 122 55 
174 addClause -6 86 88 
175 addClause 76 107 57 
176 addClause 69 41 -29 
177 addClause 47 75 94 
178 addClause -71 31 -109 
179 addClause -6 -51 -92 
180 addClause -84 -110 -11 
181 addClause -101 35 -111 
182 addClause -103 -86 31 
183 addClause 84 13 -83 
184 addClause -83 114 72 
185 addClause 115 -91 -81 
186 addClause -109 12 -36 
187 addClause 11 -70 -54 
188 addClause 33 60 -69 
189 addClause 90 -32 -75 
190 addClause 66 -20 73 
191 addClause 8 32 96 
192 addClause -118 64 -98 
193 addClause 4 93 84 
194 addClause -47 4 -33 
195 addClause -96 -84 -85 
196 addClause -39 -84 -100 
197 addClause 7 116 -113 
198 addClause -33 -47 -10 
199 addClause 65 -102 42 
200 addClause -4 1 -70 
201 addClause -65 -38 98 
202 addClause -112 -43 -101 
203 addClause -75 82 -119 
204 addClause -48 36 43 
205 addClause 43 38 -7 
206 addClause 110 26 -38 
207 addClause -118 79 -55 
208 addClause 22 -122 -50 
209 addClause -88 18 -90 
210 addClause -49 93 -36 
211 addClause -38 -6 -75 
212 addClause 33 67 76 
213 addClause -12 89 41 
214 addClause -74 125 66 
215 addClause -71 -14 -100 
216 addClause 109 41 -84 
217 addClause 90 66 117 
218 addClause -85 97 114 
219 addClause -124 97 -37 
220 addClause -103 -115 119 
221 addClause -43 74 -84 
222 addClause 111 71 -60 
223 addClause -105 91 -48 
224 addClause 61 72 -8 
225 addClause 64 -41 -10 
226 addClause 3 110 121 
227 addClause -103 27 76 
228 addClause -15 -64 24 
229 addClause 80 -91 104 
230 addClause -77 -29 -21 
231 addClause -15 48 -5 
232 addClause -92 -16 95 
233 addClause 7 116 -85 
234 addClause -124 -30 15 
235 addClause 50 48 51 
236 addClause 107 -67 78 
237 addClause 105 63 49 
238 addClause 105 -36 -60 
239 addClause 42 115 -118 
240 addClause 5 42 101 
241 addClause -80 -22 61 
242 addClause -94 -101 7 
243 addClause 62 34 3 
244 addClause 120 57 124 
245 addClause -53 -83 -74 
246 addClause 93 89 124 
247 addClause 109 99 -14 
248 addClause -72 -68 -114 
249 addClause 82 -60 -87 
250 addClause 56 103 92 
251 addClause 48 93 -102 
252 addClause -61 -46 -20 
253 addClause -103 108 -90 
254 addClause 27 -58 -83 
255 addClause 65 17 -75 
256 addClause -82 2 1 
257 addClause -22 41 28 
258 addClause 83 -33 121 
259 addClause 46 -32 123 
260 addClause -121 87 92 
261 addClause -7 -68 -101 
262 addClause -30 -55 95 
263 addClause 85 -46 74 
264 addClause -18 -48 -127 
265 addClause -118 94 81 
266 addClause -83 82 15 
267 addClause 40 -66 -102 
268 addClause 86 81 -61 
269 addClause -113 109 -125 
270 addClause -61 104 -23 
271 addClause -46 -61 13 
272 addClause -126 98 114 
273 addClause 34 -53 -50 
274 addClause -30 61 -11 
275 addClause -89 43 70 
276 addClause -16 40 68 
277 addClause -29 -1 -58 
278 addClause 83 -64 -56 
279 addClause -23 19 -112 
280 addClause -76 -47 64 
281 addClause 1 69 98 
282 addClause -7 78 -12 
283 addClause -97 59 13 
284 addClause 7 -68 -7 
285 addClause 31 71 -12 
286 addClause 124 -79 -6 
287 addClause 11 106 -42 
288 addClause -14 -101 125 
289 addClause -57 -118 114 
290 addClause -45 112 -115 
291 addClause -16 -20 114 
292 addClause -44 90 -24 
293 addClause 69 -10 -113 
294 addClause 3 -26 -27 
295 addClause 57 73 47 
296 addClause 87 -111 -48 
297 addClause 37 92 -13 
298 addClause 27 -4 92 
299 addClause -63 56 30 
300 addClause -107 24 -90 
301 addClause -89 76 -104 
302 addClause -96 38 -74 
303 addClause -117 110 22 
304 addClause 9 2 -56 
305 addClause 100 16 -29 
306 addClause 4 -71 -126 
307 addClause 66 -4 98 
308 addClause -15 32 -59 
309 addClause -22 124 87 
310 addClause -99 -121 -122 
311 addClause -84 108 34 
312 addClause 7 12 74 
313 addClause -32 106 10 
314 addClause -123 75 -91 
315 addClause -47 99 -74 
316 addClause -73 -33 -78 
317 addClause 111 -43 103 
318 addClause 27 118 51 
319 addClause 13 -27 17 
320 addClause -43 53 71 
321 addClause 75 -12 27 
322 addClause -101 4 -55 
323 addClause -6 19 -105 
324 addClause 50 -68 -113 
325 addClause 28 48 126 
326 addClause -44 79 33 
327 addClause -49 -6 -114 
328 addClause -81 102 -10 
329 addClause 125 -126 -13 
330 addClause 40 15 -118 
331 addClause -56 -63 -35 
332 addClause 62 78 29 
333 addClause 108 -99 28 
334 addClause 33 -11 40 
335 addClause 51 61 67 
