1 init
2 using solver MiniLearningHeap
3 Random Walk : 0.8100028767506289
4 DBS simplification
5 newVar 185
6 addClause -182 -113 -33 
7 addClause -119 -74 129 
8 addClause 133 137 -14 
9 addClause 21 -177 164 
10 addClause -15 -112 75 
11 addClause -164 69 -170 
12 addClause -75 89 95 
13 addClause 142 158 105 
14 addClause -151 -149 51 
15 addClause -167 91 28 
16 addClause -120 -164 79 
17 addClause -134 111 78 
18 addClause 119 -114 169 
19 addClause 137 -8 -100 
20 addClause -2 66 -75 
21 addClause -171 -50 56 
22 addClause 5 -91 -117 
23 addClause -105 2 -147 
24 addClause 111 -184 -173 
25 addClause 3 -35 153 
26 addClause 172 -66 7 
27 addClause -163 -143 16 
28 addClause 104 -179 158 
29 addClause -177 -26 33 
30 addClause 161 -68 163 
31 addClause 47 -104 -124 
32 addClause 94 65 126 
33 addClause 79 -129 -169 
34 addClause 128 -64 -91 
35 addClause -87 -84 157 
36 addClause 7 -116 106 
37 addClause -124 23 68 
38 addClause -92 -3 12 
39 addClause 131 115 -7 
40 addClause 11 -19 151 
41 addClause 166 24 -185 
42 addClause 34 99 121 
43 addClause -39 -135 142 
44 addClause -20 -75 -165 
45 addClause -30 -116 -75 
46 addClause 22 68 74 
47 addClause 49 30 22 
48 addClause 29 -108 15 
49 addClause -43 85 -149 
50 addClause 25 -119 146 
51 addClause 94 144 -52 
52 addClause -134 167 -114 
53 addClause 25 134 -32 
54 addClause -46 -79 -101 
55 addClause -90 -134 97 
56 addClause 114 6 72 
57 addClause -179 -98 102 
58 addClause -109 -85 -159 
59 addClause 134 10 -86 
60 addClause 97 115 -115 
61 addClause 113 -34 62 
62 addClause 99 104 -49 
63 addClause 101 123 130 
64 addClause -181 -73 172 
65 addClause 13 -106 -46 
66 addClause -8 -158 171 
67 addClause -107 14 71 
68 addClause 177 19 98 
69 addClause 111 150 31 
70 addClause 158 174 -133 
71 addClause 179 -170 -50 
72 addClause 135 92 165 
73 addClause 104 -180 -54 
74 addClause -41 110 -87 
75 addClause 97 100 105 
76 addClause -21 104 161 
77 addClause -179 -183 -147 
78 addClause 94 -141 -130 
79 addClause -113 -23 -33 
80 addClause 30 -35 -51 
81 addClause -124 70 166 
82 addClause -169 -88 3 
83 addClause -26 -43 -135 
84 addClause 158 -91 113 
85 addClause -88 -100 154 
86 addClause -2 120 143 
87 addClause 31 -132 -19 
88 addClause 82 126 38 
89 addClause 49 101 -71 
90 addClause -54 129 -1 
91 addClause 106 -80 -39 
92 addClause -8 -70 23 
93 addClause -92 116 146 
94 addClause -41 -42 150 
95 addClause -62 63 -60 
96 addClause 147 -130 13 
97 addClause -152 -155 118 
98 addClause 179 130 -42 
99 addClause -136 -68 16 
100 addClause 140 -166 -59 
101 addClause -26 96 -135 
102 addClause 69 -104 12 
103 addClause -173 67 -70 
104 addClause 104 90 33 
105 addClause 12 -68 -61 
106 addClause 96 179 -73 
107 addClause -58 3 102 
108 addClause 84 -45 -166 
109 addClause -88 2 120 
110 addClause -77 87 40 
111 addClause -156 151 -139 
112 addClause -15 148 70 
113 addClause 148 -89 -33 
114 addClause 172 21 105 
115 addClause -146 59 32 
116 addClause 162 156 23 
117 addClause -174 -103 -28 
118 addClause -39 89 96 
119 addClause 169 -58 -172 
120 addClause -88 -116 54 
121 addClause 59 94 -118 
122 addClause 10 150 -170 
123 addClause 151 147 113 
124 addClause 67 -35 -10 
125 addClause 127 -31 -37 
126 addClause 75 70 20 
127 addClause -37 79 -82 
128 addClause -132 -64 -156 
129 addClause -100 -39 -17 
130 addClause 79 131 160 
131 addClause -6 -128 129 
132 addClause 152 -130 -118 
133 addClause -7 -27 161 
134 addClause 151 2 -96 
135 addClause -138 120 157 
136 addClause -35 -34 113 
137 addClause 173 -111 -142 
138 addClause -74 158 -153 
139 addClause -153 148 -148 
140 addClause 51 -171 107 
141 addClause 59 -22 20 
142 addClause 80 -132 53 
143 addClause 137 58 81 
144 addClause 122 -50 -6 
145 addClause 120 15 119 
146 addClause -38 -68 159 
147 addClause 77 61 50 
148 addClause 142 -67 2 
149 addClause 126 151 -1 
150 addClause -47 -127 -53 
151 addClause 130 53 37 
152 addClause 31 69 -166 
153 addClause 179 173 -38 
154 addClause -168 52 133 
155 addClause -24 69 -160 
156 addClause 59 -24 123 
157 addClause 150 -95 128 
158 addClause -85 26 -148 
159 addClause 19 -152 -131 
160 addClause 87 -48 139 
161 addClause 22 -160 -145 
162 addClause 16 -25 20 
163 addClause -42 100 20 
164 addClause 26 -103 -117 
165 addClause 48 148 57 
166 addClause 72 41 24 
167 addClause 6 13 -63 
168 addClause 46 -181 155 
169 addClause -134 4 -18 
170 addClause 125 5 -46 
171 addClause -67 106 95 
172 addClause 95 -2 -83 
