1 init
2 Data Structure Factory : CardinalityDataStructureYanMax
3 Order : PureOrder/period=20
4 Phase Selection Strategy : PhaseCachingAutoEraseStrategy
5 Restart Strategy : MiniSATRestarts
6 Simplification Type : expensiveSimplificationWLOnly
7 Random Walk : 0.5769233350800447
8 DBS simplification
9 addClause 1 -8 -12 
10 addClause 12 20 -21 
11 addClause -15 18 2 
12 addClause -4 18 14 
13 addClause 7 -20 -18 
14 addClause -11 -7 -21 
15 addClause -4 -22 -9 
16 addClause -19 -6 16 
17 addClause -19 13 -23 
18 addClause -8 -4 12 
19 addClause 3 -5 -22 
20 addClause 4 -10 19 
21 addClause -22 1 16 
22 addClause 13 -20 -18 
23 addClause -22 9 11 
24 addClause 7 1 21 
25 addClause 14 -11 15 
26 addClause 13 15 2 
27 addClause 9 -18 7 
28 addClause 8 5 -15 
29 addClause 17 -14 -8 
30 addClause -17 4 -6 
31 addClause 20 10 17 
32 addClause -7 17 5 
33 addClause -1 -7 21 
34 addClause 14 20 -19 
35 addClause 8 20 -16 
36 addClause 17 -7 7 
37 addClause 6 9 2 
38 addClause -7 -12 -19 
39 addClause 8 17 13 
40 addClause -3 -10 13 
41 addClause 6 -22 -7 
42 addClause 13 -22 -18 
43 addClause -22 -8 -14 
44 addClause -16 -12 -4 
45 addClause -10 20 -22 
46 addClause -4 -16 -10 
47 addClause 3 5 17 
48 addClause -3 14 -15 
49 addClause 1 15 -11 
50 addClause 20 -11 -23 
51 addClause 2 -21 -9 
52 addClause -14 -5 1 
53 addClause -3 1 -15 
54 addClause -20 -15 -8 
55 addClause -5 22 14 
56 addClause -9 -11 -18 
57 addClause 13 18 17 
58 addClause -19 3 1 
59 addClause -16 12 6 
60 addClause -17 -5 16 
61 addClause 8 -1 -15 
62 addClause 4 19 21 
63 addClause -16 17 9 
64 addClause -18 -4 -7 
65 addClause -12 7 18 
66 addClause 21 -10 13 
67 addClause -12 -17 4 
68 addClause -11 3 20 
69 addClause 15 16 -4 
70 addClause 17 7 11 
71 addClause -14 -16 1 
72 addClause 6 11 9 
73 addClause 10 11 -14 
74 addClause 3 7 17 
75 solve
76 addClause -107 -5 115 
77 addClause -129 -17 -120 
78 addClause -42 -97 -127 
79 addClause -55 -80 -163 
80 addClause 88 -155 -77 
81 addClause 104 165 -141 
82 addClause 86 82 101 
83 addClause 149 -107 -136 
84 addClause 140 -143 86 
85 addClause 43 145 77 
86 addClause -137 112 -109 
87 addClause -90 162 14 
88 addClause 92 18 108 
89 addClause -10 -130 -144 
90 addClause -30 -21 109 
91 addClause 22 133 39 
92 addClause 80 -92 91 
93 addClause 74 52 -111 
94 addClause -24 167 109 
95 addClause -87 34 151 
96 addClause -114 -59 -46 
97 addClause -118 17 -39 
98 addClause 134 9 -157 
99 addClause 38 21 -137 
100 addClause 111 16 64 
101 addClause 118 165 -167 
102 addClause 33 -123 -89 
103 addClause -116 51 -73 
104 addClause 48 -138 62 
105 addClause -49 49 -65 
106 addClause 157 -121 10 
107 addClause 135 -146 -160 
108 addClause 161 -117 -11 
109 addClause -60 50 -58 
110 addClause 45 119 99 
111 addClause -156 77 -52 
112 addClause -30 162 -94 
113 addClause 4 13 33 
114 addClause 14 113 62 
115 addClause -38 -35 -55 
116 addClause -15 123 80 
117 addClause -139 52 -145 
118 addClause 25 89 26 
119 addClause -100 161 -34 
120 addClause 11 -74 -71 
121 addClause 11 -4 97 
122 addClause -165 3 -122 
123 addClause -44 44 -105 
124 addClause -138 88 -144 
125 addClause -132 -18 42 
126 addClause 151 -16 -62 
127 addClause -113 -59 143 
128 addClause -61 102 87 
129 addClause -33 17 -130 
130 addClause 11 -76 -150 
131 addClause 123 102 -50 
132 addClause -5 111 -131 
133 addClause 39 130 -47 
134 addClause 146 -155 -11 
135 addClause 141 -101 -84 
136 addClause -53 -136 -1 
137 addClause -157 119 110 
138 addClause 122 114 86 
139 addClause -167 160 37 
140 addClause 78 -32 -18 
141 addClause -1 150 58 
142 addClause -52 -81 117 
143 addClause 141 78 135 
144 addClause -126 -168 -22 
145 addClause 15 106 121 
