1 init
2 Data Structure Factory : CardinalityDataStructureYanMax
3 Phase Selection Strategy : PhaseCachingAutoEraseStrategy
4 Restart Strategy : ArminRestarts
5 Search Params : varDecay=0.9938042191044016/claDecay=0.5675654462386609/conflictBoundIncFactor=0.6016494690740559/initConflictBound=793
6 Learned Constraints Evaluation Type : LBD2
7 DBS simplification
8 newVar 23
9 addClause -23 -5 6 
10 addClause 1 10 20 
11 addClause 13 2 21 
12 addClause -8 22 6 
13 addClause -2 1 5 
14 addClause 15 18 -11 
15 addClause 12 2 3 
16 addClause 8 22 4 
17 addClause 16 20 6 
18 addClause -9 -17 10 
19 addClause -20 21 -10 
20 addClause -1 -8 -13 
21 addClause -9 -10 3 
22 addClause 22 19 -3 
23 addClause -10 -20 17 
24 addClause 14 17 10 
25 addClause -18 16 18 
26 addClause -15 9 -23 
27 addClause -6 22 8 
28 addClause -20 22 6 
29 addClause 19 -13 -12 
30 addClause 7 22 -22 
31 addClause -12 7 13 
32 addClause -18 8 10 
33 addClause -13 -2 -6 
34 addClause -9 -6 14 
35 addClause 15 -4 -16 
36 addClause 11 18 -14 
37 addClause 1 -17 -7 
38 addClause -3 1 22 
39 addClause 4 -23 -21 
40 addClause 19 -9 -8 
41 addClause 4 5 -11 
42 addClause -8 6 10 
43 addClause -1 4 -19 
44 addClause -12 -1 4 
45 addClause -6 16 19 
46 addClause -1 -18 13 
47 addClause -22 22 13 
48 addClause 13 -7 8 
49 addClause 18 -1 6 
50 addClause -16 15 20 
51 addClause 1 22 12 
52 addClause -7 6 -17 
53 addClause -8 -14 -20 
54 addClause -22 -16 21 
55 addClause -12 16 -4 
56 addClause -1 8 -23 
57 addClause 6 -23 -21 
58 addClause -15 4 -9 
59 addClause 7 -7 18 
60 addClause 18 2 21 
61 addClause -13 3 -5 
62 addClause 15 -6 -9 
63 addClause 14 9 -19 
64 addClause 6 2 16 
65 addClause -23 10 21 
66 addClause 18 -4 -9 
67 addClause 6 9 -6 
68 addClause 16 4 -7 
69 addClause 9 18 -21 
70 addClause 13 -5 -16 
71 addClause 14 10 -4 
72 addClause -6 19 -21 
73 addClause -21 -10 6 
74 addClause 7 21 -6 
75 addClause -8 1 14 
76 addClause 9 -18 -8 
77 addClause -1 15 16 
78 solve
79 newVar 179
80 addClause -161 81 144 
81 addClause 130 -8 -9 
82 addClause 66 -81 146 
83 addClause 131 -137 -40 
84 addClause -101 -172 107 
85 addClause -71 -150 -104 
86 addClause -144 -6 -62 
87 addClause 189 86 -46 
88 addClause -71 -34 189 
89 addClause -65 -34 -197 
90 addClause -51 -155 87 
91 addClause 153 163 74 
92 addClause 114 128 -18 
93 addClause -196 106 -145 
94 addClause 8 99 15 
95 addClause 158 135 15 
96 addClause -156 -36 22 
97 addClause 141 -74 -179 
98 addClause 30 -182 198 
99 addClause -133 64 41 
100 addClause -74 140 -115 
101 addClause 142 12 -110 
102 addClause -199 -63 -136 
103 addClause -77 -165 -151 
104 addClause 161 42 -26 
105 addClause -147 -72 15 
106 addClause 54 40 18 
107 addClause 180 -162 29 
108 addClause 180 100 -189 
109 addClause -200 193 -131 
110 addClause -12 13 -94 
111 addClause -31 125 -121 
112 addClause -167 79 186 
113 addClause -178 144 151 
114 addClause -188 -93 87 
115 addClause 40 123 -129 
116 addClause -165 -192 -158 
117 addClause 75 -109 123 
118 addClause -127 -37 115 
119 addClause 127 -154 -74 
120 addClause 41 -143 9 
121 addClause -137 64 -149 
122 addClause 27 -168 137 
123 addClause -87 134 -32 
124 addClause 78 85 66 
125 addClause 79 73 -13 
126 addClause -196 -38 14 
127 addClause 74 -24 -88 
128 addClause -131 -81 -182 
129 addClause -143 58 95 
130 addClause -51 -84 -65 
131 addClause -76 -193 28 
132 addClause 40 145 98 
133 addClause -15 -22 -177 
134 addClause -175 -42 -170 
135 addClause 133 135 -183 
136 addClause 139 -198 85 
137 addClause 74 -81 -45 
138 addClause -179 192 94 
139 addClause -109 -197 -32 
140 addClause -163 24 -55 
141 addClause -33 -95 97 
142 addClause 183 -120 56 
143 addClause -151 -65 -27 
144 addClause 21 116 -154 
145 addClause -188 -191 159 
146 addClause 180 110 50 
147 addClause -50 -87 174 
148 addClause 139 -37 95 
149 addClause -189 -185 -22 
150 addClause 177 61 -9 
151 addClause -59 39 -189 
152 addClause 139 141 -35 
153 addClause -89 -35 66 
154 addClause -118 -127 -87 
155 addClause -64 93 -18 
156 addClause -88 168 -145 
157 addClause 69 92 35 
158 addClause 25 -92 94 
159 addClause -6 -11 -42 
160 addClause -133 -170 -165 
161 addClause -136 109 182 
162 addClause 201 -70 130 
163 addClause -128 176 -91 
164 addClause 107 64 -188 
165 addClause 195 58 117 
166 addClause 99 -157 158 
167 addClause -170 193 -106 
168 addClause -28 25 -140 
169 addClause 135 28 192 
170 addClause -169 40 -166 
171 addClause 64 62 117 
172 addClause 87 155 -175 
173 addClause 3 -156 69 
174 addClause -91 -155 201 
175 addClause -185 87 43 
176 addClause 68 57 -8 
177 addClause -187 -179 183 
178 addClause 127 34 147 
179 addClause -129 -125 107 
180 addClause -148 113 56 
181 addClause 78 197 -17 
182 addClause 169 -140 69 
183 addClause -28 -143 -81 
184 addClause 39 -139 171 
185 addClause 141 -165 -96 
186 addClause 123 -128 -75 
187 addClause 59 134 174 
188 addClause 106 171 -140 
189 addClause -177 -30 -95 
190 addClause 35 7 70 
191 addClause 46 11 -45 
192 addClause 180 81 117 
193 addClause 94 154 -69 
194 addClause 16 -17 119 
195 addClause 46 131 93 
196 addClause 149 136 -94 
197 addClause 29 148 -99 
198 addClause -9 117 -145 
199 addClause -181 -15 138 
200 addClause -47 -1 172 
201 addClause 185 -171 104 
202 addClause -81 -152 59 
203 addClause 146 84 116 
204 addClause -5 133 -82 
205 addClause 178 1 -44 
206 addClause -51 78 128 
207 addClause 185 117 -13 
208 addClause -33 -15 -71 
209 addClause -18 118 61 
210 addClause 116 -193 -199 
211 addClause -108 199 -162 
212 addClause -32 -62 -117 
213 addClause -160 -133 139 
214 addClause 148 -179 201 
215 addClause -39 47 -62 
216 addClause -67 -50 69 
217 addClause 139 144 -148 
218 addClause 170 163 -158 
219 addClause 140 -22 -151 
220 addClause 7 131 50 
221 addClause 23 26 77 
222 addClause -130 -122 74 
223 addClause -20 -154 -56 
224 addClause 45 112 -193 
225 addClause 70 -197 161 
226 addClause -194 26 -169 
227 addClause -102 -140 190 
228 addClause -147 194 17 
229 addClause -96 92 5 
230 addClause -85 5 103 
231 addClause -52 42 5 
232 addClause -65 134 -94 
233 addClause 36 -197 82 
234 addClause -171 -113 161 
235 addClause 66 -81 -102 
236 addClause -27 7 -104 
237 addClause -185 -68 152 
238 addClause 62 -191 -17 
239 addClause -7 96 -50 
240 addClause 162 -75 12 
241 addClause 131 128 111 
242 addClause 36 17 185 
243 addClause -134 -137 -127 
244 addClause 56 176 107 
245 addClause -171 182 -87 
246 addClause -38 15 199 
247 addClause -15 171 79 
248 addClause 80 -136 91 
249 addClause -163 -129 -113 
250 addClause 62 -195 -160 
251 addClause 95 4 83 
252 addClause -112 62 61 
253 addClause 51 12 26 
254 addClause -119 -111 -169 
255 addClause 194 -8 -109 
256 addClause -111 48 -78 
257 addClause -89 -90 -79 
258 addClause -189 -60 115 
259 addClause -140 115 -182 
260 addClause 135 110 200 
261 addClause -198 89 -184 
262 addClause 173 112 -78 
263 addClause 148 -48 20 
264 addClause 167 49 124 
265 addClause -144 -198 -200 
266 addClause 81 -12 14 
267 addClause 131 -12 -181 
268 addClause 172 86 -14 
269 addClause 118 168 103 
270 addClause -122 -140 5 
271 addClause -28 92 -100 
272 addClause 50 183 38 
273 addClause -176 70 -160 
274 addClause 173 -77 63 
275 addClause -177 -180 -159 
276 addClause 88 74 105 
277 addClause 128 -60 -180 
278 addClause -72 -185 131 
279 addClause -69 -125 -145 
280 addClause -132 19 136 
281 addClause -6 -16 -192 
282 addClause -2 -157 -121 
283 addClause -51 -66 65 
284 addClause -60 196 117 
285 addClause 76 -56 153 
286 addClause 84 142 -36 
287 addClause -8 -119 -129 
288 addClause 160 -40 -102 
289 addClause 199 -82 -18 
290 addClause -137 61 179 
291 addClause 52 -168 -51 
292 addClause -160 45 -187 
293 addClause -112 55 9 
294 addClause 75 -76 117 
295 addClause -97 -8 171 
296 addClause 198 -17 -150 
297 addClause -3 -43 -25 
298 addClause -96 2 46 
299 addClause -15 70 102 
300 addClause -115 66 128 
301 addClause 51 76 63 
302 addClause 64 125 -15 
303 addClause -111 153 198 
304 addClause 171 112 63 
305 addClause -111 119 -147 
306 addClause -84 -87 140 
307 addClause -8 -180 -74 
308 addClause -164 197 -114 
309 addClause 96 73 -161 
310 addClause -32 165 -156 
311 addClause -1 114 70 
312 addClause -104 151 178 
313 addClause -118 -5 87 
314 addClause -141 1 -157 
315 addClause 158 171 -21 
316 addClause -36 -51 83 
317 addClause 133 -2 125 
318 addClause 200 95 -186 
319 addClause 147 40 -115 
320 addClause 2 157 -176 
321 addClause -28 -185 -23 
322 addClause -28 36 -6 
323 addClause 54 -77 163 
