1 init
2 Data Structure Factory : ClausalDataStructureWL
3 Order : NaturalStaticOrder
4 Learning Strategy : FixedLengthLearning/maxlength=51
5 Restart Strategy : EMARestarts
6 Simplification Type : simpleSimplification
7 Search Params : varDecay=0.9459146077144672/claDecay=0.8113085199144244/conflictBoundIncFactor=0.7339297030553941/initConflictBound=20
8 Learned Constraints Evaluation Type : LBD
9 DB simplification
10 addClause 13 -1 -45 
11 addClause -42 -35 -12 
12 addClause -16 -8 50 
13 addClause 58 44 -31 
14 addClause -66 -29 63 
15 addClause 49 -46 37 
16 addClause -57 12 54 
17 addClause -41 -54 26 
18 addClause 44 19 -30 
19 addClause 59 60 -23 
20 addClause -43 -13 12 
21 addClause 51 55 66 
22 addClause 59 37 -53 
23 addClause -10 35 -51 
24 addClause 21 19 -67 
25 addClause -9 -33 -24 
26 addClause -64 -34 20 
27 addClause -55 28 4 
28 addClause -63 17 68 
29 addClause -27 -55 39 
30 addClause 11 -13 -43 
31 addClause -43 34 45 
32 addClause 9 20 -7 
33 addClause -24 -32 -42 
34 addClause 42 5 -22 
35 addClause 64 -53 66 
36 addClause 16 -3 20 
37 addClause -60 -62 56 
38 addClause -13 -14 22 
39 addClause -27 16 6 
40 addClause -21 -42 -55 
41 addClause -42 -57 25 
42 addClause 37 -11 -32 
43 addClause 57 53 -40 
44 addClause -14 22 55 
45 addClause -37 61 -61 
46 addClause -17 54 -55 
47 addClause 24 57 -66 
48 addClause 67 -5 64 
49 addClause 61 -59 10 
50 addClause 30 -3 13 
51 addClause 31 63 24 
52 addClause 37 53 34 
53 addClause 34 -55 50 
54 addClause -46 36 -56 
55 addClause 46 -9 -60 
56 addClause 23 57 -57 
57 addClause 67 -1 16 
58 addClause -21 -26 -36 
59 addClause 61 -64 10 
60 addClause 41 37 13 
61 addClause -42 31 -31 
62 addClause 5 67 26 
63 addClause -66 39 17 
64 addClause 25 31 4 
65 addClause -30 -68 18 
66 addClause -15 63 -65 
67 addClause -8 35 57 
68 addClause 28 -23 63 
69 addClause -15 4 29 
70 addClause -10 -57 63 
71 addClause 56 6 -54 
72 addClause -31 34 -12 
73 addClause 26 -38 -66 
74 addClause -52 -57 28 
75 addClause 37 -40 9 
