1 init
2 Data Structure Factory : ClausalDataStructureWL
3 Order : PureOrder/period=55
4 Phase Selection Strategy : PhaseCachingAutoEraseStrategy
5 Learning Strategy : MiniSATLearning
6 Restart Strategy : ArminRestarts
7 Simplification Type : expensiveSimplification
8 Search Params : varDecay=0.9294345204782268/claDecay=0.716314995999895/conflictBoundIncFactor=2.646069570518173/initConflictBound=160
9 Learned Constraints Evaluation Type : ACTIVITY
10 Random Walk : 0.9259841857057611
11 DBS simplification
12 addClause -8 -20 1 
13 addClause 10 -11 19 
14 addClause -4 6 -11 
15 addClause -1 8 4 
16 addClause 11 8 -2 
17 addClause -3 -8 -12 
18 addClause -7 -16 -1 
19 addClause -19 -17 -2 
20 addClause 5 -17 -8 
21 addClause -18 3 4 
22 addClause -17 -1 10 
23 addClause 13 15 -18 
24 addClause -16 -1 7 
25 addClause -12 4 17 
26 addClause -12 15 12 
27 addClause -2 -10 -1 
28 addClause 1 18 -7 
29 addClause -14 17 11 
30 addClause 8 6 15 
31 addClause -19 5 -13 
32 addClause 10 -11 -15 
33 addClause 12 2 -10 
34 addClause -17 -14 10 
35 addClause -6 -20 -12 
36 addClause -12 -1 -5 
37 addClause 1 3 2 
38 addClause 8 -3 4 
39 addClause 15 8 3 
40 addClause 5 -11 -17 
41 addClause -15 -12 2 
42 addClause -2 3 15 
43 addClause 11 -11 7 
44 addClause 7 -9 -7 
45 addClause -14 -5 7 
46 addClause 5 4 16 
47 addClause 17 8 -16 
48 addClause -2 -7 -4 
49 addClause -10 -7 -11 
50 addClause 15 -18 -6 
51 addClause 1 -1 -10 
52 addClause 5 -19 -3 
53 addClause -10 -15 -4 
54 addClause 17 3 8 
55 addClause -19 9 13 
56 addClause -12 12 -15 
57 addClause -15 -17 -13 
58 addClause 11 3 -11 
59 addClause -5 -13 -4 
60 addClause -13 11 -2 
61 addClause -1 -11 -8 
62 addClause 7 16 5 
63 addClause 11 10 -14 
64 addClause 15 -19 16 
65 addClause -9 17 -1 
66 addClause 4 -19 -12 
67 addClause -4 9 14 
68 addClause -19 -18 -7 
69 addClause 18 -4 -8 
70 addClause 4 13 -15 
71 addClause -2 1 8 
72 addClause -2 8 -16 
73 addClause 16 4 -2 
74 addClause -8 12 -18 
75 addClause 9 1 -11 
76 addClause 16 -19 -15 
77 addClause 12 4 10 
78 addClause -14 4 3 
79 addClause 14 -10 -14 
80 addClause -19 7 12 
81 addClause -4 -19 10 
82 addClause -6 -9 17 
83 addClause -6 -9 15 
84 addClause -6 13 -4 
85 addClause 10 -7 -8 
86 addClause 4 -18 -4 
87 addClause -5 13 10 
88 addClause -5 -1 13 
89 addClause 6 -4 18 
90 addClause -1 -12 -7 
91 addClause -5 9 1 
92 addClause -12 -11 14 
93 addClause -3 14 10 
94 addClause -16 16 4 
95 addClause 9 1 10 
96 addClause 18 9 15 
97 addClause -6 16 7 
98 addClause -4 -17 4 
99 addClause 9 10 -13 
100 addClause 11 6 -16 
101 addClause 17 -4 14 
102 addClause -10 -17 8 
103 addClause -13 4 13 
104 addClause -12 4 13 
105 addClause 10 -14 16 
106 addClause 1 3 -2 
107 enumerating
