1 init
2 using solver RandomSolver
3 addClause 63 9 -3 
4 addClause 11 -36 -35 
5 addClause -30 -20 -14 
6 addClause -64 -53 -57 
7 addClause -2 -20 37 
8 addClause -58 9 -20 
9 addClause 14 -33 -8 
10 addClause -33 -2 -46 
11 addClause 42 36 8 
12 addClause 35 -41 -27 
13 addClause 63 5 33 
14 addClause 33 1 27 
15 addClause 42 -32 -62 
16 addClause -68 -29 -56 
17 addClause -27 -46 14 
18 addClause 39 -30 -42 
19 addClause -40 -35 69 
20 addClause 8 42 35 
21 addClause 11 -69 63 
22 addClause -50 -29 35 
23 addClause 47 65 -22 
24 addClause -49 6 -17 
25 addClause 43 36 -30 
26 addClause 55 -34 -20 
27 addClause -62 41 16 
28 addClause 18 -57 -26 
29 addClause -1 -17 62 
30 addClause 20 -5 46 
31 addClause -47 -42 -23 
32 addClause 13 -7 -1 
33 addClause 54 28 32 
34 addClause -18 -15 5 
35 addClause -58 -24 4 
36 addClause 33 8 -40 
37 addClause -12 14 -13 
38 addClause 10 -43 64 
39 addClause 64 -7 50 
40 addClause 65 -42 -40 
41 addClause -41 -30 -8 
42 addClause -11 -24 12 
43 addClause 30 13 38 
44 addClause 66 54 45 
45 addClause 25 -22 -21 
46 addClause -34 1 20 
47 addClause -62 31 57 
48 addClause 63 27 -20 
49 addClause 13 -31 32 
50 addClause -23 29 -39 
51 addClause 42 53 66 
52 addClause 65 24 48 
53 addClause -24 -25 -44 
54 addClause -32 45 18 
55 addClause 10 -59 -20 
56 addClause -35 -46 -16 
57 addClause 68 -36 63 
58 addClause -44 7 17 
59 addClause -14 2 -5 
60 addClause -67 -52 -13 
61 addClause -24 25 -19 
62 addClause 49 -18 -19 
63 addClause -12 52 -7 
64 addClause -33 -69 -18 
65 addClause 21 -16 -45 
66 addClause -28 -48 -17 
67 addClause -36 -27 -46 
68 addClause -21 18 59 
69 addClause -57 68 62 
70 addClause 65 -48 -37 
71 addClause 3 31 -12 
72 addClause -42 -13 -58 
73 addClause 64 -34 26 
74 addClause -28 -34 -31 
75 addClause 67 -21 -26 
76 addClause -54 57 32 
77 addClause 20 -45 37 
78 addClause -53 -45 12 
79 addClause -21 -31 -28 
80 addClause -36 -31 -13 
81 addClause -66 11 -10 
82 addClause -43 11 -20 
83 addClause -12 -5 24 
84 addClause 10 -42 -45 
85 addClause -32 66 12 
86 addClause 4 47 -25 
87 addClause -47 -50 -57 
88 addClause 53 6 4 
89 addClause -29 -37 -63 
90 addClause -19 60 -11 
91 addClause 51 -44 -24 
92 addClause 31 -9 -7 
93 addClause -31 44 -24 
94 addClause -21 12 -44 
95 addClause 8 34 15 
96 addClause -31 -65 33 
97 addClause 58 -52 56 
98 addClause 23 5 8 
99 addClause -13 67 -9 
100 addClause -31 64 54 
101 addClause 66 40 -58 
102 addClause -9 -4 11 
103 addClause 30 -45 5 
104 addClause -21 -6 -57 
105 addClause -20 -38 -61 
106 addClause -1 -24 -34 
107 addClause -14 -42 23 
108 addClause -62 6 19 
109 addClause -9 -37 -66 
110 addClause -2 -13 9 
111 addClause 12 51 64 
112 addClause 19 58 -16 
113 addClause 30 31 -19 
114 addClause 57 -54 25 
115 addClause 29 -68 -55 
116 addClause 9 25 4 
117 addClause -22 39 -31 
118 addClause -62 -54 -39 
119 addClause -46 61 -63 
120 addClause 48 50 15 
121 addClause -11 1 -40 
122 addClause 64 52 -37 
123 addClause -1 -65 26 
124 addClause 47 -45 48 
125 addClause 49 65 -3 
126 addClause 51 10 -51 
127 addClause 17 -40 24 
128 addClause 41 28 -60 
129 addClause 46 -52 -42 
130 addClause 7 53 22 
131 addClause -53 -30 65 
132 addClause -41 8 -69 
133 addClause 19 26 -3 
134 addClause -7 -60 -41 
135 addClause 40 8 13 
136 addClause -52 14 -29 
137 addClause -57 -28 -56 
138 addClause 22 -16 27 
139 addClause 17 -6 34 
140 addClause -15 27 43 
