1 init
2 using solver PHASE
3 Random Walk 0.35100929497510247
4 DBS simplification allowed
5 addClause -6 8 -28 
6 addClause -13 -30 -9 
7 addClause 5 15 -24 
8 addClause 18 24 31 
9 addClause 8 -6 -1 
10 addClause 30 29 -3 
11 addClause 11 -29 -32 
12 addClause 11 30 15 
13 addClause -24 6 25 
14 addClause -10 -31 21 
15 addClause -5 -16 -15 
16 addClause 4 33 34 
17 addClause 32 -25 -15 
18 addClause -13 2 -11 
19 addClause -15 10 28 
20 addClause -19 -28 -33 
21 addClause -10 -31 1 
22 addClause -17 -11 5 
23 addClause 27 -25 21 
24 addClause 7 -2 23 
25 addClause 1 -23 33 
26 addClause 28 -5 7 
27 addClause 19 -34 11 
28 addClause 34 27 -33 
29 addClause -17 -25 -33 
30 addClause -25 -22 18 
31 addClause 5 -3 -6 
32 addClause -16 -35 19 
33 addClause 19 16 -4 
34 addClause -31 -12 -7 
35 addClause -6 32 18 
36 addClause 32 13 -16 
37 addClause 21 -26 -7 
38 addClause -2 19 12 
39 addClause -22 -11 9 
40 addClause 21 10 13 
41 addClause -34 30 -31 
42 addClause 15 29 -20 
43 addClause -1 -25 -20 
44 addClause -28 -31 -9 
45 addClause -4 -31 15 
46 addClause -14 -8 3 
47 addClause -6 -27 -21 
48 addClause 24 -14 -31 
49 addClause -1 30 -29 
50 addClause -7 -27 -11 
51 addClause 15 11 -2 
52 addClause 9 -32 16 
53 addClause 21 -21 5 
54 addClause 5 4 27 
55 addClause -26 8 -3 
56 addClause 2 -10 12 
57 addClause -1 14 9 
58 addClause -8 15 27 
59 addClause 22 3 -4 
60 addClause 22 13 -11 
61 addClause 26 11 -33 
62 addClause -4 -35 -21 
63 addClause -5 6 31 
64 addClause 10 -31 -19 
65 addClause 26 16 10 
66 addClause -2 -19 27 
67 addClause -27 30 35 
68 addClause -16 -1 -19 
69 addClause 30 32 13 
70 addClause 18 11 34 
71 addClause 33 -32 -8 
72 addClause -24 -8 8 
73 addClause 2 23 -11 
74 addClause 12 -24 6 
75 addClause -32 -11 -26 
76 addClause 33 14 21 
77 addClause -2 -21 -32 
78 addClause 24 -33 5 
79 addClause -19 28 -26 
80 addClause 33 29 25 
81 addClause -32 14 -6 
82 addClause -5 30 -4 
83 addClause 29 4 -1 
84 addClause -17 23 13 
85 addClause -2 -22 -8 
86 addClause -19 20 -3 
87 addClause 28 -25 31 
88 addClause 7 5 1 
89 addClause -33 -30 -25 
90 addClause 6 -33 -18 
91 addClause -16 -11 33 
92 assuming -23 -17 21 
93 addClause 94 79 131 
94 addClause 14 130 -152 
95 addClause -29 184 -92 
96 addClause 101 -82 55 
97 addClause -5 127 166 
98 addClause -80 -141 11 
99 addClause -73 139 -181 
100 addClause 71 14 101 
101 addClause -71 -24 123 
102 addClause -123 152 -125 
103 addClause -139 -171 52 
104 addClause -141 162 11 
105 addClause 185 -142 -94 
106 addClause -172 -74 50 
107 addClause -135 -122 182 
108 addClause 140 38 -182 
109 addClause 66 136 162 
110 addClause 116 23 -97 
111 addClause -58 146 81 
112 addClause -115 -187 69 
113 addClause 177 99 105 
114 addClause 24 52 -187 
115 addClause 62 -177 138 
116 addClause 130 64 -173 
117 addClause 11 56 39 
118 addClause -169 4 169 
119 addClause 103 153 56 
120 addClause -48 166 -30 
121 addClause -165 -144 -141 
122 addClause -36 -14 -177 
123 addClause 17 -48 39 
124 addClause 16 -148 83 
125 addClause 8 -37 72 
126 addClause 33 -17 115 
127 addClause -172 176 61 
