1 init
2 using solver ORDERS
3 addClause -103 -153 -138 
4 addClause 10 -122 142 
5 addClause 180 111 10 
6 addClause -36 144 -45 
7 addClause -106 124 -128 
8 addClause 66 124 -181 
9 addClause -51 176 102 
10 addClause -136 -94 -85 
11 addClause 105 -184 -84 
12 addClause 149 -60 -56 
13 addClause 138 -72 -112 
14 addClause 72 130 -159 
15 addClause 29 -76 30 
16 addClause -169 146 -19 
17 addClause 5 -177 -56 
18 addClause 153 -96 -102 
19 addClause 177 -110 -168 
20 addClause -51 -176 -9 
21 addClause -91 113 85 
22 addClause 170 37 117 
23 addClause -143 -70 161 
24 addClause -15 -21 161 
25 addClause 97 73 115 
26 addClause 62 -128 -133 
27 addClause 159 50 98 
28 addClause 102 -44 168 
29 addClause -71 -57 123 
30 addClause -77 111 -142 
31 addClause -175 8 90 
32 addClause -61 146 -94 
33 addClause -77 100 -158 
34 addClause 147 90 -28 
35 addClause 138 160 2 
36 addClause 153 -124 -20 
37 addClause -47 -39 -7 
38 addClause 34 70 -62 
39 addClause 89 157 18 
40 addClause -87 175 -107 
41 addClause 111 -10 124 
42 addClause -20 -56 -149 
43 addClause 22 15 79 
44 addClause 90 -176 -12 
45 addClause -132 17 -61 
46 addClause 9 6 -51 
47 addClause -151 -45 -32 
48 addClause -137 -1 -43 
49 addClause -42 132 179 
50 addClause -165 114 79 
51 addClause 75 -49 -71 
52 addClause -24 127 -82 
53 addClause -176 91 -107 
54 addClause -92 -43 54 
55 addClause -55 -112 57 
56 addClause -156 185 160 
57 addClause 3 -34 -117 
58 addClause 51 84 41 
59 addClause 95 -139 -4 
60 addClause 65 120 136 
61 addClause -63 -115 90 
62 addClause -104 114 162 
63 addClause 18 -90 110 
64 addClause 127 -115 -178 
65 addClause -173 -11 -22 
66 addClause 162 -102 -145 
67 addClause 128 28 -95 
68 addClause 178 108 -172 
69 addClause -79 107 181 
70 addClause 59 -135 -17 
71 addClause 178 -112 51 
72 addClause 136 177 8 
73 addClause -58 105 -10 
74 addClause 122 -154 184 
75 addClause -109 185 -119 
76 addClause 72 -101 -62 
77 addClause 134 26 140 
78 addClause 94 164 93 
