1 init
2 Data Structure Factory : CardinalityDataStructure
3 Order : NaturalStaticOrder
4 Learning Strategy : PercentLengthLearning/maxpercent=26
5 Restart Strategy : LubyRestarts/factor=131
6 Search Params : varDecay=0.9648236373549588/claDecay=0.983129588446087/conflictBoundIncFactor=0.18821805524892832/initConflictBound=400
7 Learned Constraints Evaluation Type : ACTIVITY
8 DB simplification
9 newVar 35
10 addClause 31 -3 -17 
11 addClause 17 -30 -11 
12 addClause 22 11 -35 
13 addClause 9 -33 -35 
14 addClause 26 -32 11 
15 addClause 1 -7 -2 
16 addClause 32 10 -26 
17 addClause -29 5 -2 
18 addClause 1 26 -9 
19 addClause -29 -30 -17 
20 addClause 7 26 3 
21 addClause -33 -14 -24 
22 addClause 2 18 6 
23 addClause 29 24 -9 
24 addClause 24 5 -6 
25 addClause 10 -31 -8 
26 addClause -35 -1 32 
27 addClause -14 15 9 
28 addClause 29 -35 -27 
29 addClause -32 18 23 
30 addClause 20 -23 34 
31 addClause -24 -17 20 
32 addClause 25 7 -29 
33 addClause 20 -34 12 
34 addClause -8 11 -22 
35 addClause -20 -23 21 
36 addClause -17 33 -33 
37 addClause -11 21 -8 
38 addClause 23 -4 -32 
39 addClause 31 -18 22 
40 addClause 24 -22 -32 
41 addClause -32 17 11 
42 addClause 7 30 3 
43 addClause -18 5 34 
44 addClause 32 16 -26 
45 addClause -7 -25 10 
46 addClause -23 17 27 
47 addClause -30 9 10 
48 addClause -21 -3 6 
49 addClause 15 14 6 
50 addClause -24 -34 -25 
51 addClause 12 29 -18 
52 addClause -32 24 -6 
53 addClause -1 18 28 
54 addClause -27 18 24 
55 addClause -3 24 23 
56 addClause -1 -11 12 
57 addClause 9 -16 -15 
58 addClause 1 10 -24 
59 addClause -35 -32 -26 
60 addClause -14 -7 -4 
61 addClause 10 -2 5 
62 addClause -34 -22 28 
63 addClause -10 14 11 
64 addClause 29 28 -11 
65 addClause 33 -32 8 
66 addClause 9 -26 -8 
67 addClause -7 -9 -23 
68 addClause -14 13 18 
69 addClause -25 1 27 
70 addClause -27 13 -8 
71 addClause 11 4 -12 
72 addClause 31 -12 6 
73 addClause 17 -7 -9 
