1 init
10 addClause -3 
11 addClause 17 
12 addClause -35 
13 addClause -35 
14 addClause 11 
15 addClause -7 
16 addClause 10 
17 addClause 5 
18 addClause -9 
19 addClause -29 
20 addClause 26 
21 addClause -24 
22 addClause 6 
23 addClause -9 
24 addClause 5 
25 addClause -8 
26 addClause -1 
27 addClause -14 
28 addClause -35 
29 addClause 23 
30 addClause 34 
31 addClause 20 
32 addClause -29 
33 addClause 12 
34 addClause -22 
35 addClause 21 
36 addClause 33 
37 addClause -8 
38 addClause -32 
39 addClause 31 
40 addClause -32 
41 addClause 11 
42 addClause 30 
43 addClause 34 
44 addClause 16 
45 addClause 10 
46 addClause 27 
47 addClause 10 
48 addClause 6 
49 addClause 6 
50 addClause -25 
51 addClause 12 
52 addClause -32 
53 addClause 28 
54 addClause 18 
55 addClause 23 
56 addClause 12 
57 addClause -15 
58 addClause -24 
59 addClause -32 
60 addClause -4 
61 addClause 5 
62 addClause 28 
63 addClause 11 
64 addClause 28 
65 addClause -32 
66 addClause -8 
67 addClause -9 
68 addClause 18 
69 addClause 27 
70 addClause -8 
71 addClause 11 
72 addClause 6 
73 addClause -9 
74 addClause 21 
75 addClause 17 
76 addClause -19 
77 addClause 27 
78 addClause -25 
79 addClause 2 
80 addClause 33 
81 addClause 28 
82 addClause 30 
83 addClause -9 
84 addClause -9 
85 addClause 26 
86 addClause -7 
87 addClause -4 
88 addClause -1 
89 addClause -15 
90 addClause 13 
91 addClause 27 
92 addClause -25 
93 addClause -14 
94 addClause -24 
95 addClause -1 
96 addClause 30 
97 addClause 6 
98 addClause 21 
99 addClause 17 
100 addClause -25 
101 addClause -35 
102 addClause -35 
103 addClause -25 
104 addClause -4 
105 addClause -1 
106 addClause 21 
107 addClause -15 
108 addClause 33 
109 addClause 2 
110 addClause -1 
111 addClause 18 
112 addClause 26 
113 addClause -8 
114 addClause 31 
115 assuming -32 
116 newVar 147
117 addClause 167 
118 addClause 27 
119 addClause -77 
120 addClause -96 
121 addClause -144 
122 addClause -104 
123 addClause -113 
124 addClause 85 
125 addClause 84 
126 addClause -158 
127 addClause -168 
128 addClause 87 
129 addClause 51 
130 addClause -1 
131 addClause 16 
132 addClause 154 
133 addClause -1 
134 addClause 166 
135 addClause -113 
136 addClause -142 
137 addClause 86 
138 addClause 94 
139 addClause 165 
140 addClause 69 
141 addClause 163 
142 addClause -153 
143 addClause -145 
144 addClause -119 
145 addClause 86 
146 addClause -103 
147 addClause 150 
148 addClause -120 
149 addClause 69 
150 addClause 163 
151 addClause -80 
152 addClause -78 
153 addClause 117 
154 addClause -19 
155 addClause -80 
156 addClause -48 
157 addClause -46 
158 addClause 62 
159 addClause 132 
160 addClause -110 
161 addClause -75 
162 addClause 128 
163 addClause 41 
164 addClause -102 
165 addClause -22 
166 addClause -161 
167 addClause -15 
168 addClause -137 
169 addClause -8 
170 addClause 51 
171 addClause 114 
172 addClause 133 
173 addClause -125 
174 addClause -4 
175 addClause 26 
176 addClause 56 
177 addClause -125 
178 addClause 23 
179 addClause 44 
180 addClause -102 
181 addClause -125 
182 addClause -157 
183 addClause -22 
184 addClause -48 
185 addClause 30 
186 addClause 6 
187 addClause 90 
188 addClause 150 
189 addClause 33 
190 addClause 123 
191 addClause -161 
192 addClause 135 
193 addClause -100 
194 addClause -146 
195 addClause -45 
196 addClause 73 
197 addClause 2 
198 addClause 38 
199 addClause 81 
200 addClause 26 
201 addClause -134 
202 addClause 121 
203 addClause 69 
204 addClause 47 
205 addClause 69 
206 addClause -173 
207 addClause -158 
208 addClause -111 
209 addClause 59 
210 addClause 123 
211 addClause -58 
212 addClause 69 
213 addClause -161 
214 addClause -8 
215 addClause -172 
216 addClause 68 
217 addClause -91 
218 addClause -158 
219 addClause 148 
220 addClause -151 
221 addClause 87 
222 addClause 62 
223 addClause 55 
224 addClause 5 
225 addClause -155 
226 addClause 118 
227 addClause -57 
228 addClause 33 
229 addClause 51 
230 addClause -25 
231 addClause 21 
232 addClause 27 
233 addClause -98 
234 addClause 123 
235 addClause 49 
236 addClause 156 
237 addClause -110 
238 addClause -66 
239 addClause 11 
240 addClause 12 
241 addClause 89 
242 addClause 132 
243 addClause -112 
244 addClause -173 
245 addClause 165 
246 addClause 68 
247 addClause -57 
248 addClause -54 
249 addClause 23 
250 addClause -93 
251 addClause -124 
252 addClause 89 
253 addClause -151 
254 addClause -144 
255 addClause -39 
256 addClause 37 
257 addClause -104 
258 addClause -101 
259 addClause 17 
260 addClause -8 
261 addClause 12 
262 addClause 129 
263 addClause -72 
264 addClause 127 
265 addClause -70 
266 addClause -140 
267 addClause -91 
268 addClause 92 
269 addClause -65 
270 addClause -113 
271 addClause 133 
272 addClause 81 
273 addClause 170 
274 addClause -66 
275 addClause 2 
276 addClause -1 
277 addClause -48 
278 addClause 30 
279 addClause -174 
280 addClause 143 
281 addClause 156 
282 addClause -157 
283 addClause 13 
284 addClause -3 
285 addClause -138 
286 addClause 143 
287 addClause 69 
288 addClause -15 
289 addClause 166 
290 addClause 147 
291 addClause 86 
292 addClause 38 
293 addClause 84 
294 addClause -66 
295 addClause -40 
296 addClause -144 
297 addClause 20 
298 addClause 127 
299 addClause -67 
300 addClause -70 
301 addClause -60 
302 addClause 42 
303 addClause 166 
304 addClause 150 
305 addClause -120 
306 addClause 135 
307 addClause 12 
308 addClause 2 
309 addClause 139 
310 addClause -105 
311 addClause -82 
312 addClause -36 
313 addClause 20 
314 addClause -161 
315 addClause 95 
316 addClause 115 
317 addClause 164 
318 addClause -70 
319 addClause 167 
320 addClause -155 
321 addClause 89 
322 addClause -160 
323 addClause -80 
324 addClause -173 
325 addClause 135 
326 addClause -83 
327 addClause -46 
328 addClause 84 
329 addClause 121 
330 addClause 20 
331 addClause 38 
332 addClause -83 
333 addClause -58 
334 addClause -174 
335 addClause 71 
336 addClause 106 
337 addClause 30 
338 addClause 38 
339 addClause 107 
340 addClause 41 
341 addClause 136 
342 addClause 5 
343 addClause 33 
344 addClause 5 
345 addClause -3 
346 addClause -172 
347 addClause -40 
348 addClause -126 
349 addClause -67 
350 addClause -15 
351 addClause -67 
352 addClause 73 
353 addClause -63 
354 addClause -32 
355 addClause -83 
356 addClause 52 
357 addClause 55 
358 addClause 107 
359 addClause 2 
360 addClause -111 
361 addClause -105 
362 addClause 49 
363 addClause -146 
364 addClause -93 
365 addClause 169 
366 addClause 59 
367 addClause 5 
368 addClause 41 
369 addClause 141 
370 addClause 59 
371 addClause -161 
372 addClause 71 
373 addClause -76 
374 addClause 167 
375 addClause -4 
376 addClause -35 
377 addClause -126 
378 addClause 163 
379 addClause -96 
380 addClause 52 
381 addClause -122 
382 addClause -144 
383 addClause 107 
384 addClause 37 
385 addClause 62 
386 addClause 135 
387 addClause 69 
388 addClause 74 
389 addClause 133 
390 addClause 127 
391 addClause 97 
392 addClause 150 
393 addClause -113 
394 addClause 10 
395 addClause 42 
396 addClause 167 
397 addClause -40 
398 addClause -40 
399 addClause 148 
400 addClause 55 
401 addClause 52 
402 addClause -9 
403 addClause 88 
404 addClause 62 
405 addClause -149 
406 addClause -110 
407 addClause 47 
408 addClause 170 
409 addClause -145 
410 addClause -35 
411 addClause 147 
412 addClause -112 
413 addClause -171 
414 addClause 20 
415 addClause 18 
416 addClause 136 
417 addClause -75 
418 addClause 115 
419 addClause 59 
420 addClause -168 
421 addClause 95 
422 addClause 86 
423 addClause 21 
424 addClause -4 
425 addClause 17 
426 addClause 128 
427 addClause -96 
428 addClause -39 
429 addClause -160 
430 addClause 162 
431 addClause 84 
432 addClause 139 
433 addClause -108 
434 addClause -40 
435 addClause -22 
436 addClause -50 
437 addClause -138 
438 addClause 86 
439 addClause -83 
440 addClause -79 
441 addClause -19 
442 addClause 11 
