1 init
2 Data Structure Factory : CardinalityDataStructureYanMin
3 Order : PureOrder/period=31
4 Phase Selection Strategy : RandomLiteralSelectionStrategy
5 Learning Strategy : NoLearningButHeuristics
6 Learned Constraints Evaluation Type : LBD2
7 Random Walk : 0.9866886583014997
8 DBS simplification
9 newVar 132
10 addClause 99 -66 2 
11 addClause -5 24 -88 
12 addClause 69 -40 -4 
13 addClause -2 -65 34 
14 addClause 67 -118 125 
15 addClause 120 -95 -75 
16 addClause -103 1 84 
17 addClause 64 -36 24 
18 addClause 69 -14 13 
19 addClause 38 -12 -110 
20 addClause 11 43 -89 
21 addClause -84 59 47 
22 addClause 86 121 -58 
23 addClause 43 -49 22 
24 addClause 97 -59 9 
25 addClause 7 -86 104 
26 addClause -81 68 -43 
27 addClause -94 27 -87 
28 addClause -128 79 -69 
29 addClause -44 -47 98 
30 addClause 21 -131 68 
31 addClause -21 30 -34 
32 addClause 5 11 -37 
33 addClause 59 -49 46 
34 addClause 76 -84 -93 
35 addClause -107 65 -45 
36 addClause -25 106 53 
37 addClause -66 75 69 
38 addClause -52 50 81 
39 addClause -98 -113 51 
40 addClause -124 105 -106 
41 addClause 130 -124 -112 
42 addClause 56 89 -101 
43 addClause -119 98 -86 
44 addClause 63 -13 18 
45 addClause 7 68 90 
46 addClause 46 -59 -123 
47 addClause 114 -66 50 
48 addClause -9 -94 -123 
49 addClause -37 -13 -6 
50 addClause -60 5 -111 
51 addClause 9 104 69 
52 addClause 79 117 -42 
53 addClause 98 129 126 
54 addClause 39 22 -49 
55 addClause -9 62 -6 
56 addClause -16 54 -31 
57 addClause 62 -32 28 
58 addClause -103 -123 77 
59 addClause -95 -132 -101 
60 addClause -1 -97 -78 
61 addClause -84 -98 -87 
62 addClause -28 91 -18 
63 addClause 9 88 35 
64 addClause 85 107 25 
65 addClause -82 -67 17 
66 addClause -60 -49 -116 
67 addClause -69 69 -2 
68 addClause -24 -86 87 
69 addClause 119 33 34 
70 addClause 35 -121 -73 
71 addClause -94 112 117 
72 addClause -110 105 33 
73 addClause 65 17 47 
74 addClause 116 -92 2 
75 addClause -99 38 -69 
76 addClause -121 114 20 
77 addClause -63 58 -93 
78 addClause -132 -105 71 
79 addClause 69 26 -125 
80 addClause 32 122 -18 
81 addClause -77 70 110 
82 addClause -21 100 -94 
83 addClause 91 99 -60 
84 addClause -108 -91 71 
85 addClause 75 40 81 
86 addClause 122 -76 38 
87 addClause 82 -38 45 
88 addClause -96 50 -24 
89 addClause -96 -103 -101 
90 addClause 67 29 -115 
91 addClause 1 -126 128 
92 addClause 8 -66 29 
93 addClause 90 50 -59 
94 addClause -10 76 123 
95 addClause 16 -54 -34 
96 addClause -103 77 -18 
97 addClause -115 27 67 
98 addClause 39 19 -112 
99 addClause 91 -14 -120 
100 addClause 25 65 45 
101 addClause 118 -64 9 
102 addClause 96 34 12 
103 addClause -98 -85 118 
104 addClause -6 -99 22 
105 addClause 36 -15 -87 
106 addClause 103 61 -14 
107 addClause -32 -85 -120 
108 addClause 114 83 -92 
109 addClause -114 -106 -30 
110 addClause -21 65 90 
111 addClause 38 -5 -3 
112 addClause -34 64 50 
113 addClause -57 -27 -66 
114 addClause 44 106 -101 
115 addClause 54 37 112 
116 addClause -126 115 99 
117 addClause 101 17 -67 
118 addClause -42 96 58 
119 addClause 29 -83 67 
120 addClause -26 69 -42 
121 addClause 25 -64 30 
122 addClause 66 -97 43 
123 addClause -53 128 118 
124 addClause -38 49 112 
125 addClause -4 -63 -51 
126 addClause 2 91 -46 
127 addClause 2 -39 -48 
128 addClause -6 33 77 
129 addClause 69 -74 -51 
130 addClause 93 79 -16 
131 addClause 99 70 54 
132 addClause -98 104 31 
133 addClause -97 74 -95 
134 addClause 56 19 129 
135 addClause -37 -34 -27 
136 addClause -100 124 -64 
137 addClause 80 -42 -43 
138 addClause -44 71 -40 
139 addClause -95 83 -94 
140 addClause -123 -44 -116 
141 addClause 124 97 113 
142 addClause -117 -29 -86 
143 addClause 30 123 -31 
144 addClause -45 74 -95 
145 addClause 123 126 47 
146 addClause 47 102 108 
147 addClause -102 -63 -22 
148 addClause -116 -72 -89 
149 addClause 55 39 34 
150 addClause -96 -100 -108 
151 addClause 128 79 -34 
152 addClause 61 -68 -107 
153 addClause 125 60 -11 
154 addClause 90 -125 -30 
155 addClause -79 53 -41 
156 addClause 92 -104 124 
157 addClause 88 99 17 
158 addClause -99 64 44 
159 addClause 128 -108 -123 
160 addClause 94 -51 -3 
161 addClause 47 28 -105 
162 addClause 93 -77 47 
163 addClause 42 -42 -31 
164 addClause 41 -76 -129 
165 addClause 47 12 -60 
166 addClause -10 102 33 
167 addClause 90 -56 -37 
168 addClause -35 -76 -81 
169 addClause -126 66 7 
170 addClause 49 73 -110 
171 addClause 100 -26 -25 
172 addClause 59 -10 33 
173 addClause -121 62 -118 
174 addClause -52 -117 -96 
175 addClause 107 59 -97 
176 addClause 10 -126 41 
177 addClause 20 115 -17 
