1 init
2 Random Walk : 0.03913420886839891
3 DB simplification
4 newVar 115
5 addClause -100 24 -62 
6 addClause -18 -106 -100 
7 addClause -62 -26 88 
8 addClause -106 -38 -105 
9 addClause 100 -77 -57 
10 addClause -54 18 64 
11 addClause 102 -4 44 
12 addClause -74 65 92 
13 addClause -104 95 19 
14 addClause -88 -91 100 
15 addClause 93 -96 -2 
16 addClause -92 67 -60 
17 addClause -56 5 -4 
18 addClause 93 -4 63 
19 addClause -113 104 36 
20 addClause 60 35 73 
21 addClause 34 -3 -72 
22 addClause 99 -45 26 
23 addClause -89 -113 -21 
24 addClause -30 -6 80 
25 addClause 16 -44 95 
26 addClause 94 -53 -12 
27 addClause -64 -52 -77 
28 addClause 99 9 103 
29 addClause -70 -68 41 
30 addClause -4 -27 -23 
31 addClause 37 -3 -53 
32 addClause 31 37 93 
33 addClause 62 -96 -74 
34 addClause 37 -10 -12 
35 addClause 55 -28 79 
36 addClause -84 -51 56 
37 addClause -44 -102 -16 
38 addClause 30 -91 19 
39 addClause -44 -17 51 
40 addClause 4 -26 -71 
41 addClause -99 -72 77 
42 addClause 8 -56 -102 
43 addClause 30 89 23 
44 addClause -42 -3 39 
45 addClause 49 -91 -13 
46 addClause 72 -98 71 
47 addClause -10 -101 82 
48 addClause 24 99 62 
49 addClause 100 -93 93 
50 addClause 103 -101 82 
51 addClause -30 10 15 
52 addClause 28 -96 -85 
53 addClause 10 113 -95 
54 addClause 74 69 -90 
55 addClause 81 -66 -85 
56 addClause -50 21 10 
57 addClause -24 -27 111 
58 addClause 24 33 -88 
59 addClause -55 11 -30 
60 addClause 109 -25 4 
61 addClause -55 -64 51 
62 addClause -26 10 25 
63 addClause 13 31 2 
64 addClause -12 61 -52 
65 addClause 75 -63 62 
66 addClause -102 28 -1 
67 addClause -111 -20 73 
68 addClause -8 -82 29 
69 addClause 64 17 -92 
70 addClause -31 -97 42 
71 addClause 106 7 -4 
72 addClause 104 -15 58 
73 addClause 4 -5 31 
74 addClause 39 13 60 
75 addClause -64 -14 -8 
76 addClause -17 17 -55 
77 addClause 96 22 106 
78 addClause 51 45 60 
79 addClause 11 92 76 
80 addClause 63 30 15 
81 addClause 45 -102 -101 
82 addClause 54 -88 -45 
83 addClause -74 -46 38 
84 addClause -10 -47 -5 
85 addClause -1 60 -40 
86 addClause -98 -33 -59 
87 addClause -27 -20 -113 
88 addClause -92 114 106 
89 addClause 34 -55 -112 
90 addClause -28 -27 61 
91 addClause 73 -21 -46 
92 addClause 63 112 51 
