1 init
2 Data Structure Factory : CardinalityDataStructureYanMax
3 Order : VarOrderHeap/varDecay=0.8189899634280502
4 Phase Selection Strategy : PositiveLiteralSelectionStrategy
5 Learning Strategy : ActiveLearning/percent=0.7660546099657837
6 Restart Strategy : LubyRestarts/factor=336
7 Simplification Type : simpleSimplification
8 Search Params : varDecay=0.9404970241895735/claDecay=1.0484273340585033/conflictBoundIncFactor=0.8901662447193004/initConflictBound=309
9 Learned Constraints Evaluation Type : ACTIVITY
10 Random Walk : 0.6936287040779633
11 DBS simplification
12 addClause -97 -44 -92 
13 addClause -46 -53 25 
14 addClause 104 87 -89 
15 addClause -56 -92 29 
16 addClause 94 32 -46 
17 addClause -29 33 -6 
18 addClause 50 -96 -27 
19 addClause -96 112 -109 
20 addClause -94 -16 50 
21 addClause 20 -68 62 
22 addClause -98 -106 -32 
23 addClause -88 13 -68 
24 addClause -19 16 51 
25 addClause -57 92 -68 
26 addClause -26 69 -80 
27 addClause -60 -109 12 
28 addClause -103 -93 -68 
29 addClause 27 -81 42 
30 addClause -42 14 78 
31 addClause -56 20 81 
32 addClause -70 -100 -77 
33 addClause 106 -36 -66 
34 addClause -80 -72 -28 
35 addClause 97 23 10 
36 addClause 107 12 56 
37 addClause -7 106 -114 
38 addClause 55 -93 -91 
39 addClause 60 -105 -85 
40 addClause -87 97 82 
41 addClause 62 -54 56 
42 addClause 33 65 -81 
43 addClause 49 -48 64 
44 addClause -47 53 -24 
45 addClause 35 64 20 
46 addClause -84 -2 7 
47 addClause 65 8 -77 
48 addClause -38 -90 -39 
49 addClause -106 64 94 
50 addClause 59 -69 102 
51 addClause 92 -111 52 
52 addClause 90 -42 -58 
53 addClause -104 -110 -96 
54 addClause -75 108 -35 
55 addClause -3 -35 58 
56 addClause -10 -39 -54 
57 addClause -47 -97 -8 
58 addClause -45 -76 21 
59 addClause 81 -83 25 
60 addClause 6 40 23 
61 addClause 105 -80 75 
62 addClause 54 -75 103 
63 addClause -77 -60 -20 
64 addClause -67 -65 50 
65 addClause -13 -46 71 
66 addClause -81 -11 52 
67 addClause 18 52 53 
68 addClause 72 97 52 
69 addClause 37 53 -65 
70 addClause 83 -106 11 
71 addClause -35 -70 -41 
72 addClause -51 114 -92 
73 addClause -36 -9 40 
74 addClause -86 29 -84 
75 addClause 44 65 8 
76 addClause -47 11 80 
77 addClause -86 100 23 
78 addClause -66 55 -9 
79 addClause -66 -65 -56 
80 addClause 30 53 17 
81 addClause 2 63 77 
82 addClause -71 89 95 
83 addClause 84 71 -59 
84 addClause 53 31 -39 
85 addClause -54 20 70 
86 addClause -14 85 113 
87 addClause -54 75 -111 
88 addClause -88 -61 86 
89 addClause 4 -13 98 
90 addClause 22 -44 -21 
91 addClause 82 -108 -62 
92 addClause -7 -24 -59 
93 addClause -56 49 35 
94 addClause 3 40 -39 
95 addClause -31 -84 -25 
96 addClause 63 59 -9 
97 addClause 77 91 -55 
98 addClause 22 37 -82 
99 addClause -50 78 -37 
100 addClause 40 -109 -68 
101 addClause 43 46 -115 
102 addClause 109 -48 11 
103 addClause -99 -50 -80 
104 addClause 55 -68 62 
105 addClause -95 4 -58 
106 addClause 50 61 75 
107 addClause 83 -35 67 
108 addClause -17 28 -26 
109 addClause 28 -33 -68 
110 addClause 63 36 83 
111 addClause -11 79 106 
112 addClause 107 18 -98 
113 addClause -46 -61 -92 
114 addClause 19 90 101 
115 addClause 28 93 109 
116 addClause -95 -98 69 
117 addClause -81 -57 101 
118 addClause 12 -107 44 
119 addClause 3 -8 45 
120 addClause -8 -36 -64 
121 addClause 21 -110 86 
122 addClause -85 -84 35 
123 addClause -73 -111 13 
124 addClause 44 -35 105 
125 addClause 91 105 47 
126 addClause -97 10 -113 
127 addClause -15 21 94 
128 addClause 79 -23 -65 
129 addClause 74 -87 68 
130 addClause -59 88 -87 
131 addClause -28 15 40 
132 addClause -84 -102 14 
133 addClause 96 -64 -72 
134 addClause 77 41 -81 
135 addClause -79 -66 87 
136 addClause 95 29 -25 
137 addClause -76 -102 20 
138 addClause 60 -60 -103 
139 addClause 2 3 21 
140 addClause -29 27 -14 
141 addClause -96 -16 -22 
142 addClause 77 -28 -95 
143 addClause 92 22 38 
144 addClause -20 -76 83 
145 addClause 104 79 -47 
146 addClause 61 -101 -108 
147 addClause -76 81 103 
148 addClause 62 -24 -7 
149 addClause 109 -113 -71 
150 addClause 61 -58 94 
151 addClause -73 95 -36 
152 addClause 81 -110 85 
153 addClause 68 41 -70 
154 addClause 26 -75 -13 
155 addClause 69 66 -70 
156 addClause 81 75 36 
157 addClause -114 -32 42 
158 addClause 12 111 52 
159 addClause -95 1 -84 
160 addClause 57 66 83 
161 addClause -17 -53 -113 
162 addClause -21 79 40 
163 addClause -70 74 -92 
164 addClause -36 76 98 
165 addClause -51 78 10 
166 addClause 65 72 64 
167 addClause 110 85 -48 
168 addClause 23 66 34 
169 addClause -4 52 -103 
170 addClause 73 14 -90 
171 addClause -62 -59 49 
172 addClause 82 -103 79 
173 addClause 43 -17 11 
174 addClause 4 -42 31 
175 addClause 69 -38 -69 
176 addClause 73 -110 93 
177 addClause -50 112 76 
178 addClause 47 -111 71 
179 addClause 2 -48 -38 
180 addClause 51 30 113 
181 addClause 35 -107 -79 
182 addClause -63 -104 -25 
183 addClause 86 23 -97 
184 addClause 99 70 110 
185 addClause -100 34 55 
186 addClause -85 -95 103 
187 addClause 60 -45 25 
188 addClause 36 27 84 
189 addClause -31 -41 13 
190 addClause -75 89 -5 
191 addClause -96 -81 -64 
192 addClause 85 -51 30 
