1 init
2 using solver CLEANING
3 Random Walk 0.8729655647715467
4 DBS simplification allowed
5 addClause -38 164 -140 
6 addClause 80 42 68 
7 addClause -153 -48 -75 
8 addClause -142 -132 8 
9 addClause 158 -59 -94 
10 addClause -140 145 13 
11 addClause 19 81 112 
12 addClause -110 65 -56 
13 addClause -44 -141 -84 
14 addClause 125 -149 60 
15 addClause -78 80 49 
16 addClause -25 152 -122 
17 addClause -8 -154 47 
18 addClause -79 -95 86 
19 addClause 134 -19 20 
20 addClause 130 -88 -113 
21 addClause -116 -146 -85 
22 addClause -158 15 -162 
23 addClause -59 -36 136 
24 addClause 15 -74 -54 
25 addClause 78 102 -138 
26 addClause -46 -148 -24 
27 addClause 14 -100 166 
28 addClause 60 -41 -8 
29 addClause -7 157 32 
30 addClause 85 -52 109 
31 addClause 141 163 146 
32 addClause -76 76 29 
33 addClause -7 103 82 
34 addClause -81 -84 13 
35 addClause -44 59 83 
36 addClause -141 62 70 
37 addClause -53 -162 -148 
38 addClause -27 -156 95 
39 addClause 3 38 -97 
40 addClause 157 -76 -70 
41 addClause 16 55 89 
42 addClause 5 94 79 
43 addClause -143 134 -92 
44 addClause -57 48 95 
45 addClause 21 -125 -28 
46 addClause 35 45 -67 
47 addClause 96 -151 -30 
48 addClause 93 -131 -133 
49 addClause 50 -78 162 
50 addClause -112 36 49 
51 addClause -156 -4 -158 
52 addClause -151 -108 49 
53 addClause -70 -27 144 
54 addClause 60 101 78 
55 addClause -23 -106 61 
56 addClause 135 60 -109 
57 addClause -89 -119 52 
58 addClause 1 120 7 
59 addClause 130 -146 118 
60 addClause -162 140 123 
61 addClause -128 -72 93 
62 addClause -132 161 -98 
63 addClause 133 -117 22 
64 addClause 56 -32 -64 
65 addClause -13 1 -69 
66 addClause 75 -48 117 
67 addClause -14 -30 149 
68 addClause -98 6 -54 
69 addClause 132 8 102 
70 addClause -154 -46 66 
71 addClause -130 70 76 
72 addClause -72 -3 -93 
73 addClause 96 38 -93 
74 addClause -39 64 158 
75 addClause 62 -107 -7 
76 addClause 120 48 79 
77 addClause 9 -11 -66 
78 addClause -80 154 119 
79 addClause 53 137 -118 
80 addClause -70 64 -8 
81 addClause -161 -160 148 
82 addClause -34 150 75 
83 addClause 1 165 111 
84 addClause 40 114 10 
85 addClause 30 41 37 
86 addClause 41 -60 -145 
87 addClause -19 -166 148 
88 addClause 113 11 165 
89 addClause 95 -53 -61 
90 addClause 98 -13 -61 
91 addClause -130 -76 -69 
92 addClause -155 37 141 
93 addClause 54 31 -120 
94 addClause 130 87 -40 
95 addClause 57 -135 159 
96 addClause -125 106 -82 
97 addClause 20 157 -62 
98 addClause -2 3 -39 
99 addClause 49 -164 19 
100 addClause -81 -144 -114 
101 addClause 124 150 -41 
102 addClause -101 136 63 
103 addClause 160 -45 -111 
104 addClause 98 79 109 
105 addClause -11 -59 -122 
106 addClause 166 38 88 
107 addClause 31 -80 -83 
108 addClause -138 -21 77 
109 addClause -75 -165 40 
110 addClause 21 -10 -9 
111 addClause 21 152 61 
112 addClause 70 161 -3 
113 addClause -19 -87 -71 
114 addClause 7 -104 101 
115 addClause -35 -26 -87 
116 addClause 72 161 -27 
117 addClause 130 -60 145 
118 addClause -47 -37 4 
119 addClause -80 82 101 
120 addClause -112 27 -151 
121 addClause -21 63 -39 
122 addClause -98 107 -40 
123 addClause -137 -3 -149 
124 addClause 148 -44 -4 
125 addClause -71 118 -155 
126 addClause -29 43 57 
127 addClause 10 -94 -149 
128 addClause -66 149 31 
129 addClause -83 139 -42 
130 addClause 72 -23 147 
131 addClause -143 -161 -91 
132 addClause 126 27 -87 
133 addClause -126 -108 60 
134 addClause -158 -92 44 
135 addClause 114 124 105 
136 addClause -125 35 156 
137 addClause -66 -78 -88 
138 addClause 97 162 15 
139 addClause 69 -37 -164 
140 addClause 67 -151 12 
141 addClause 11 -117 21 
142 addClause -46 67 123 
143 addClause 85 84 -106 
144 addClause 152 147 -23 
145 addClause 101 5 -7 
146 addClause 62 45 -157 
147 addClause -27 131 126 
148 addClause -44 104 39 
149 addClause 36 -127 158 
150 addClause -42 -156 -31 
151 addClause 56 25 -122 
152 addClause 96 -129 26 
153 addClause 14 -92 -79 
154 addClause 74 115 16 
155 addClause 57 -125 -5 
156 addClause -10 -132 -159 
157 addClause -88 82 -45 
158 addClause 24 -4 22 
159 addClause -128 -41 -83 
160 addClause 22 -117 74 
161 addClause -1 -10 157 
162 addClause -113 88 -39 
163 addClause -166 67 25 
164 addClause 120 52 -151 
165 addClause -28 -163 -61 
166 addClause 40 151 78 
167 addClause -125 -11 37 
168 addClause 17 -141 61 
169 addClause -140 107 -107 
170 addClause -3 -165 -74 
171 addClause 130 69 162 
172 addClause -156 45 -161 
173 addClause -126 -127 -28 
174 addClause 9 -144 165 
175 addClause 113 120 26 
176 addClause -24 -164 126 
177 addClause -116 105 -156 
178 addClause -46 26 64 
179 addClause -89 -137 123 
180 addClause -167 -161 126 
181 addClause 164 77 39 
182 addClause -95 -100 -34 
183 addClause 76 -114 -37 
184 addClause -51 -92 156 
185 addClause -57 18 -88 
186 addClause -28 -29 -164 
187 addClause 53 73 -138 
188 addClause 101 153 110 
189 addClause -83 29 131 
190 addClause -147 16 165 
191 addClause -44 144 -77 
192 addClause 63 35 120 
193 addClause -3 -152 -154 
194 addClause -5 -11 -109 
195 addClause -69 45 55 
196 addClause -114 -129 75 
197 addClause 74 13 -137 
198 addClause 39 116 164 
199 addClause 108 11 -52 
200 addClause 100 -11 157 
201 addClause -149 15 11 
202 addClause -156 -165 -141 
203 addClause -69 -83 -134 
204 addClause -36 -138 -76 
205 addClause -164 147 -95 
206 addClause 40 -84 42 
207 addClause 78 -32 -136 
208 addClause -105 33 -96 
209 addClause 108 82 -141 
210 addClause -99 38 -47 
211 addClause -77 44 150 
212 addClause -34 143 -15 
213 addClause -22 -147 8 
214 addClause 79 -15 140 
215 addClause -102 -17 -100 
216 addClause -87 -26 66 
217 addClause 13 9 55 
218 addClause -125 -37 -114 
219 addClause -113 -102 92 
220 addClause 107 41 118 
221 addClause 152 -30 53 
222 addClause 50 114 -155 
223 addClause -3 75 162 
224 addClause 40 -134 -88 
225 addClause 56 -69 -131 
226 addClause 135 -103 -124 
227 addClause 124 -60 57 
228 addClause 3 -87 -149 
229 addClause -144 -167 -87 
230 addClause -141 2 -154 
231 addClause -49 -136 -102 
232 addClause 99 -75 -17 
233 addClause -129 44 -50 
234 addClause 84 78 162 
235 addClause -16 -118 -160 
236 addClause -43 -61 -20 
237 addClause 137 -61 98 
238 addClause -34 -62 -77 
239 addClause -145 -96 67 
240 addClause 2 104 -9 
241 addClause -72 127 -24 
242 addClause 22 -101 165 
243 addClause 12 147 -101 
244 addClause 165 -70 -133 
245 addClause 111 -130 -141 
246 addClause 33 -59 116 
247 addClause 102 77 -71 
248 addClause -83 134 151 
249 addClause 126 130 149 
250 addClause 10 33 4 
251 addClause 35 -20 -27 
252 addClause 156 -8 132 
253 addClause -57 -124 -22 
254 addClause 39 158 136 
255 addClause 152 -112 -1 
256 addClause 39 -113 138 
257 addClause 137 90 -125 
258 addClause -139 28 -61 
259 addClause -38 -146 -78 
260 addClause -13 -90 -155 
261 addClause 83 77 112 
262 addClause -123 -85 -120 
263 addClause 96 -135 121 
264 addClause 149 75 101 
265 addClause -117 -31 64 
266 addClause -52 -76 -80 
267 addClause 126 87 -54 
268 addClause -40 153 134 
269 addClause -146 50 -81 
270 addClause -64 -149 14 
271 addClause 118 160 40 
272 addClause 161 41 -46 
273 addClause -114 -8 110 
274 addClause 78 -57 106 
275 addClause -122 70 -61 
276 addClause -121 104 96 
277 addClause 70 -71 -162 
278 addClause -27 -94 -10 
279 addClause -134 77 94 
280 addClause 100 130 -27 
281 addClause -99 -106 101 
282 addClause -101 -18 149 
283 addClause 17 -131 126 
284 addClause 66 -146 -158 
285 addClause -144 3 104 
286 addClause 47 129 -138 
287 addClause 85 -23 -16 
288 addClause -10 -102 -148 
289 addClause 6 -91 140 
290 addClause -107 -135 2 
291 addClause 1 -63 -44 
292 addClause -81 90 -166 
293 addClause 85 -164 -107 
294 addClause -54 -141 -109 
295 addClause 103 -116 -99 
296 addClause 103 -82 -21 
297 addClause -160 119 -133 
298 addClause -54 3 -84 
299 addClause -27 7 -94 
300 addClause 163 11 3 
301 addClause -8 -94 10 
302 addClause 127 -25 -80 
303 addClause -39 -20 -94 
304 addClause -107 -152 21 
305 addClause 65 -62 -158 
306 addClause 115 -31 42 
307 addClause -14 74 -148 
308 addClause -150 -102 97 
309 addClause 18 -15 17 
310 addClause 139 166 -24 
311 addClause -73 -138 -75 
312 addClause -161 -75 -105 
313 addClause -67 -96 -7 
314 addClause 155 -51 126 
315 addClause -143 -38 -136 
316 addClause -130 -93 140 
317 addClause 63 -53 41 
318 addClause 25 128 -103 
319 addClause -109 -35 -73 
320 addClause -70 119 99 
321 addClause 141 47 -104 
322 addClause -102 -125 122 
323 addClause -18 116 19 
324 addClause 32 159 27 
325 addClause 99 103 59 
326 addClause -67 78 130 
327 addClause -156 86 69 
328 addClause 80 163 -54 
329 addClause 6 147 110 
330 addClause 142 58 114 
331 addClause -132 -66 -36 
