1 init
2 using solver Backjumping
3 Random Walk : 0.18497090109129322
4 DB simplification
5 addClause -102 -56 -105 
6 addClause 85 108 -96 
7 addClause 121 -9 -93 
8 addClause -102 -28 -117 
9 addClause 38 -70 -57 
10 addClause -23 28 -83 
11 addClause 35 -88 -46 
12 addClause -30 -121 -102 
13 addClause -81 49 -16 
14 addClause 55 89 -86 
15 addClause 28 -73 -4 
16 addClause 35 37 119 
17 addClause 97 124 123 
18 addClause -104 21 -33 
19 addClause -81 -121 76 
20 addClause 39 -100 -56 
21 addClause -59 58 101 
22 addClause 66 -76 -124 
23 addClause 103 -123 35 
24 addClause -60 77 -125 
25 addClause 122 -14 46 
26 addClause 25 -66 119 
27 addClause -4 -83 -19 
28 addClause 120 -93 -66 
29 addClause -120 -26 -112 
30 addClause 28 73 91 
31 addClause -56 -102 -92 
32 addClause 114 -59 106 
33 addClause 106 -71 53 
34 addClause -118 -74 92 
35 addClause 18 -42 -16 
36 addClause -65 38 -37 
37 addClause 79 -52 114 
38 addClause 68 -57 -93 
39 addClause -126 -32 -20 
40 addClause -81 118 26 
41 addClause -78 -47 -120 
42 addClause -51 46 -123 
43 addClause -53 -112 -107 
44 addClause 18 39 -61 
45 addClause 88 -25 66 
46 addClause -32 -12 -92 
47 addClause 35 -20 -7 
48 addClause 46 -122 -21 
49 addClause 103 71 -59 
50 addClause 95 -11 -6 
51 addClause -2 -91 6 
52 addClause -82 33 -74 
53 addClause -103 28 -16 
54 addClause -32 20 -2 
55 addClause 50 42 69 
56 addClause 35 30 26 
57 addClause 86 -71 -49 
58 addClause 30 -104 -54 
59 addClause 106 42 -53 
60 addClause 44 38 -45 
61 addClause 108 7 31 
62 addClause -38 67 18 
63 addClause -23 20 99 
64 addClause 113 116 -61 
65 addClause 121 29 22 
66 addClause 27 98 -81 
67 addClause 73 71 -14 
68 addClause 100 24 -9 
69 addClause 58 -34 122 
70 addClause -75 -11 -97 
71 addClause 2 -68 15 
72 addClause -58 37 40 
73 addClause 18 116 37 
74 addClause 81 -49 93 
75 addClause -118 -8 -94 
76 addClause -51 67 100 
77 addClause -35 -114 36 
78 addClause -49 -29 102 
79 addClause -84 -72 -76 
80 addClause 11 118 -91 
81 addClause 53 -25 -51 
82 addClause 13 48 -13 
83 addClause 61 51 -34 
84 addClause 104 64 -21 
85 addClause 49 -44 6 
86 addClause 119 -81 7 
87 addClause -79 -69 -84 
88 addClause -54 122 -90 
89 addClause -38 86 -119 
90 addClause -44 -73 -98 
91 addClause 11 96 -67 
92 addClause -55 31 35 
93 addClause -34 -81 -94 
94 addClause -8 -91 -33 
95 addClause -60 -13 -35 
96 addClause 7 -103 -115 
97 addClause 25 -114 -8 
98 addClause 73 -94 -74 
99 addClause 115 69 -82 
100 addClause 89 -56 25 
101 addClause -114 -119 81 
102 addClause 13 -85 -71 
103 addClause 56 -6 73 
104 addClause 112 -7 114 
105 addClause 28 93 20 
106 addClause 109 96 100 
107 addClause -38 121 -60 
108 addClause 63 108 -86 
109 addClause 115 9 -52 
110 addClause 35 -12 -46 
111 addClause -87 49 -11 
112 addClause 113 -2 -111 
113 addClause -85 -90 115 
114 addClause 90 -83 19 
115 addClause -39 29 26 
116 addClause 69 -89 -95 
117 addClause 68 -59 109 
118 addClause 35 -89 105 
119 addClause -7 -42 99 
120 addClause -31 64 -100 
121 addClause -8 70 -96 
122 addClause -23 92 -113 
123 addClause -116 50 -121 
124 addClause -112 78 87 
125 addClause -10 -104 110 
126 addClause 73 -40 107 
127 addClause -53 58 -65 
128 addClause -56 11 -105 
129 addClause 56 50 98 
130 addClause 36 -77 117 
131 addClause -12 1 -103 
132 addClause 76 -59 -55 
133 addClause 119 61 19 
134 addClause 83 -99 29 
135 addClause 104 -84 120 
136 addClause -116 -43 -13 
137 addClause -38 -52 114 
138 addClause -103 68 26 
139 addClause 115 -2 76 
140 addClause 86 -11 66 
141 addClause 77 53 -45 
142 addClause 13 29 22 
143 addClause 68 108 35 
144 addClause -55 46 36 
145 addClause 121 -6 -20 
146 addClause 94 -32 69 
147 addClause 113 106 83 
148 addClause -100 54 46 
149 addClause 51 -20 -122 
150 addClause -73 -82 -42 
151 addClause 67 103 37 
152 addClause 1 120 109 
153 addClause -116 41 -44 
154 addClause 6 -67 -3 
155 addClause -114 -55 -30 
156 addClause 1 -103 -91 
157 addClause -77 -34 -80 
158 addClause -22 -95 -83 
159 addClause -64 1 7 
160 addClause -98 -100 -91 
161 addClause -72 -116 16 
162 addClause -107 -33 -10 
163 addClause 48 11 -88 
164 addClause 47 50 -41 
165 addClause 33 -116 66 
166 addClause -54 -46 117 
167 addClause 11 -102 -78 
168 addClause 88 117 39 
169 addClause 76 -51 123 
170 addClause 76 -77 7 
171 addClause 51 -20 -14 
172 addClause -42 76 -99 
173 addClause 112 80 -32 
174 addClause 63 60 86 
175 addClause -14 57 -123 
176 addClause -54 -73 36 
177 addClause -57 93 -38 
178 addClause 89 -82 -105 
179 addClause 114 -70 107 
180 addClause 56 -59 -121 
181 addClause -12 -121 -86 
182 addClause -41 -56 -6 
183 addClause 71 1 -123 
184 addClause -15 49 11 
185 addClause -21 56 -14 
186 addClause -119 -2 -92 
187 addClause 98 -32 63 
188 addClause 38 -42 -41 
189 addClause -96 67 46 
190 addClause -32 102 -56 
191 addClause 12 -88 85 
192 addClause -67 -54 -43 
193 addClause -105 -47 -23 
194 addClause 77 9 1 
195 addClause 25 -1 -85 
196 addClause -33 62 -35 
197 addClause 59 -29 -28 
198 addClause 117 102 -80 
199 addClause 115 -82 -37 
200 addClause -92 -87 -48 
201 addClause -123 50 66 
202 addClause 33 -77 -106 
203 addClause -5 2 -57 
204 addClause -17 3 77 
205 addClause 93 -119 -18 
206 addClause 12 121 117 
207 addClause -93 -77 -87 
208 addClause -18 -103 -92 
209 addClause -68 15 -90 
210 addClause -104 124 -109 
211 addClause -19 7 -85 
212 addClause -87 -122 -39 
213 addClause 5 116 -16 
214 addClause -5 -93 100 
215 addClause -13 -43 47 
216 addClause -120 64 34 
217 addClause -67 -13 47 
218 addClause -110 -26 -83 
219 addClause 116 69 4 
220 addClause 111 114 64 
221 addClause 106 -17 -36 
222 addClause -51 42 99 
223 addClause -44 63 20 
224 addClause -15 -38 80 
225 addClause -43 -76 87 
226 addClause 73 -58 30 
227 addClause -15 20 28 
228 addClause 49 88 -74 
229 addClause 117 -31 -22 
230 addClause -122 72 15 
231 addClause -82 5 -11 
232 addClause -8 82 116 
233 addClause -99 -110 -55 
234 addClause 109 46 80 
235 addClause -39 112 -20 
236 addClause 122 -74 37 
237 addClause -1 -57 55 
238 addClause -21 -52 -90 
239 addClause 21 -114 99 
240 addClause 57 -94 -6 
241 addClause 51 80 76 
242 addClause 53 -86 115 
243 addClause -107 99 -81 
244 addClause -65 -97 -70 
245 addClause -70 -78 88 
246 addClause 44 35 111 
247 addClause 44 -107 -92 
248 addClause -24 34 110 
249 addClause -67 40 22 
250 addClause 16 6 -47 
251 addClause -39 47 -4 
252 addClause -122 -40 -74 
253 addClause 80 83 111 
254 addClause -68 61 30 
255 addClause 72 62 -35 
256 addClause 6 -60 39 
257 addClause 44 -117 37 
258 addClause -119 -19 36 
259 addClause -4 57 -51 
260 addClause 57 39 7 
261 addClause -26 93 35 
262 addClause -103 -27 25 
263 addClause -100 -102 -124 
264 addClause 32 -40 -69 
265 addClause -60 -46 106 
