1 init
2 Data Structure Factory : MixedDataStructureDanielWLConciseBinary
3 Phase Selection Strategy : PhaseCachingAutoEraseStrategy
4 Restart Strategy : FixedPeriodRestarts/period=1842
5 Simplification Type : expensiveSimplification
6 Search Params : varDecay=0.9251664374112936/claDecay=0.9800014083365373/conflictBoundIncFactor=2.4876690705916467/initConflictBound=59
7 Learned Constraints Evaluation Type : ACTIVITY
8 DB simplification
9 addClause -4 -11 -3 
10 addClause -2 -7 7 
11 addClause 2 7 -6 
12 addClause -11 7 4 
13 addClause -8 -10 7 
14 addClause -4 -1 5 
15 addClause -2 -1 4 
16 addClause 6 -12 10 
17 addClause 9 -9 -6 
18 addClause -1 8 9 
19 addClause 8 -2 -3 
20 addClause -5 8 5 
21 addClause 5 -12 -11 
22 addClause -6 1 3 
23 addClause -10 -3 3 
24 addClause 5 -5 -11 
25 addClause -11 3 4 
26 addClause -1 4 -5 
27 addClause -7 4 -6 
28 addClause -12 -11 -2 
29 addClause 1 -5 6 
30 addClause 5 4 -7 
31 addClause 4 6 -3 
32 addClause -4 4 -2 
33 addClause -7 10 3 
34 addClause 5 11 2 
35 addClause -11 -3 3 
36 addClause 7 -7 10 
37 addClause 10 -10 9 
38 addClause 4 1 -2 
39 addClause -6 -2 -7 
40 addClause -2 -1 -4 
41 addClause -1 -6 -10 
42 addClause -1 -9 4 
43 addClause -12 -9 1 
44 addClause 3 4 -4 
45 addClause 9 3 10 
46 addClause -8 -5 6 
47 addClause -12 -7 -8 
48 addClause -4 6 -2 
49 addClause -11 -7 4 
50 addClause -8 11 2 
51 addClause 4 -12 10 
52 addClause -9 -5 -11 
53 addClause -5 7 4 
54 addClause 9 -3 1 
55 addClause -6 -8 -13 
56 addClause -1 9 6 
57 addClause -6 -10 -7 
58 addClause 1 -11 -10 
59 addClause 5 -10 1 
60 addClause 1 4 10 
61 addClause -2 5 -4 
62 addClause -8 3 5 
63 addClause -10 3 -7 
64 addClause 11 -2 -11 
65 addClause 6 -4 11 
66 addClause 2 5 8 
67 addClause -3 4 2 
68 addClause 4 -12 3 
69 enumerating
