1 init
2 using solver LEARNING
3 Random Walk
4 DBS simplification allowed
5 addClause 60 -35 -52 
6 addClause 101 14 -26 
7 addClause 46 81 -96 
8 addClause 80 -41 11 
9 addClause 100 30 -83 
10 addClause -28 30 95 
11 addClause 1 51 -5 
12 addClause -19 85 -52 
13 addClause 38 81 -25 
14 addClause 7 54 -89 
15 addClause 76 -26 -28 
16 addClause -63 13 -52 
17 addClause 16 100 40 
18 addClause -49 -38 104 
19 addClause 27 -4 -43 
20 addClause 13 48 59 
21 addClause -76 -95 -29 
22 addClause -40 36 -70 
23 addClause -39 16 34 
24 addClause 17 -44 -25 
25 addClause -96 -14 53 
26 addClause 83 77 -90 
27 addClause -16 73 -3 
28 addClause -8 87 -55 
29 addClause -5 4 -40 
30 addClause -5 -3 -43 
31 addClause 74 33 -18 
32 addClause -8 -3 77 
33 addClause -28 58 6 
34 addClause 69 -11 -18 
35 addClause 55 -54 -41 
36 addClause 89 -79 -43 
37 addClause 94 -2 -98 
38 addClause 11 101 -1 
39 addClause -30 57 -42 
40 addClause 65 -38 5 
41 addClause 77 -48 88 
42 addClause -43 -11 -28 
43 addClause -8 62 105 
44 addClause -4 -65 94 
45 addClause -79 10 65 
46 addClause -65 73 -2 
47 addClause 7 86 91 
48 addClause -6 52 -99 
49 addClause 80 3 -51 
50 addClause -19 48 -5 
51 addClause -5 -16 27 
52 addClause -91 23 -92 
53 addClause 98 70 96 
54 addClause -69 45 -43 
55 addClause 10 22 96 
56 addClause -30 -82 86 
57 addClause -13 -104 65 
58 addClause -71 -29 96 
59 addClause -13 7 -53 
60 addClause 94 86 -77 
61 addClause -20 -97 -96 
62 addClause -49 -91 26 
63 addClause 22 -93 -70 
64 addClause 81 85 -57 
65 addClause 100 -41 15 
66 addClause -98 -66 -77 
67 addClause 99 -69 -29 
68 addClause -48 -97 94 
69 addClause 80 -28 -97 
70 addClause 25 -24 -28 
71 addClause -20 -72 -35 
72 addClause 55 103 59 
73 addClause -34 23 -73 
74 addClause -92 -29 -61 
75 addClause -57 102 81 
76 addClause 26 -33 -46 
77 addClause -12 -98 -82 
78 addClause -60 -59 64 
79 addClause 30 64 97 
80 addClause 27 -12 21 
81 addClause 12 -98 13 
82 addClause 50 -9 26 
83 addClause -90 24 77 
84 addClause 97 16 64 
85 addClause -88 37 40 
86 addClause -55 -4 -52 
87 addClause -59 -15 -94 
88 addClause 42 -76 6 
89 addClause -77 25 -91 
90 addClause -60 -36 -67 
