1 init
2 Data Structure Factory : MixedDataStructureDanielWLConciseBinary
3 Order : NaturalStaticOrder
4 Phase Selection Strategy : PhaseInLastLearnedClauseSelectionStrategy
5 Restart Strategy : NoRestarts
6 Learned Constraints Evaluation Type : ACTIVITY
7 addClause 58 54 47 
8 addClause -4 63 25 
9 addClause -32 -35 -67 
10 addClause 60 38 48 
11 addClause 27 35 -27 
12 addClause 54 -34 35 
13 addClause 1 -10 -22 
14 addClause -19 -34 -31 
15 addClause -30 27 33 
16 addClause -31 45 -27 
17 addClause 54 36 -62 
18 addClause -39 -16 -4 
19 addClause 39 13 -28 
20 addClause -16 46 36 
21 addClause -46 62 21 
22 addClause -16 24 -4 
23 addClause 8 -9 -63 
24 addClause 37 25 23 
25 addClause 39 1 -56 
26 addClause 48 10 50 
27 addClause -67 41 14 
28 addClause 14 -5 22 
29 addClause 43 23 55 
30 addClause -8 -44 -38 
31 addClause -16 -63 42 
32 addClause -28 27 -30 
33 addClause 17 38 -5 
34 addClause -3 65 -69 
35 addClause -38 43 45 
36 addClause -33 15 7 
37 addClause 65 51 -10 
38 addClause -13 7 -2 
39 addClause -51 -12 -24 
40 addClause -32 -67 46 
41 addClause -10 7 39 
42 addClause 63 -63 45 
43 addClause -23 -55 -43 
44 addClause 60 -38 68 
45 addClause -24 2 6 
46 addClause 19 24 -8 
47 addClause 60 51 -32 
48 addClause -53 -70 45 
49 addClause -3 -7 -23 
50 addClause 11 65 26 
51 addClause -1 -3 21 
52 addClause -1 -35 -46 
53 addClause -20 36 30 
54 addClause 18 28 -66 
55 addClause 56 -29 24 
56 addClause -68 -59 38 
57 addClause 11 17 28 
58 addClause -9 66 -14 
59 addClause 18 -28 40 
60 addClause 25 56 -67 
61 addClause 54 -41 -33 
62 addClause 59 43 57 
63 addClause -43 -28 18 
64 addClause 35 42 22 
65 addClause -64 49 -35 
66 addClause -28 -39 20 
67 addClause 25 -51 -36 
68 addClause 54 -30 -8 
69 addClause -3 3 48 
70 addClause 61 41 -4 
71 addClause -58 -46 -47 
72 addClause 28 52 18 
73 addClause 32 51 -41 
74 addClause 17 11 35 
75 addClause 65 54 14 
76 addClause -15 -30 61 
77 addClause 65 -4 29 
78 addClause -48 -20 -59 
79 addClause -19 44 17 
80 addClause 3 -55 65 
81 addClause 68 -37 -2 
82 addClause -67 -68 -59 
83 addClause 32 56 -30 
84 addClause 37 22 -1 
85 addClause -60 36 -20 
86 addClause -38 29 -29 
87 addClause -25 68 -38 
88 addClause 45 -39 -59 
89 addClause -33 54 16 
90 addClause 56 -17 -63 
91 addClause -70 59 30 
92 addClause 12 68 -70 
93 addClause 35 30 -25 
94 addClause -51 64 -29 
95 addClause -13 27 44 
96 addClause 34 38 -1 
97 addClause 47 -41 5 
98 addClause -58 61 65 
99 addClause -48 51 -32 
100 addClause -53 -60 47 
101 addClause 16 31 -13 
102 addClause 22 23 -51 
103 addClause -62 -9 -10 
104 addClause 26 62 -51 
105 addClause 63 29 -42 
106 addClause 2 -5 69 
107 addClause 69 -40 -68 
108 addClause 41 -51 28 
109 addClause 64 10 44 
110 addClause 26 14 23 
111 addClause -5 -40 -65 
112 addClause 1 -51 55 
113 addClause -8 21 -7 
114 addClause -45 -25 38 
115 addClause 41 20 44 
116 addClause 23 -2 -35 
117 addClause -45 -2 29 
118 addClause -22 3 -44 
119 addClause -43 27 -7 
120 addClause 69 10 -14 
121 addClause -13 -11 -26 
122 addClause -49 44 -59 
123 addClause -30 54 -14 
124 addClause -64 2 -30 
125 addClause -32 -2 -25 
126 addClause -38 -54 -58 
127 addClause 57 41 54 
128 addClause -52 -27 8 
129 addClause 33 -43 19 
130 addClause 30 31 -57 
131 addClause 9 -61 -42 
132 addClause -19 51 -48 
133 addClause -7 -58 -53 
134 addClause 57 -41 59 
135 addClause -36 -44 -14 
136 addClause 32 4 50 
137 addClause 17 65 23 
138 addClause -62 -30 41 
139 addClause 34 33 63 
140 addClause -8 -41 -34 
141 addClause -38 -47 -37 
142 addClause 58 -64 -38 
143 addClause 49 36 20 
144 addClause 67 64 34 
145 addClause 33 -36 35 
146 addClause 58 -68 9 
147 addClause -56 -67 -8 
148 addClause -42 26 -58 
149 addClause -3 -60 29 
150 addClause -29 68 -20 
151 addClause -22 52 -17 
152 addClause -53 -32 -9 
153 addClause -1 -6 -11 
154 addClause -27 -28 37 
155 addClause 33 -56 -8 
156 addClause -21 -38 66 
157 addClause 12 61 11 
158 addClause 10 40 1 
159 addClause -13 66 -70 
160 addClause -65 -5 40 
161 addClause -65 58 -68 
162 addClause 63 54 32 
163 addClause -40 11 42 
164 addClause 47 -21 -50 
165 addClause 27 62 -23 
166 addClause -23 -52 21 
167 addClause 39 50 28 
168 addClause 49 -68 59 
169 addClause 67 11 -29 
170 addClause -4 -8 50 
171 addClause 47 -5 1 
172 addClause 13 -18 53 
173 addClause -5 -1 7 
174 addClause 42 -11 -61 
175 addClause -29 34 -4 
176 addClause 28 -61 -34 
177 addClause -67 46 -28 
178 addClause -18 39 7 
179 addClause 63 -43 -53 
180 addClause -15 20 -57 
181 addClause -62 17 -42 
182 addClause -61 18 -15 
183 addClause -10 20 41 
184 addClause 55 -14 31 
185 addClause -1 -26 -16 
186 addClause 20 33 17 
187 addClause 55 -5 45 
188 addClause -5 -62 -35 
189 addClause 34 3 -45 
190 addClause 61 39 20 
191 addClause -26 4 65 
192 addClause 60 -39 -6 
193 addClause -27 51 -14 
194 addClause 41 36 -35 
195 addClause 63 -30 -28 
196 addClause -51 -6 57 
197 addClause 28 -61 7 
198 addClause -67 -60 -26 
199 addClause 34 -9 23 
200 addClause 45 25 -47 
201 addClause -4 53 7 
202 addClause -41 32 69 
203 addClause -47 68 14 
204 addClause -3 18 62 
205 addClause -57 -5 18 
206 addClause -28 61 63 
207 addClause 67 -18 -10 
208 addClause 67 -37 65 
209 addClause 29 -40 18 
210 addClause 44 -60 53 
211 addClause 17 -61 58 
212 addClause -50 -23 6 
213 addClause 40 -10 -54 
214 addClause 52 16 -52 
215 addClause -22 -63 -53 
216 addClause -45 11 -52 
217 assuming -35 -21 -22 65 33 58 62 
