1 init
2 using solver LEARNING
3 Random Walk
4 DBS simplification allowed
5 addClause -25 70 -45 
6 addClause 18 -60 20 
7 addClause 28 -44 63 
8 addClause 27 -23 10 
9 addClause -92 -68 21 
10 addClause 42 56 90 
11 addClause 34 -23 56 
12 addClause -75 61 -10 
13 addClause -48 -27 -75 
14 addClause -48 -59 -12 
15 addClause -21 45 -78 
16 addClause 18 -38 45 
17 addClause 87 -50 -58 
18 addClause 13 56 48 
19 addClause 22 -29 -81 
20 addClause 22 17 31 
21 addClause -4 -44 -27 
22 addClause -58 54 3 
23 addClause 92 66 79 
24 addClause 83 -42 -76 
25 addClause 54 64 -36 
26 addClause 6 -29 51 
27 addClause -1 -60 -72 
28 addClause 87 -28 30 
29 addClause 29 -68 32 
30 addClause -74 55 87 
31 addClause 49 63 50 
32 addClause -63 58 8 
33 addClause -91 75 64 
34 addClause -5 85 -66 
35 addClause 82 48 1 
36 addClause 62 -61 72 
37 addClause -84 2 -61 
38 addClause 27 -6 67 
39 addClause -39 10 -44 
40 addClause 20 -9 -77 
41 addClause -1 27 11 
42 addClause 30 71 35 
43 addClause -63 -57 -14 
44 addClause -55 -86 -72 
45 addClause 77 90 86 
46 addClause -64 4 31 
47 addClause 34 -36 -12 
48 addClause 56 4 32 
49 addClause 46 73 -41 
50 addClause 68 5 -93 
51 addClause 12 59 84 
52 addClause -9 12 83 
53 addClause 37 90 82 
54 addClause 65 56 -40 
55 addClause 30 -59 1 
56 addClause 88 28 19 
57 addClause -5 19 -30 
58 addClause -55 -75 -68 
59 addClause -41 52 -89 
60 addClause 78 40 -11 
61 addClause 91 30 -73 
62 addClause 85 64 -5 
63 addClause 6 16 9 
64 addClause 4 74 -13 
65 addClause 53 41 60 
66 addClause -41 -79 57 
67 addClause 20 -1 24 
68 addClause -90 -2 -64 
69 addClause 50 -44 53 
70 addClause 1 9 -26 
71 addClause 36 -56 19 
72 addClause 39 7 -54 
73 addClause 59 38 86 
74 addClause 26 -76 -74 
75 addClause -33 -7 -11 
76 addClause -69 16 92 
77 addClause -3 38 -33 
78 addClause -66 81 -63 
79 addClause 61 -82 -32 
80 addClause -74 70 -27 
81 addClause -58 -12 86 
82 addClause -12 45 -38 
83 addClause 5 2 88 
84 addClause 54 -11 42 
85 addClause -57 54 75 
86 addClause 40 46 5 
87 addClause -46 68 58 
88 addClause -21 -77 -44 
89 addClause -87 -4 -23 
90 addClause -87 -83 -8 
91 addClause 87 91 72 
92 addClause 69 -20 68 
93 addClause -54 -34 -64 
94 addClause -41 -22 -24 
95 addClause -35 85 -39 
96 addClause -38 -20 77 
97 addClause 19 56 -93 
98 addClause 25 -55 -90 
99 addClause 72 83 -30 
100 addClause -15 59 78 
101 addClause -85 -63 50 
102 addClause -29 -87 -1 
103 addClause 19 42 3 
104 addClause -3 5 -25 
105 addClause -45 -5 23 
106 addClause 53 -57 47 
107 addClause -1 32 78 
108 addClause 9 -84 -17 
109 addClause -42 25 12 
110 addClause 89 -3 55 
111 addClause 64 -6 -15 
112 addClause 50 -37 -2 
113 addClause 91 3 -31 
114 addClause 5 -21 37 
115 addClause 50 62 -44 
116 addClause 12 21 93 
117 addClause -16 28 38 
118 addClause 38 60 -50 
119 addClause -34 -45 17 
120 addClause 4 -15 -21 
121 addClause -24 21 71 
122 addClause 25 71 -27 
123 addClause -41 84 54 
124 addClause 21 69 92 
125 addClause 32 11 -49 
126 addClause -23 -38 -16 
127 addClause -46 -58 -82 
128 addClause -28 90 77 
129 addClause -51 62 54 
130 addClause -70 19 36 
131 addClause -2 -26 -90 
132 addClause 80 51 45 
133 addClause -26 -1 45 
134 addClause -55 -88 91 
135 addClause -15 31 -57 
136 addClause 76 -11 42 
137 addClause -65 24 23 
138 addClause -61 -79 24 
139 addClause -77 -19 -69 
140 addClause -10 -87 35 
141 addClause 76 -83 51 
142 addClause 68 -42 80 
143 addClause 59 51 29 
144 addClause 25 11 -82 
145 addClause -8 56 -72 
146 addClause 4 -1 11 
147 addClause 7 74 -18 
148 addClause -28 -55 65 
149 addClause -87 -86 -47 
150 addClause 35 -45 54 
151 addClause -41 17 -62 
152 addClause -19 33 30 
153 addClause 65 -57 -79 
154 addClause -14 -63 81 
