1 init
2 Data Structure Factory : MixedDataStructureDanielWL
3 Learning Strategy : NoLearningButHeuristics
4 Order : NaturalStaticOrder
5 Restart Strategy : Glucose21Restarts
6 Learned Constraints Evaluation Type : LBD2
7 addClause 85 -100 2 
8 addClause 59 128 -4 
9 addClause 106 -74 144 
10 addClause -43 -15 -91 
11 addClause -100 -72 -81 
12 addClause -7 -52 -104 
13 addClause 43 -23 36 
14 addClause -54 -116 101 
15 addClause 54 -79 109 
16 addClause -104 -13 46 
17 addClause -93 -25 -18 
18 addClause 44 134 95 
19 addClause -100 -95 97 
20 addClause -13 115 -7 
21 addClause -1 86 13 
22 addClause 54 127 -125 
23 addClause 137 -128 82 
24 addClause 50 27 -38 
25 addClause -116 98 54 
26 addClause 51 -48 121 
27 addClause 86 87 52 
28 addClause 15 111 -79 
29 addClause 95 112 -90 
30 addClause 11 -68 12 
31 addClause -23 -28 133 
32 addClause -3 -38 -92 
33 addClause 83 -99 134 
34 addClause 103 81 105 
35 addClause 68 -13 65 
36 addClause -91 89 64 
37 addClause 126 141 -15 
38 addClause 100 89 -74 
39 addClause -88 50 -105 
40 addClause -34 -142 -10 
41 addClause 31 64 -113 
42 addClause 88 -44 -13 
43 addClause 133 9 -27 
44 addClause 52 146 27 
45 addClause -139 107 -35 
46 addClause -79 -148 14 
47 addClause 79 -72 36 
48 addClause -38 -91 -119 
49 addClause -3 124 133 
50 addClause -94 13 -35 
51 addClause -85 109 24 
52 addClause -108 71 49 
53 addClause -73 -67 -84 
54 addClause 92 -8 -33 
55 addClause 95 -118 59 
56 addClause -92 98 -145 
57 addClause -92 33 -140 
58 addClause -128 -39 53 
59 addClause 7 112 41 
60 addClause -57 54 86 
61 addClause -121 63 129 
62 addClause -36 -102 111 
63 addClause 47 -94 -5 
64 addClause 139 -42 113 
65 addClause -21 -109 -127 
66 addClause 68 30 -63 
67 addClause 135 -144 -145 
68 addClause 126 -148 140 
69 addClause -8 143 70 
70 addClause 123 15 44 
71 addClause 102 -42 136 
72 addClause 97 -71 -121 
73 addClause 83 14 50 
74 addClause -39 43 89 
75 addClause -26 -77 88 
76 addClause 91 -124 -37 
77 addClause -62 32 143 
78 addClause -1 42 40 
79 addClause 9 -114 -10 
80 addClause 66 126 -139 
81 addClause -127 33 113 
82 addClause -18 -11 -106 
83 addClause -145 -101 -18 
84 addClause -124 14 137 
85 addClause 84 131 74 
86 addClause -25 -92 -108 
87 addClause -92 -115 116 
88 addClause -20 39 -71 
89 addClause -119 4 -127 
90 addClause -68 31 -36 
91 addClause -102 -141 -100 
92 addClause -80 -116 146 
93 addClause 81 42 -82 
94 addClause -92 38 87 
95 addClause 63 -115 57 
96 addClause -50 -124 120 
97 addClause -61 19 6 
98 addClause -68 -1 -22 
99 addClause -45 -31 -24 
100 addClause 118 -145 -119 
101 addClause 61 -47 86 
102 addClause -15 -132 -146 
103 addClause -127 -98 24 
104 addClause -22 -117 45 
105 addClause -126 47 91 
106 addClause 86 -131 -136 
107 addClause 147 17 57 
108 addClause 124 -130 96 
109 addClause -44 54 28 
110 addClause -38 57 39 
111 addClause 24 111 -85 
112 addClause -144 58 140 
113 addClause -74 -90 22 
114 addClause 119 25 42 
115 addClause -78 32 47 
116 addClause -116 -26 -80 
117 addClause -4 -13 147 
118 addClause -143 -115 60 
119 addClause -3 -118 40 
120 addClause -99 -147 141 
121 addClause 19 -115 103 
122 addClause 30 -8 90 
123 addClause -69 -62 102 
124 addClause 110 79 -134 
125 addClause -77 -50 -103 
126 addClause -134 93 16 
127 addClause 89 19 -40 
128 addClause -127 -35 -103 
129 addClause 137 105 -89 
130 addClause 137 97 44 
131 addClause -71 -125 -98 
132 addClause -115 121 -128 
133 addClause -52 16 143 
134 addClause -71 -72 -92 
135 addClause 35 -29 -36 
