1 init
2 Data Structure Factory : MixedDataStructureDanielWLConciseBinary
3 Learning Strategy : NoLearningNoHeuristics
4 Order : PureOrder/period=13
5 Phase Selection Strategy : PhaseInLastLearnedClauseSelectionStrategy
6 Restart Strategy : EMARestarts
7 Simplification Type : simpleSimplification
8 Search Params : varDecay=0.9340465697234978/claDecay=0.9531364754821896/conflictBoundIncFactor=1.1043298714849568/initConflictBound=625
9 Learned Constraints Evaluation Type : ACTIVITY
10 Random Walk : 0.7979180374277429
11 DBS simplification
12 addClause -57 -80 69 
13 addClause -1 -96 74 
14 addClause -78 93 80 
15 addClause -26 -19 -69 
16 addClause 34 50 -41 
17 addClause -57 29 1 
18 addClause -54 61 48 
19 addClause 42 53 79 
20 addClause -43 -88 -39 
21 addClause 42 -18 72 
22 addClause 10 -66 62 
23 addClause 20 -26 -23 
24 addClause -26 -15 19 
25 addClause -17 12 77 
26 addClause 87 -10 82 
27 addClause -90 -86 79 
28 addClause -68 25 92 
29 addClause -4 1 -66 
30 addClause -34 82 -40 
31 addClause -65 -61 57 
32 addClause 68 -45 53 
33 addClause 28 -95 -43 
34 addClause -72 -93 7 
35 addClause -18 -80 -94 
36 addClause 47 41 -34 
37 addClause -75 60 46 
38 addClause 11 -32 -66 
39 addClause -40 -66 59 
40 addClause 80 4 44 
41 addClause -41 56 -23 
42 addClause 81 75 -63 
43 addClause -41 32 62 
44 addClause -92 26 -11 
45 addClause 68 25 -73 
46 addClause -1 -27 63 
47 addClause 83 12 78 
48 addClause 66 -70 -67 
49 addClause 45 39 -19 
50 addClause 35 -93 68 
51 addClause -7 -53 -79 
52 addClause 40 20 -34 
53 addClause -3 -95 73 
54 addClause 44 41 61 
55 addClause 9 -48 -97 
56 addClause 70 -88 3 
57 addClause -18 49 -65 
58 addClause 48 82 -15 
59 addClause 16 14 -27 
60 addClause 93 -27 13 
61 addClause 92 78 -10 
62 addClause -12 -84 78 
63 addClause 68 47 -46 
64 addClause 87 37 -55 
65 addClause -3 78 -18 
66 addClause 43 18 27 
67 addClause -34 -35 49 
68 addClause -46 75 27 
69 addClause 90 -69 -21 
70 addClause 38 -66 10 
71 addClause 47 -57 -34 
72 addClause 71 41 33 
73 addClause 38 71 -70 
74 addClause -52 -33 91 
75 addClause 24 -31 43 
76 addClause 96 -56 -94 
77 addClause -92 -20 -17 
78 addClause -64 3 17 
79 addClause -94 27 89 
80 addClause 74 -73 80 
81 addClause 72 -6 -95 
