1 init
2 using solver MinOneSolver
3 DBS simplification allowed
4 addClause 15 108 -42 
5 addClause -1 -145 -45 
6 addClause 52 39 -32 
7 addClause 24 86 -33 
8 addClause 87 -47 -46 
9 addClause 14 -139 146 
10 addClause 11 -39 -125 
11 addClause -1 -75 68 
12 addClause 14 -148 -110 
13 addClause -93 62 2 
14 addClause -89 -101 -39 
15 addClause 20 95 56 
16 addClause -54 -15 -150 
17 addClause -15 96 -94 
18 addClause -75 -101 57 
19 addClause -96 78 -108 
20 addClause -16 114 -85 
21 addClause 49 120 92 
22 addClause 51 71 -8 
23 addClause -24 -8 -104 
24 addClause -25 152 -13 
25 addClause 82 64 79 
26 addClause -21 -144 139 
27 addClause -140 -14 127 
28 addClause 114 41 -4 
29 addClause 34 80 39 
30 addClause 145 53 112 
31 addClause -57 77 85 
32 addClause 105 -135 154 
33 addClause -132 -53 52 
34 addClause -89 140 141 
35 addClause 142 -96 -16 
36 addClause 43 -125 76 
37 addClause -104 -114 25 
38 addClause -120 -123 37 
39 addClause -18 132 -149 
40 addClause -127 48 -60 
41 addClause 46 -88 137 
42 addClause 82 -20 -39 
43 addClause -104 70 -68 
44 addClause 10 153 -40 
45 addClause 35 -111 19 
46 addClause -89 -58 -77 
47 addClause -20 18 -102 
48 addClause -127 133 39 
49 addClause 70 -125 -140 
50 addClause 75 -114 -62 
51 addClause -50 117 109 
52 addClause 76 125 25 
53 addClause 3 -94 62 
54 addClause -38 -130 -146 
55 addClause -102 -29 -34 
56 addClause -99 55 121 
57 addClause -35 -20 -152 
58 addClause -119 81 54 
59 addClause 87 -128 -106 
60 addClause 145 -122 93 
61 addClause -38 79 83 
62 addClause -144 101 -145 
63 addClause 39 116 28 
64 addClause 55 -7 145 
65 addClause -107 -73 17 
66 addClause 152 44 -34 
67 addClause 79 -12 10 
68 addClause 51 132 -80 
69 addClause -71 -134 91 
70 addClause 122 153 -120 
71 addClause -52 115 140 
72 addClause 53 140 -153 
73 addClause -104 -83 -37 
74 addClause -40 110 5 
75 addClause -108 -94 -135 
76 addClause -104 95 127 
77 addClause 126 -25 -153 
78 addClause 105 53 -130 
79 addClause -100 -55 -154 
80 addClause 93 -94 -70 
81 addClause 148 -92 130 
82 addClause -132 -100 73 
83 addClause 141 91 -141 
84 addClause -139 51 4 
85 addClause 52 -25 124 
86 addClause 31 -39 132 
87 addClause 14 148 -155 
88 addClause -59 151 88 
89 addClause 77 -126 -5 
90 addClause 111 -82 -4 
91 addClause -32 100 -99 
92 addClause -83 74 -29 
93 addClause 15 -59 83 
94 addClause 44 -53 -101 
95 addClause 87 -65 153 
96 addClause 115 64 97 
97 addClause 147 132 50 
98 addClause 79 19 121 
99 addClause 82 -19 -71 
100 addClause -95 -118 135 
101 addClause -58 -38 -112 
102 addClause -73 -130 -61 
103 addClause -128 -79 57 
104 addClause -10 -124 -54 
105 addClause 120 49 39 
106 addClause 124 132 7 
107 addClause -151 90 143 
108 addClause -15 77 -141 
109 addClause -96 115 -143 
110 addClause -128 -99 -151 
111 addClause 53 78 -106 
112 addClause 71 -12 103 
113 addClause 114 117 -122 
114 addClause 108 151 -5 
115 addClause 3 126 -66 
116 addClause 65 -101 -103 
117 addClause -127 129 -136 
118 addClause -148 89 8 
119 addClause 5 -77 41 
120 addClause -98 -20 -16 
121 addClause 110 -77 -29 
122 addClause 83 -55 87 
123 addClause 45 46 124 
124 addClause 67 68 -15 
125 addClause 129 -96 -30 
126 addClause -123 -64 136 
127 addClause -10 117 -80 
128 addClause 106 -146 53 
129 addClause 93 33 1 
130 addClause 139 27 -5 
131 addClause -121 111 -64 
132 addClause -23 -147 73 
133 addClause -38 11 24 
134 addClause 75 6 141 
135 addClause -138 59 -21 
136 addClause -64 -90 81 
137 addClause -152 5 -46 
138 addClause -105 103 8 
139 addClause -144 76 107 
140 addClause -58 -100 9 
141 addClause -32 -74 97 
142 addClause 74 153 69 
143 addClause 9 41 61 
144 addClause 39 104 -112 
145 addClause -140 132 88 
146 addClause -65 -23 -18 
147 addClause -93 -55 -124 
148 addClause -86 -46 -132 
149 addClause -13 -117 147 
150 addClause 35 -86 -30 
151 addClause -26 -148 59 
152 addClause -120 153 24 
153 addClause -152 -20 -44 
154 addClause -41 137 -121 
155 addClause -17 44 -105 
156 addClause -24 138 54 
157 addClause 128 36 -12 
158 addClause 89 -121 -77 
159 addClause -12 99 -93 
160 addClause -58 24 -70 
161 addClause 2 133 -79 
162 addClause -84 60 -74 
163 addClause 94 -152 -39 
164 addClause 12 -94 106 
165 addClause 146 65 139 
166 addClause 36 37 121 
167 addClause 122 -28 -11 
168 addClause -127 -102 50 
169 addClause 20 -144 -147 
170 addClause -60 -56 -140 
171 addClause -115 43 91 
172 addClause 54 -143 -36 
173 addClause 43 30 -52 
174 addClause 147 -99 -73 
175 addClause 51 -37 -12 
176 addClause 127 -59 -23 
177 addClause -46 -146 9 
178 addClause 150 79 -122 
179 addClause 32 38 153 
180 addClause -73 -31 104 
181 addClause -152 -118 99 
182 addClause -106 77 79 
183 addClause -101 93 46 
184 addClause -99 64 -31 
185 addClause 10 -118 -70 
186 addClause -125 57 -21 
187 addClause -94 -28 77 
188 addClause -45 31 -24 
189 addClause -119 -61 41 
190 addClause 148 -20 10 
191 addClause -54 -74 63 
192 addClause -145 66 -144 
193 addClause -81 -106 65 
194 addClause 23 -85 -72 
195 addClause -64 15 132 
196 addClause 89 121 -134 
197 addClause -11 -61 -139 
198 addClause -155 3 76 
199 addClause -93 -144 -5 
200 addClause 55 -120 -89 
201 addClause -4 78 -102 
202 addClause -11 -147 -1 
203 addClause -29 -93 118 
204 addClause 84 14 61 
205 addClause 110 90 3 
206 addClause -123 36 -122 
207 addClause -91 -89 -64 
208 addClause 153 73 77 
209 addClause 40 148 -141 
210 addClause -88 136 125 
211 addClause -134 -49 -38 
212 addClause 90 -89 -36 
213 addClause 89 -142 -77 
214 addClause 62 -103 -18 
215 addClause 48 59 -37 
216 addClause 13 -119 89 
217 addClause 40 -38 -36 
218 addClause 85 23 -100 
219 addClause -69 101 -44 
220 addClause -110 -42 90 
221 addClause -129 -48 88 
222 addClause 10 67 124 
223 addClause -36 -145 -16 
224 addClause -26 62 -59 
225 addClause -82 27 -14 
226 addClause -150 -65 -71 
227 addClause 19 -1 -18 
228 addClause 141 41 -32 
229 addClause -154 -88 146 
230 addClause 135 80 -107 
231 addClause 88 -16 -57 
232 addClause -15 -58 -126 
233 addClause -16 -134 130 
234 addClause -20 -8 32 
235 addClause 24 90 140 
236 addClause 17 153 40 
237 addClause 98 -84 12 
238 addClause 3 48 -55 
239 addClause -55 146 101 
240 addClause 38 -56 19 
241 addClause 101 147 -146 
242 addClause 123 40 130 
243 addClause 4 -148 38 
244 addClause 92 15 -45 
245 addClause -119 60 36 
246 addClause 84 -153 -21 
247 addClause -49 37 130 
248 addClause 139 7 13 
249 addClause -134 69 54 
250 addClause 78 -2 124 
251 addClause 83 -15 1 
252 addClause -41 107 -93 
253 addClause 83 81 -107 
254 addClause -11 -79 107 
255 addClause 2 66 -11 
256 addClause 57 46 -150 
257 addClause -74 -40 -136 
258 addClause -95 -81 86 
259 addClause 141 -10 145 
260 addClause 47 100 147 
261 addClause -53 -134 112 
262 addClause 145 142 -17 
263 addClause -61 -17 111 
264 addClause 31 99 -2 
265 addClause -97 -74 -153 
266 addClause 47 -127 34 
267 addClause 120 75 61 
268 addClause 103 -107 136 
269 addClause 93 10 86 
270 addClause 63 -27 -47 
271 addClause 116 8 -81 
272 addClause -140 -1 19 
273 addClause -49 -154 41 
274 addClause 57 -2 -104 
275 addClause -135 -1 100 
276 addClause -142 -123 -99 
277 addClause 93 26 -74 
278 addClause -73 -119 76 
279 addClause 30 9 -141 
280 addClause 84 -35 44 
281 addClause -90 121 109 
282 addClause 35 -69 -21 
283 addClause 151 18 123 
284 addClause -140 -124 -8 
285 addClause 99 40 23 
286 addClause 73 49 -97 
287 addClause 131 -29 148 
288 addClause 98 -45 -112 
289 addClause -103 79 21 
290 addClause 149 19 62 
291 addClause 78 149 12 
292 addClause -48 18 72 
293 addClause 103 -62 61 
294 addClause 126 -146 -131 
295 addClause 135 140 -59 
296 addClause -89 -141 -135 
297 addClause -68 -110 45 
298 addClause -98 -136 -142 
299 addClause 90 102 -51 
300 addClause -23 -97 -128 
301 addClause 7 43 57 
302 addClause -90 -50 12 
303 addClause 110 43 -34 
304 addClause 21 -9 -39 
305 addClause 95 -89 -55 
306 addClause 73 -48 140 
307 addClause -149 55 22 
308 addClause -9 12 -81 
309 addClause -60 -148 -39 
310 addClause 116 -106 -78 
311 addClause 133 -147 -123 
312 addClause 44 132 -125 
313 addClause -98 74 98 
314 solve
315 addClause 165 -37 -15 
316 addClause -212 211 -170 
317 addClause 161 157 -29 
318 addClause -160 -106 248 
319 addClause 15 -140 198 
320 addClause -37 95 92 
321 addClause 158 -169 -178 
322 addClause 246 111 158 
323 addClause -54 -145 -193 
324 addClause 4 -242 -179 
325 addClause -255 252 -83 
326 addClause 213 -144 -210 
327 addClause 237 46 -87 
328 addClause 89 100 258 
329 addClause -168 -162 -148 
330 addClause -95 -97 122 
331 addClause 60 79 -114 
332 addClause -175 -133 247 
333 addClause 107 -175 119 
334 addClause 200 -162 53 
335 addClause -256 -146 -176 
336 addClause -131 -201 117 
337 addClause 228 -245 -175 
338 addClause -23 258 169 
339 addClause -140 -18 75 
340 addClause 257 -195 246 
341 addClause -25 178 25 
342 addClause 151 -114 -8 
343 addClause -76 250 -248 
344 addClause -189 219 157 
345 addClause 192 182 19 
346 addClause 107 -230 128 
347 addClause 145 -42 -45 
348 addClause -129 148 -3 
349 addClause -153 -181 -208 
350 addClause -13 -131 -242 
351 addClause -23 248 23 
352 addClause 203 260 -54 
353 addClause 212 -83 -59 
354 addClause -103 -1 123 
355 addClause -218 -229 10 
356 addClause -189 -105 247 
357 addClause 153 -132 -102 
358 addClause -141 126 -255 
359 addClause 253 -89 214 
360 addClause 192 -147 123 
361 addClause -235 -55 226 
362 addClause -119 -211 228 
363 addClause -72 160 148 
364 addClause -27 78 93 
365 addClause -104 233 -169 
366 addClause -93 -19 3 
367 addClause -232 122 188 
368 addClause -165 -36 158 
369 addClause -248 -137 -124 
370 addClause 165 75 -61 
371 addClause -233 163 133 
372 addClause -179 -233 58 
373 addClause 26 -197 -6 
374 addClause 99 221 146 
375 addClause -228 39 -12 
376 addClause 188 237 -137 
377 addClause -201 3 143 
378 addClause -137 -31 217 
379 addClause 92 165 8 
380 addClause 93 175 32 
381 addClause 236 149 81 
382 addClause 180 50 143 
383 addClause 47 73 108 
384 addClause 259 174 -110 
385 addClause -103 202 -18 
386 addClause 95 -170 207 
387 addClause -172 176 60 
388 addClause 233 -128 116 
389 addClause 86 157 90 
390 addClause -191 101 103 
391 addClause -6 -26 45 
392 addClause -223 -255 84 
393 addClause -73 191 -237 
394 addClause 192 62 116 
395 addClause 120 174 -54 
396 addClause -233 250 -147 
397 addClause 120 61 -126 
398 addClause 129 -59 247 
399 addClause 85 -203 112 
400 addClause -165 13 50 
401 addClause 18 240 -128 
402 addClause -159 238 -253 
403 addClause 106 -80 23 
404 addClause -7 251 -233 
405 addClause -149 156 -162 
406 addClause -260 -151 -161 
407 addClause -124 -101 -176 
408 addClause -201 -148 260 
409 addClause -131 217 -233 
410 addClause 169 -19 170 
411 addClause 70 234 -244 
412 addClause -234 -256 9 
413 addClause -109 88 125 
414 addClause 213 150 -77 
415 addClause -196 -173 258 
416 addClause 2 -236 -131 
417 addClause -145 239 -143 
418 addClause -6 -178 217 
419 addClause -40 255 -3 
420 addClause 159 -210 -4 
421 addClause -76 49 103 
422 addClause 213 134 96 
423 addClause 60 -148 121 
424 addClause -254 46 -196 
425 addClause 91 192 -4 
426 addClause -26 -22 -233 
427 addClause 237 -151 160 
428 addClause -146 228 215 
429 addClause 92 -148 -117 
430 addClause 152 -29 -151 
431 addClause -255 -59 242 
432 addClause 168 41 126 
433 addClause -97 -123 229 
434 addClause -31 139 187 
435 addClause -10 -17 22 
436 addClause 50 33 35 
437 addClause 54 -30 85 
438 addClause -102 72 -69 
