1 init
2 using solver MiniLearningHeapEZSimpNoRestarts
3 Random Walk : 0.45126692470564955
4 DBS simplification
5 addClause 152 1 -117 
6 addClause -66 172 44 
7 addClause 14 144 133 
8 addClause -47 -171 -115 
9 addClause -106 65 -19 
10 addClause -44 87 45 
11 addClause -120 109 -63 
12 addClause 47 65 -122 
13 addClause 174 -24 100 
14 addClause -91 -115 -95 
15 addClause -84 57 -62 
16 addClause 24 -120 172 
17 addClause -46 -23 154 
18 addClause -175 -177 51 
19 addClause -131 -49 -158 
20 addClause -58 58 -169 
21 addClause -99 -71 82 
22 addClause -5 -165 181 
23 addClause 161 -164 -105 
24 addClause -148 138 47 
25 addClause -161 76 78 
26 addClause 117 -150 71 
27 addClause -156 -170 -161 
28 addClause 63 137 -138 
29 addClause -164 -99 9 
30 addClause 110 -81 107 
31 addClause -1 48 -162 
32 addClause -151 -154 -182 
33 addClause -53 -59 140 
34 addClause -27 -15 -94 
35 addClause -37 -39 110 
36 addClause 46 -163 78 
37 addClause 19 183 -135 
38 addClause -174 156 62 
39 addClause 1 -133 70 
40 addClause -155 -5 -176 
41 addClause 77 -35 -177 
42 addClause 26 -52 30 
43 addClause -92 -167 -146 
44 addClause -77 131 76 
45 addClause -70 -97 -152 
46 addClause -32 131 -1 
47 addClause 1 132 119 
48 addClause 159 85 137 
49 addClause 95 -57 -132 
50 addClause 150 -71 -104 
51 addClause 106 87 49 
52 addClause 49 176 18 
53 addClause -6 -180 -106 
54 addClause -57 158 18 
55 addClause 44 180 -21 
56 addClause 40 161 -117 
57 addClause 100 85 63 
58 addClause 157 15 130 
59 addClause 3 103 -117 
60 addClause 173 -21 -35 
61 addClause 53 -184 168 
62 addClause -111 -100 -172 
63 addClause 37 -68 -31 
64 addClause -160 131 126 
65 addClause -130 79 51 
66 addClause -20 -109 -119 
67 addClause -7 -72 128 
68 addClause 155 177 182 
69 addClause -148 58 -59 
70 addClause -64 -46 155 
71 addClause -82 -139 50 
72 addClause -147 169 -98 
73 addClause 136 115 23 
74 addClause -153 166 1 
75 addClause -5 -78 105 
76 addClause -167 58 -182 
77 addClause -170 145 -90 
78 addClause 170 -182 183 
79 addClause 176 -153 145 
80 addClause 123 -129 -157 
81 addClause -19 -134 176 
82 addClause -18 -97 147 
83 addClause -105 -128 152 
84 addClause -88 -51 -78 
85 addClause -97 147 162 
86 addClause -135 136 -102 
87 addClause 178 132 -47 
88 addClause 123 -68 45 
89 addClause -74 61 -6 
90 addClause 48 86 63 
91 addClause -133 87 107 
92 addClause 148 81 -49 
93 addClause 77 -129 49 
94 addClause 67 -59 40 
95 addClause 1 113 -63 
96 addClause 94 165 -178 
97 addClause 115 160 -135 
98 addClause 93 -138 175 
99 addClause 3 -43 -134 
100 addClause -130 -73 182 
101 addClause -135 182 -124 
102 addClause -32 1 96 
103 addClause -110 115 -38 
104 addClause 43 -27 53 
105 addClause 123 -49 -118 
106 addClause 117 27 72 
107 addClause 66 -92 127 
108 addClause 87 78 -162 
109 addClause 119 -28 50 
110 addClause 62 -59 49 
111 addClause 16 177 -184 
112 addClause -180 -49 178 
113 addClause 26 179 178 
114 addClause 126 -66 -36 
115 addClause -1 92 -146 
116 addClause -98 -125 167 
117 addClause -44 -120 -78 
118 addClause 158 -160 -182 
119 addClause 50 175 101 
120 addClause -68 -89 148 
121 addClause 113 -132 -63 
122 addClause -12 50 124 
123 addClause 43 -111 -100 
124 addClause 99 -158 3 
125 addClause 38 16 14 
126 addClause -52 -68 -76 
127 addClause -159 65 -81 
128 addClause 105 180 2 
129 addClause 39 -107 -9 
130 addClause -11 -161 -13 
131 addClause 23 27 113 
132 addClause -103 -138 -30 
133 addClause 9 168 160 
134 addClause 136 36 -184 
135 addClause 142 -47 3 
136 addClause 102 -78 93 
137 addClause 115 136 -58 
138 addClause -38 179 61 
139 addClause 47 -97 113 
140 addClause -155 35 4 
141 addClause -134 57 -91 
142 addClause 41 -2 173 
143 addClause -155 181 -173 
144 addClause -139 142 -150 
145 addClause 51 66 86 
146 addClause -4 -43 -32 
147 addClause 72 166 -178 
148 addClause 19 -14 -21 
149 addClause -178 174 -31 
150 addClause 8 -114 174 
151 addClause 175 180 172 
152 addClause 150 -171 -58 
153 addClause 42 -65 -172 
154 addClause 110 155 -169 
155 addClause -21 -112 -128 
156 addClause 44 -126 156 
157 addClause 93 73 -177 
158 addClause 51 47 8 
159 addClause 62 180 -45 
160 addClause 179 -37 -120 
161 addClause 180 138 -129 
162 addClause -112 -113 -124 
163 addClause -102 85 166 
164 addClause 88 -135 12 
165 addClause -58 21 86 
166 addClause 152 -6 3 
167 addClause -100 94 -95 
168 addClause -169 18 132 
169 addClause 162 85 -81 
170 addClause -158 79 132 
171 addClause 99 173 -52 
172 addClause -184 -25 -61 
173 addClause -45 -139 -3 
174 addClause 170 -137 -1 
175 addClause 156 56 -24 
176 addClause -137 153 -131 
