1 init
2 using solver PHASE
3 addClause -5 26 -1 
4 addClause -5 8 28 
5 addClause -47 56 41 
6 addClause -39 -26 -17 
7 addClause 9 56 14 
8 addClause 30 61 -4 
9 addClause 46 38 -16 
10 addClause -1 27 49 
11 addClause 48 -7 -26 
12 addClause 43 8 -23 
13 addClause -21 16 27 
14 addClause -40 20 11 
15 addClause 13 50 -58 
16 addClause -59 -10 55 
17 addClause -60 -34 -13 
18 addClause -5 21 -14 
19 addClause -27 -26 -18 
20 addClause -15 11 -49 
21 addClause 47 -50 13 
22 addClause 41 52 43 
23 addClause -38 55 -35 
24 addClause 46 -53 24 
25 addClause 41 19 -14 
26 addClause 49 -27 -44 
27 addClause -9 38 -40 
28 addClause 50 26 -7 
29 addClause 41 2 49 
30 addClause 18 25 6 
31 addClause -8 -60 -9 
32 addClause 33 34 -24 
33 addClause -20 29 12 
34 addClause -3 -14 -49 
35 addClause -28 -48 -60 
36 addClause -7 47 30 
37 addClause -7 -53 -48 
38 addClause -24 15 -50 
39 addClause -35 -49 25 
40 addClause -61 -36 60 
41 addClause -24 -40 -38 
42 addClause 22 -55 32 
43 addClause -59 58 62 
44 addClause 49 -25 -39 
45 addClause -23 -2 7 
46 addClause 5 26 -50 
47 addClause 55 -33 -9 
48 addClause 13 -9 56 
49 addClause -16 -25 -18 
50 addClause -37 -59 -44 
51 addClause -50 -57 -39 
52 addClause -26 -63 18 
53 addClause 14 49 50 
54 addClause 29 -3 -24 
55 addClause 20 -8 -52 
56 addClause -27 20 6 
57 addClause 14 29 5 
58 addClause 18 33 62 
59 addClause 59 -45 39 
60 addClause 22 -38 -50 
61 addClause 17 -51 -54 
62 addClause 13 58 25 
63 addClause -29 27 5 
64 addClause -3 -59 16 
65 addClause 41 -10 -16 
66 addClause -11 -6 -20 
67 addClause 56 -20 -10 
68 addClause -40 -33 56 
69 addClause -25 50 -56 
70 addClause -17 -47 -60 
71 addClause -25 -11 -2 
72 addClause 37 -25 -58 
73 addClause 17 -25 37 
74 addClause 57 15 -62 
75 addClause 9 49 10 
76 addClause 13 35 31 
77 addClause -5 -8 -11 
78 addClause 4 25 -7 
79 addClause 41 1 14 
80 addClause -25 -36 -33 
81 addClause 39 44 -12 
82 addClause 42 -1 19 
83 addClause 51 -47 -22 
84 addClause 39 45 -25 
85 addClause 23 49 -2 
86 addClause 24 2 -54 
87 addClause 24 -35 -24 
88 addClause -60 57 24 
89 addClause -18 -58 10 
90 addClause 37 42 58 
91 addClause -44 -40 -6 
92 addClause -40 38 13 
93 addClause 32 10 -35 
94 addClause -56 52 -29 
95 addClause -18 -22 -51 
96 addClause 33 -38 59 
97 addClause -59 7 -4 
98 addClause -2 42 17 
99 addClause 19 -52 -5 
100 addClause -11 52 9 
101 addClause -60 -5 -56 
102 addClause 31 -5 14 
103 addClause 42 -11 19 
104 addClause 50 7 2 
105 addClause 13 -36 24 
106 addClause -45 -38 -2 
107 addClause -52 51 -59 
108 addClause -41 5 1 
109 addClause 28 17 26 
110 addClause -55 21 31 
111 addClause -63 59 -1 
112 addClause -5 57 53 
113 addClause -32 -20 -7 
114 addClause -4 32 -33 
115 addClause -36 42 -53 
116 addClause -30 32 -17 
117 addClause 18 -17 39 
118 addClause -41 -32 -46 
119 addClause 47 -39 59 
120 addClause 5 -40 44 
121 addClause 9 31 -44 
122 addClause -45 52 -35 
123 addClause -1 -55 -16 
124 addClause 58 29 32 
125 addClause 56 -63 22 
126 addClause 23 -59 -21 
127 addClause -29 -42 56 
128 addClause -25 17 34 
129 addClause 33 24 9 
130 addClause 10 13 -21 
131 addClause 59 -15 -21 
132 addClause 59 -9 34 
133 addClause -5 22 40 
134 addClause 59 -61 22 
135 addClause 20 12 57 
136 addClause -25 -8 -6 
137 addClause 35 -16 31 
138 addClause -7 -49 62 
139 addClause 15 -17 38 
140 addClause -26 -49 14 
141 addClause -41 55 -23 
142 addClause -47 -24 -48 
143 addClause -27 -48 38 
144 addClause 51 -29 58 
145 addClause -22 12 54 
146 addClause -28 -53 55 
147 addClause 1 -17 -8 
148 addClause -27 22 -16 
149 addClause 27 -50 -53 
150 addClause 10 -52 -26 
151 addClause -34 38 6 
152 addClause 40 -29 -22 
153 addClause -57 -9 -29 
154 addClause -7 -6 -44 
155 addClause -35 -53 36 
156 addClause 49 22 -42 
157 addClause -40 3 -2 
158 addClause -9 -27 -8 
159 addClause 29 16 19 
160 assuming -6 -52 -57 -52 51 44 
161 addClause -125 211 171 
162 addClause -10 53 121 
163 addClause 31 90 139 
164 addClause 143 -28 -163 
165 addClause -94 -145 11 
166 addClause -152 73 106 
167 addClause -64 69 -4 
168 addClause 32 -200 -210 
169 addClause -95 -207 -41 
170 addClause 164 -130 189 
171 addClause -196 -212 -91 
172 addClause -57 169 -60 
173 addClause -162 -151 -30 
174 addClause 51 -113 -47 
175 addClause 209 -66 -22 
176 addClause -71 -92 118 
177 addClause 51 69 100 
178 addClause 111 45 133 
179 addClause -126 188 128 
180 addClause 169 -96 -74 
181 addClause -8 -140 74 
182 addClause -212 205 -70 
183 addClause 159 51 -181 
184 addClause 147 -96 -82 
185 addClause 206 -191 3 
186 addClause -198 -85 94 
187 addClause -140 -80 173 
188 addClause -1 -71 110 
189 addClause 187 -75 1 
190 addClause -33 163 -158 
191 addClause -216 -203 21 
192 addClause 152 121 -55 
193 addClause 190 205 -127 
194 addClause -70 128 -5 
195 addClause -20 -175 170 
196 addClause 132 -194 -123 
197 addClause -39 -78 -64 
198 addClause -118 203 -164 
199 addClause -92 -11 187 
200 addClause -171 135 106 
201 addClause -114 -177 51 
202 addClause -186 -23 -147 
203 addClause 46 57 93 
204 addClause 6 194 -213 
205 addClause -80 4 -102 
206 addClause 79 -87 -180 
207 addClause -139 52 184 
208 addClause 57 -6 8 
209 addClause -64 -207 -7 
210 addClause -8 113 -55 
211 addClause 74 163 134 
212 addClause -76 4 61 
213 addClause -104 -89 155 
214 addClause -18 205 120 
215 addClause 103 186 -15 
216 addClause -60 30 60 
217 addClause -65 95 157 
218 addClause -5 204 -10 
219 addClause 184 191 -208 
220 addClause 113 -101 -148 
221 addClause -47 -187 -132 
222 addClause 45 46 -170 
223 addClause 208 -196 54 
224 addClause 41 182 94 
225 addClause -205 -169 196 
226 addClause 140 134 141 
227 addClause 92 -149 15 
228 addClause 192 186 157 
229 addClause -136 -1 141 
230 addClause -191 -144 -159 
231 addClause 143 53 -49 
232 addClause 157 35 -52 
233 addClause -37 72 122 
234 addClause -198 166 -120 
235 addClause 50 91 193 
236 addClause -201 -132 52 
237 addClause -94 -172 -8 
238 addClause 178 205 -28 
239 addClause -161 -65 98 
240 addClause 6 -3 131 
241 addClause -93 19 185 
242 addClause -58 -97 -204 
243 addClause 178 67 128 
244 addClause -210 88 -87 
245 addClause 206 -120 -173 
246 addClause -21 -210 157 
247 addClause -172 -41 -182 
248 addClause -3 87 52 
249 addClause 14 -82 -127 
250 addClause 84 -132 32 
251 addClause 60 137 -83 
252 addClause -179 -68 -172 
253 addClause 117 -81 77 
254 addClause 152 129 204 
255 addClause 91 -67 -48 
256 addClause -99 -50 97 
257 addClause 91 -20 16 
258 addClause -55 211 -5 
259 addClause 44 -43 69 
260 addClause -46 -124 -15 
261 addClause -100 96 -177 
262 addClause 39 131 51 
263 addClause 77 -142 -107 
264 addClause -110 73 190 
265 addClause -45 39 -22 
266 addClause -5 -191 -22 
267 addClause -187 -127 -146 
268 addClause -151 147 -147 
