1 init
2 Data Structure Factory : MixedDataStructureDanielWL
3 Learning Strategy : NoLearningButHeuristics
4 Order : VarOrderHeap/varDecay=0.9550375818786437
5 Phase Selection Strategy : PositiveLiteralSelectionStrategy
6 Restart Strategy : MiniSATRestarts
7 Simplification Type : expensiveSimplification
8 Search Params : varDecay=0.9970895069796483/claDecay=0.9900188654895505/conflictBoundIncFactor=0.8137064564639789/initConflictBound=106
9 Learned Constraints Evaluation Type : ACTIVITY
10 Random Walk : 0.60021518404928
11 DBS simplification
12 addClause 123 85 110 
13 addClause 37 118 51 
14 addClause 55 -87 -60 
15 addClause -40 -98 -31 
16 addClause -94 -117 -5 
17 addClause -2 28 101 
18 addClause -47 -20 81 
19 addClause -91 23 12 
20 addClause 106 109 -5 
21 addClause 82 -121 98 
22 addClause 108 13 -26 
23 addClause -63 -12 -123 
24 addClause 79 -52 -7 
25 addClause -63 71 -81 
26 addClause 65 36 -73 
27 addClause -110 -111 -63 
28 addClause -98 -61 -80 
29 addClause 97 14 22 
30 addClause 99 -36 -62 
31 addClause -86 51 -95 
32 addClause -42 -67 51 
33 addClause 81 70 68 
34 addClause -4 -93 57 
35 addClause -61 -47 39 
36 addClause -48 88 -73 
37 addClause 74 71 -112 
38 addClause 21 60 -68 
39 addClause -66 -74 79 
40 addClause 63 72 -41 
41 addClause 49 -21 101 
42 addClause 48 67 90 
43 addClause -40 73 -72 
44 addClause -101 35 -67 
45 addClause -52 -101 -80 
46 addClause -62 -68 23 
47 addClause 100 122 113 
48 addClause 116 108 14 
49 addClause 64 57 -67 
50 addClause 3 -18 61 
51 addClause -36 -41 110 
52 addClause -78 -25 44 
53 addClause -46 7 35 
54 addClause -14 116 -18 
55 addClause -47 -123 1 
56 addClause 55 32 105 
57 addClause -70 -46 -117 
58 addClause -37 11 2 
59 addClause 28 -108 -24 
60 addClause 112 -50 86 
61 addClause -76 45 46 
62 addClause 58 48 -105 
63 addClause -75 -102 103 
64 addClause 42 -64 -8 
65 addClause -62 90 25 
66 addClause 76 -84 88 
67 addClause -32 -13 -96 
68 addClause -73 102 120 
69 addClause -111 66 67 
70 addClause 22 -48 -87 
71 addClause 101 2 -1 
72 addClause -118 -24 -62 
73 addClause -71 -5 44 
74 addClause -16 -65 -93 
75 addClause 110 -70 -54 
76 addClause 18 -102 -58 
77 addClause 80 -82 -6 
78 addClause 39 84 -54 
79 addClause -107 -75 114 
80 addClause 102 9 -105 
81 addClause -55 47 116 
82 addClause 119 -95 118 
83 addClause 11 53 -95 
84 addClause 105 -10 106 
85 addClause -88 -121 100 
86 addClause 75 -2 46 
87 addClause -54 -82 99 
88 addClause -28 87 9 
89 addClause 82 -13 26 
90 addClause 26 -32 -23 
91 addClause 74 -8 24 
92 addClause 22 50 -62 
93 addClause -83 88 -85 
94 addClause 17 -8 76 
95 addClause -13 50 124 
96 addClause 88 -17 -68 
97 addClause 107 4 -120 
98 addClause 43 23 -46 
99 addClause -114 58 19 
100 addClause 121 25 9 
101 addClause -53 -116 -14 
102 addClause -84 -111 18 
103 addClause -17 90 -4 
104 addClause -24 -56 96 
105 addClause -116 -111 53 
106 addClause -105 -43 63 
107 addClause -105 18 -50 
108 addClause 121 86 80 
109 addClause -32 107 73 
110 addClause 101 -124 103 
111 addClause 50 -33 -122 
112 addClause -83 -110 17 
113 addClause 36 -63 -107 
114 addClause -125 -106 87 
115 addClause -105 -2 89 
116 addClause 109 -108 89 
117 addClause -8 -71 25 
118 addClause 53 -5 55 
119 addClause -20 67 115 
120 addClause 35 -10 31 
121 addClause 67 -106 106 
122 addClause 48 -115 -68 
123 addClause 111 -116 -89 
124 addClause 86 -38 42 
125 addClause 38 36 110 
126 addClause -105 32 29 
127 addClause -16 -56 -57 
128 addClause 66 -84 49 
129 addClause -15 -48 8 
130 addClause 23 40 63 
131 addClause -74 -86 -53 
132 addClause 76 -101 7 
133 addClause 121 116 52 
134 addClause -62 -108 -116 
135 addClause 115 -33 -12 
136 addClause -90 -17 -67 
137 addClause 21 -44 39 
138 addClause 77 112 -46 
139 addClause -97 111 -107 
140 addClause 111 65 -100 
141 addClause -107 -21 44 
142 addClause 4 -27 -75 
143 addClause 65 120 116 
144 addClause -102 15 -95 
145 addClause -30 90 -116 
146 addClause 120 -79 36 
147 addClause -103 8 -81 
148 addClause -103 111 32 
149 addClause -89 -62 106 
150 addClause 21 -69 -53 
151 addClause -124 -35 99 
152 addClause -38 36 44 
153 addClause -68 -113 88 
154 addClause -77 -34 109 
155 addClause -78 25 69 
156 addClause -94 22 105 
157 addClause 53 108 7 
158 addClause 73 -32 -116 
159 addClause -101 -118 55 
160 addClause -31 14 110 
161 addClause -54 41 -99 
162 addClause 101 55 3 
163 addClause -33 -75 58 
164 addClause 47 53 67 
165 addClause 113 107 -36 
166 addClause 121 -65 78 
167 addClause 112 53 9 
168 addClause 45 8 -4 
169 addClause 112 38 69 
170 addClause 3 50 80 
171 addClause -123 52 -31 
172 addClause -25 -39 39 
173 addClause 61 76 -116 
174 addClause 28 79 77 
175 addClause 116 108 121 
176 addClause -2 -28 -103 
177 addClause 111 40 104 
178 addClause -41 -51 -3 
179 addClause -85 -78 -86 
180 addClause 25 -98 -79 
181 addClause 74 -38 120 
182 addClause -42 26 -76 
183 addClause -7 16 -33 
184 addClause -21 30 82 
185 addClause -102 10 68 
186 addClause -72 -24 115 
187 addClause -5 -1 -10 
188 addClause 104 63 26 
189 addClause 98 68 -54 
190 addClause 4 32 47 
191 addClause -108 94 -67 
192 addClause 77 -106 -55 
193 addClause -14 -6 59 
194 addClause -62 32 -20 
195 addClause 53 31 85 
196 addClause -30 -35 -11 
197 addClause -17 41 -5 
198 addClause -103 77 -31 
199 addClause 63 34 -83 
200 addClause -83 -23 18 
201 addClause -100 -27 -60 
202 addClause -111 -68 -25 
203 addClause 66 112 -25 
204 addClause -24 -115 -9 
205 addClause -52 40 109 
206 addClause -106 79 -51 
207 addClause -28 20 103 
208 addClause -92 -62 96 
209 addClause 4 19 15 
210 addClause -115 -101 72 
211 addClause 66 76 61 
212 addClause 41 -34 -64 
213 addClause -55 -74 68 
214 addClause 82 -54 55 
215 addClause -8 -48 88 
216 addClause -114 -103 -35 
217 addClause -21 -64 53 
