1 init
2 Data Structure Factory : MixedDataStructureSingleWL
3 Order : PureOrder/period=69
4 Phase Selection Strategy : RSATLastLearnedClausesPhaseSelectionStrategy
5 Learning Strategy : FixedLengthLearning/maxlength=18
6 Simplification Type : expensiveSimplificationWLOnly
7 Search Params : varDecay=0.983091747326108/claDecay=0.9561316294392254/conflictBoundIncFactor=2.659079811345488/initConflictBound=404
8 Random Walk : 0.6229111889213748
9 DBS simplification
10 addClause 42 -25 22 
11 addClause 17 -41 -43 
12 addClause -53 -19 -54 
13 addClause 22 51 -57 
14 addClause -55 -19 -46 
15 addClause -20 50 -46 
16 addClause 9 -8 18 
17 addClause -50 -11 19 
18 addClause -54 -56 -17 
19 addClause -17 55 -6 
20 addClause 11 -21 28 
21 addClause -2 -22 19 
22 addClause -20 -27 -54 
23 addClause 47 31 -46 
24 addClause 31 6 -3 
25 addClause -26 -18 -7 
26 addClause 9 -34 35 
27 addClause 23 -1 -38 
28 addClause -17 -38 -39 
29 addClause 47 -47 -1 
30 addClause 2 -37 -2 
31 addClause 31 37 9 
32 addClause 32 28 -16 
33 addClause 31 14 16 
34 addClause -32 22 56 
35 addClause -7 -52 -25 
36 addClause 5 -28 -38 
37 addClause -16 -36 39 
38 addClause -48 -59 -16 
39 addClause 15 5 7 
40 addClause -17 -2 57 
41 addClause 15 -58 -19 
42 addClause 33 -26 13 
43 addClause 58 -43 -25 
44 addClause -10 -56 -37 
45 addClause -48 -8 29 
46 addClause 14 32 -9 
47 addClause 7 -58 35 
48 addClause 41 -7 11 
49 addClause -31 57 50 
50 addClause 38 25 4 
51 addClause 42 -34 28 
52 addClause 6 -40 17 
53 addClause -17 34 38 
54 addClause 32 -14 -59 
55 addClause 24 -51 -12 
56 addClause -15 -30 -54 
57 addClause 6 57 -21 
58 addClause 46 -38 28 
59 addClause 15 55 -5 
60 addClause -30 -17 31 
61 addClause -40 31 48 
62 addClause 40 41 -55 
63 addClause 30 43 52 
64 addClause -13 -36 2 
65 addClause 23 29 -8 
66 addClause -25 -42 27 
67 addClause -43 -32 53 
68 addClause 13 -12 -48 
69 addClause -18 25 -31 
70 addClause 22 46 -38 
71 addClause -23 53 -37 
72 addClause -14 41 -19 
73 addClause 26 18 19 
74 addClause 32 22 -6 
75 addClause -24 -33 -52 
76 addClause 26 -36 -24 
77 addClause -9 57 27 
78 addClause -11 23 54 
79 addClause -4 7 56 
80 addClause 21 -27 -57 
81 addClause 21 -4 31 
82 addClause 15 45 -35 
83 addClause 26 -16 40 
84 addClause 16 2 52 
85 addClause -45 8 35 
86 addClause 9 -27 24 
87 addClause 6 57 -58 
88 addClause 13 23 -20 
89 addClause 37 15 -56 
90 addClause 47 -9 -1 
91 addClause -32 -56 -13 
92 addClause 47 30 38 
93 addClause 26 52 22 
94 addClause -49 -26 55 
95 addClause 38 35 15 
96 addClause -54 22 52 
97 addClause -58 -59 -14 
98 addClause -29 22 43 
99 addClause 30 17 -9 
100 addClause 17 44 9 
101 addClause 37 -42 8 
102 addClause 51 50 49 
103 addClause 27 -6 48 
104 addClause -42 -28 -37 
105 addClause 7 58 -32 
106 addClause -24 -38 56 
107 addClause 3 4 28 
108 addClause 39 -4 54 
109 addClause -36 -40 -13 
110 addClause -27 -35 -29 
111 addClause 9 -25 37 
112 addClause -56 54 44 
113 addClause -28 -9 -25 
114 addClause 40 -16 -24 
115 addClause 38 -17 33 
116 addClause -3 4 23 
117 addClause 6 1 7 
118 addClause -27 45 34 
119 addClause 1 -11 7 
120 addClause -23 -18 58 
121 addClause 7 35 -17 
122 addClause 13 28 -28 
123 addClause -13 -39 36 
124 addClause 26 25 -7 
125 addClause -40 25 43 
126 addClause -29 -24 -54 
127 addClause -9 58 -59 
128 addClause 3 -42 -36 
129 addClause 38 -11 -43 
130 addClause 45 46 52 
131 addClause -37 31 1 
132 addClause 17 -9 -31 
133 addClause -4 39 -35 
134 addClause 26 53 42 
135 addClause -46 -48 19 
136 addClause 22 29 27 
137 addClause 27 10 22 
138 addClause 53 34 4 
139 addClause -54 -20 -30 
140 addClause 21 -48 -40 
141 addClause -31 -51 -13 
142 addClause 21 54 15 
143 addClause -58 37 46 
144 addClause -47 -30 -19 
145 addClause 2 -41 44 
146 addClause 22 28 -38 
147 addClause 34 31 26 
148 addClause 21 4 25 
149 addClause 52 -53 17 
150 addClause 45 -16 -41 
151 addClause -28 -41 34 
152 addClause 39 -21 35 
153 addClause -1 -31 -40 
154 addClause -36 -13 1 
155 addClause -3 -5 -6 
156 addClause -14 -54 -44 
157 addClause 25 -29 42 
158 addClause 43 10 26 
159 addClause 13 28 -20 
160 addClause 30 -7 -14 
161 addClause 44 -22 -56 
162 addClause 15 -24 33 
163 addClause 40 -40 15 
164 addClause -39 37 -31 
165 addClause -19 48 -2 
166 addClause -38 -34 -54 
167 addClause 48 -53 22 
168 addClause 24 39 -33 
169 addClause 5 -54 6 
170 addClause 47 3 -47 
171 addClause 1 -33 -45 
172 addClause 48 -20 14 
173 addClause -54 29 -36 
174 addClause -41 46 -8 
175 addClause -6 -10 25 
176 addClause 8 51 11 
177 addClause -59 32 -7 
178 addClause -26 -30 18 
179 addClause -7 -46 -28 
180 addClause 16 -33 27 
181 addClause -29 -23 27 
182 addClause 14 -50 17 
183 addClause 58 35 4 
184 addClause 4 -24 -25 
185 addClause 9 17 -30 
186 addClause 15 36 25 
187 assuming -32 -10 24 26 -25 
188 addClause 16 -15 -118 
189 addClause 29 158 -62 
190 addClause -94 54 53 
191 addClause 50 23 7 
192 addClause 115 15 120 
193 addClause -104 46 -72 
194 addClause -42 -163 -23 
195 addClause 146 -31 23 
196 addClause 144 14 57 
197 addClause 93 12 110 
198 addClause 78 -95 163 
199 addClause 126 116 117 
200 addClause 7 15 126 
201 addClause 99 1 22 
202 addClause -146 28 -150 
203 addClause 76 -122 -168 
204 addClause -154 -105 -10 
205 addClause -76 -83 109 
206 addClause -166 162 87 
207 addClause 80 143 -158 
208 addClause 68 21 -30 
209 addClause -138 -99 -153 
210 addClause 134 -108 130 
211 addClause 120 -120 36 
212 addClause -103 56 80 
213 addClause -31 48 22 
214 addClause -162 77 -25 
215 addClause -61 15 -140 
216 addClause 141 166 -77 
217 addClause -53 -83 -166 
218 addClause 164 57 -164 
219 addClause -53 -100 75 
220 addClause 66 151 -125 
221 addClause -170 99 18 
222 addClause 108 -35 97 
223 addClause 2 131 -149 
224 addClause -128 106 14 
225 addClause -134 -107 -167 
226 addClause -43 42 12 
227 addClause -70 -97 85 
228 addClause 109 78 146 
229 addClause -145 -119 125 
230 addClause 119 171 95 
231 addClause -12 80 144 
232 addClause 45 137 46 
233 addClause -86 -99 26 
234 addClause 99 -83 -33 
235 addClause 19 -15 -171 
236 addClause -99 61 -139 
237 addClause 136 -89 -28 
238 addClause 148 -59 -150 
239 addClause 145 56 -170 
240 addClause -41 -105 22 
241 addClause -167 110 129 
242 addClause 72 -51 30 
243 addClause -112 -134 -97 
244 addClause 26 162 -21 
245 addClause 59 33 -91 
246 addClause -14 8 73 
247 addClause 100 -150 -172 
248 addClause 169 -64 68 
249 addClause 39 26 -32 
250 addClause 151 124 146 
251 addClause 67 87 -94 
252 addClause -107 -6 -9 
253 addClause 97 87 -37 
254 addClause -20 -49 -110 
255 addClause -96 -81 -70 
256 addClause -79 85 102 
257 addClause 152 -73 -144 
258 addClause 161 90 -137 
259 addClause -4 156 71 
260 addClause 49 -170 150 
261 addClause 4 149 -144 
262 addClause 124 -86 47 
263 addClause 3 58 136 
264 addClause 127 95 7 
265 addClause 135 -77 110 
266 addClause -28 -107 -156 
267 addClause -137 -142 -168 
268 addClause 146 159 -27 
269 addClause 132 -59 -15 
270 addClause -8 -80 161 
271 addClause -146 -82 115 
272 addClause -92 -128 -134 
273 addClause 108 24 64 
274 addClause 52 135 128 
275 addClause 79 -103 -93 
276 addClause 112 -126 117 
277 addClause -56 29 -146 
278 addClause 24 -170 110 
279 addClause 35 130 -40 
280 addClause -146 126 156 
281 addClause 144 71 -66 
282 addClause -35 -36 -59 
283 addClause -137 -35 -138 
284 addClause -172 125 58 
285 addClause 161 -106 96 
286 addClause 44 135 157 
287 addClause 110 -169 151 
288 addClause 162 47 -27 
289 addClause -92 -89 98 
290 addClause 101 -15 63 
291 addClause 76 -172 41 
292 addClause -48 16 70 
293 addClause -149 2 -6 
294 addClause -63 -62 -113 
295 addClause -74 31 170 
296 addClause 111 94 142 
297 addClause 6 -66 96 
298 addClause 29 135 -28 
299 addClause -163 37 -137 
300 addClause -86 -90 -103 
301 addClause 84 52 -22 
302 addClause 68 63 71 
303 addClause -78 126 100 
304 addClause -112 -27 106 
305 addClause 133 86 143 
306 addClause -137 -81 165 
307 addClause -76 49 93 
308 addClause 168 19 -29 
309 addClause 3 2 109 
310 addClause 108 -157 -7 
311 addClause 37 83 171 
312 addClause 120 137 -72 
313 addClause -40 -152 111 
314 addClause 80 -92 -150 
315 addClause 75 -20 2 
316 addClause 163 -44 95 
317 addClause -46 140 -129 
318 addClause 154 -112 69 
319 addClause -118 70 39 
320 addClause 14 91 86 
321 addClause 35 74 -167 
322 addClause 102 -116 96 
323 addClause -48 43 -17 
324 addClause -89 -102 73 
325 addClause 14 157 -111 
326 addClause -125 -129 -100 
327 addClause -135 2 -62 
328 addClause 146 162 -51 
329 addClause 147 -53 35 
330 addClause 18 104 13 
331 addClause -118 78 -3 
332 addClause 8 -40 -98 
333 addClause 67 112 -63 
334 addClause 35 -161 136 
335 addClause -167 60 -154 
336 addClause -131 146 -22 
337 addClause 14 -44 -142 
338 addClause 29 80 49 
339 addClause -15 -138 58 
340 addClause 77 33 -23 
341 addClause 169 -21 14 
342 addClause 34 139 103 
343 addClause -131 -104 42 
344 addClause -13 -56 -6 
345 addClause 69 120 63 
346 addClause -99 -112 -83 
347 addClause 67 -41 -124 
348 addClause -169 27 -21 
349 addClause -118 69 -158 
350 addClause -31 -72 79 
351 addClause -152 -103 -58 
352 addClause 107 36 108 
353 addClause 58 -101 43 
354 addClause 80 7 14 
355 addClause 74 -114 124 
356 addClause -79 88 -7 
357 addClause 153 -86 -81 
358 addClause 92 -99 -143 
359 addClause 17 169 27 
360 addClause -28 -26 170 
361 addClause 2 93 99 
362 addClause -138 -93 90 
363 addClause -41 138 126 
364 addClause 40 -48 -152 
365 addClause -35 37 -125 
366 addClause -71 170 -95 
367 addClause 56 -45 -124 
368 addClause -88 139 -105 
369 addClause -132 -81 -66 
370 addClause -47 -137 160 
371 addClause 100 93 36 
372 addClause 3 -168 -117 
373 addClause 109 -5 132 
374 addClause -122 -166 -13 
375 addClause -41 142 -8 
376 addClause 163 -58 -64 
377 addClause 25 -125 10 
378 addClause -49 102 98 
379 addClause 138 -70 15 
380 addClause -61 7 66 
381 addClause 66 53 13 
382 addClause 53 146 -170 
383 addClause -166 36 7 
384 addClause 139 119 77 
385 addClause 131 -162 123 
