1 init
2 Data Structure Factory : ClausalDataStructureWL
3 Order : PureOrder/period=17
4 Simplification Type : expensiveSimplificationWLOnly
5 Search Params : varDecay=0.904958467514622/claDecay=1.436789058527535/conflictBoundIncFactor=0.09363505249139126/initConflictBound=100
6 DBS simplification
7 addClause -8 -150 40 
8 addClause 101 129 -23 
9 addClause -142 -118 45 
10 addClause 28 126 84 
11 addClause 98 -141 -82 
12 addClause 52 -95 117 
13 addClause -150 72 -28 
14 addClause -105 -149 -153 
15 addClause 85 -13 -67 
16 addClause 126 61 113 
17 addClause -91 59 135 
18 addClause 75 -82 -81 
19 addClause -104 76 61 
20 addClause -17 -97 -39 
21 addClause 39 -75 -68 
22 addClause -6 -84 -5 
23 addClause 21 -145 50 
24 addClause -26 -116 145 
25 addClause 90 103 65 
26 addClause -54 -118 -103 
27 addClause -30 43 111 
28 addClause 68 128 103 
29 addClause 10 95 64 
30 addClause -65 43 124 
31 addClause 14 91 -98 
32 addClause 8 -45 90 
33 addClause 13 -4 -62 
34 addClause -26 -40 -112 
35 addClause -70 -128 131 
36 addClause -127 143 41 
37 addClause 77 -77 84 
38 addClause 150 82 10 
39 addClause 137 -11 -142 
40 addClause 45 -147 75 
41 addClause 140 124 -138 
42 addClause 120 -130 -36 
43 addClause 90 -82 -148 
44 addClause -66 -123 1 
45 addClause -28 48 -50 
46 addClause -112 -82 -54 
47 addClause -67 68 127 
48 addClause -79 -8 103 
49 addClause -13 -23 35 
50 addClause 143 -6 -36 
51 addClause -9 57 23 
52 addClause 153 -94 -70 
53 addClause -109 127 44 
54 addClause -88 -26 18 
55 addClause 132 21 84 
56 addClause -39 96 -128 
57 addClause -18 55 48 
58 addClause 2 -99 153 
59 addClause -11 32 21 
60 addClause -106 42 -33 
61 addClause 82 119 124 
62 addClause -110 -54 -152 
63 addClause -8 -37 -83 
64 addClause -49 -95 -5 
65 addClause -80 -46 154 
66 addClause 62 -69 -48 
67 addClause -49 -10 -69 
68 addClause -130 133 -26 
69 addClause -62 -32 3 
70 addClause -85 41 -80 
71 addClause 42 -51 86 
72 addClause -36 -4 -20 
73 addClause -124 -134 52 
74 addClause -118 -154 -127 
75 addClause 16 38 85 
76 addClause -102 -33 -35 
77 addClause 124 116 128 
78 addClause -87 -31 29 
79 addClause 152 114 126 
80 addClause 141 -2 91 
81 addClause -65 -121 -61 
82 addClause -98 83 133 
83 addClause -90 88 -138 
84 addClause -21 -48 -86 
85 addClause -91 84 -142 
86 addClause -103 -143 -118 
87 addClause 65 60 -71 
88 addClause -121 29 -32 
89 addClause -46 -146 50 
90 addClause -72 -153 68 
91 addClause 143 21 -48 
92 addClause 48 138 133 
93 addClause 118 -89 -1 
94 addClause -79 30 -25 
95 addClause -17 -140 -40 
96 addClause 48 3 -9 
97 addClause -112 153 -100 
98 addClause -29 146 -46 
99 addClause 62 -115 10 
100 addClause -73 5 -74 
101 addClause -132 -18 -84 
102 addClause -76 16 45 
103 addClause -142 -45 -70 
104 addClause -23 10 -17 
105 addClause -43 33 13 
106 addClause -88 -138 138 
107 addClause -66 -39 26 
108 addClause -45 85 -57 
109 addClause 76 -136 110 
110 addClause -132 -96 61 
111 addClause 86 123 148 
112 addClause 21 -143 -38 
113 addClause 133 -134 34 
114 addClause -88 23 -144 
115 addClause 52 152 -64 
116 addClause 57 -148 77 
117 addClause -126 122 15 
118 addClause 120 -151 113 
119 addClause 31 72 -58 
120 addClause 121 56 151 
121 addClause -119 42 38 
122 addClause 54 39 -109 
123 addClause 119 40 -117 
124 addClause -123 -12 -122 
125 addClause -90 -130 -78 
126 addClause 52 64 89 
127 addClause 132 -12 -117 
128 addClause 18 128 -46 
129 addClause 86 -84 -107 
130 addClause 38 15 -2 
131 addClause -6 86 -148 
132 addClause 61 122 56 
133 addClause -107 -114 95 
134 addClause 107 -56 -80 
135 addClause 32 26 153 
136 addClause -33 -71 79 
137 addClause -85 -151 129 
138 addClause 119 -116 -110 
139 addClause -51 -68 54 
140 addClause -150 -105 -92 
141 addClause 109 -89 66 
142 addClause -77 2 41 
143 addClause -112 -7 2 
144 addClause 42 -43 34 
145 addClause 46 -145 1 
146 addClause -94 90 -120 
147 addClause -1 -130 -146 
148 addClause -142 -33 -51 
149 addClause -125 -91 110 
150 addClause -7 49 -78 
151 addClause 152 -57 -129 
152 addClause 124 -113 -60 
153 addClause -79 25 -8 
154 addClause -144 35 101 
155 addClause -121 -124 -38 
156 addClause 22 -60 70 
157 addClause -4 -55 111 
158 addClause 139 57 26 
159 addClause -70 154 89 
160 addClause 111 -124 -55 
161 addClause 65 -31 -79 
162 addClause -144 15 -142 
163 addClause -45 -39 77 
164 addClause 110 -126 -99 
165 addClause 19 104 -144 
166 addClause 98 -20 -129 
167 addClause -151 -57 14 
168 addClause 69 79 -115 
169 addClause 65 -1 -146 
170 addClause -155 15 122 
171 addClause 111 10 -152 
172 addClause -1 -93 58 
173 addClause -127 -119 55 
174 addClause 11 -104 -121 
175 addClause -32 -44 -117 
176 addClause -115 -137 46 
177 addClause -34 -67 44 
178 addClause -152 -155 -55 
179 addClause -118 6 -54 
180 addClause -38 106 53 
181 addClause -129 33 -154 
182 addClause 49 51 -118 
183 addClause 134 145 -98 
184 addClause -127 -1 -150 
185 addClause -131 133 117 
186 addClause -67 -147 15 
187 addClause 86 -56 114 
188 addClause -130 101 -126 
189 addClause -77 8 -119 
190 addClause 75 59 -35 
191 addClause 38 -93 -53 
192 addClause -155 15 -153 
193 addClause 57 -99 -22 
194 addClause 118 65 81 
195 addClause 121 54 -148 
196 addClause 15 60 -148 
197 addClause -14 140 151 
198 addClause 123 27 62 
199 addClause -84 59 39 
200 addClause 88 21 144 
201 addClause -23 -102 93 
202 addClause -96 123 40 
203 addClause 44 -92 -126 
204 addClause -72 152 -67 
205 addClause 148 90 -136 
206 addClause 132 -69 83 
207 addClause -117 -78 -35 
208 addClause 119 107 49 
209 addClause -43 23 92 
210 addClause -135 -12 95 
211 addClause 44 -114 115 
212 addClause 49 -86 -155 
213 addClause -20 68 -72 
214 addClause -141 127 -61 
215 addClause 25 -139 -84 
216 addClause -33 12 130 
217 addClause 56 78 40 
218 addClause -70 60 94 
219 addClause -24 51 104 
220 addClause -7 -31 -14 
221 addClause 64 6 -79 
222 addClause 98 -119 -130 
223 addClause 15 -25 82 
224 addClause -36 -35 18 
225 addClause -3 117 94 
226 addClause -24 -32 130 
227 addClause -100 150 -109 
228 addClause 22 35 -68 
229 addClause -28 47 82 
230 addClause 109 99 57 
231 addClause -30 62 143 
232 addClause 68 59 -146 
233 addClause 34 124 -50 
234 addClause 67 28 24 
235 addClause 133 -38 93 
236 addClause 131 -42 71 
237 addClause -140 23 -86 
238 addClause 108 -45 28 
239 addClause -146 79 -60 
240 addClause -116 -43 70 
241 addClause -143 -60 97 
242 addClause 12 -153 -108 
243 addClause 89 140 -127 
244 addClause -99 108 89 
245 addClause 20 -42 -31 
246 addClause 51 -23 -2 
247 addClause -122 -40 108 
248 addClause 6 -13 52 
249 addClause 41 16 -23 
250 addClause 107 -64 -117 
251 addClause -152 98 -70 
252 addClause 140 -94 25 
253 addClause 119 -14 141 
254 addClause 106 87 -101 
255 addClause 96 -24 106 
256 addClause -103 -81 -10 
257 addClause -133 -142 -34 
258 addClause 113 145 -80 
259 addClause -83 -106 105 
260 addClause -37 17 64 
261 addClause -22 43 -64 
262 addClause -146 -96 -119 
263 addClause 10 -120 -100 
264 addClause -130 -91 142 
265 addClause 71 -110 63 
266 addClause -104 68 -85 
267 addClause -117 79 103 
268 addClause 135 -45 -69 
269 addClause -155 -4 -16 
270 addClause 22 -40 8 
271 addClause 80 5 -149 
272 addClause -21 -141 151 
273 addClause -106 -119 -107 
274 addClause -137 102 21 
275 addClause 28 34 134 
276 addClause -74 73 -130 
277 addClause -144 137 126 
278 addClause 26 56 -134 
279 addClause -86 -130 -145 
280 addClause -22 101 108 
281 addClause -145 -95 20 
282 addClause -137 -43 73 
283 addClause -5 -147 -120 
284 addClause -37 13 -64 
285 addClause -2 15 -30 
