1 init
2 Data Structure Factory : CardinalityDataStructure
3 Learning Strategy : MiniSATLearning
4 Order : PureOrder/period=14
5 Phase Selection Strategy : SolutionPhaseSelectionStrategy
6 Simplification Type : expensiveSimplification
7 Search Params : varDecay=0.9238351424023493/claDecay=0.9923981645133174/conflictBoundIncFactor=0.1139856145274174/initConflictBound=89
8 Learned Constraints Evaluation Type : LBD2
9 DBS simplification
10 addClause -111 84 -78 
11 addClause -75 -147 103 
12 addClause 11 -61 -58 
13 addClause -16 80 -141 
14 addClause -149 51 41 
15 addClause -18 -21 69 
16 addClause 104 -143 -31 
17 addClause 116 -20 -149 
18 addClause -137 57 -3 
19 addClause -106 87 79 
20 addClause 76 146 129 
21 addClause -143 -97 -148 
22 addClause 130 116 8 
23 addClause -91 -89 -59 
24 addClause -90 61 139 
25 addClause -12 -94 -91 
26 addClause -66 123 -84 
27 addClause -61 118 64 
28 addClause -146 -46 -49 
29 addClause -64 -130 97 
30 addClause -61 -11 75 
31 addClause 39 -95 72 
32 addClause -141 -15 -21 
33 addClause -43 68 -143 
34 addClause 8 -40 -136 
35 addClause 64 136 -32 
36 addClause -136 39 -125 
37 addClause -121 -88 133 
38 addClause -76 14 70 
39 addClause 64 -114 -73 
40 addClause 97 -25 -106 
41 addClause 113 -55 41 
42 addClause -12 -133 -123 
43 addClause 134 -3 82 
44 addClause -65 147 86 
45 addClause 128 -54 -58 
46 addClause 50 -34 46 
47 addClause -49 6 -142 
48 addClause 86 109 9 
49 addClause -34 -110 -86 
50 addClause -48 14 -85 
51 addClause 119 16 56 
52 addClause -99 31 71 
53 addClause -130 1 -142 
54 addClause 53 18 62 
55 addClause 8 3 76 
56 addClause -103 -99 -37 
57 addClause -100 -11 114 
58 addClause -84 -136 94 
59 addClause 144 99 -17 
60 addClause -60 -123 -143 
61 addClause 61 -79 138 
62 addClause -146 44 -30 
63 addClause 20 -98 -64 
64 addClause 107 116 -44 
65 addClause 27 -121 -117 
66 addClause -143 136 -79 
67 addClause 17 -113 -129 
68 addClause -9 -11 -138 
69 addClause 104 -51 1 
70 addClause -21 -3 -141 
71 addClause -148 -62 -94 
72 addClause -139 -27 -110 
73 addClause -44 12 86 
74 addClause -19 138 73 
75 addClause 39 -110 121 
76 addClause 63 -146 126 
77 addClause -137 142 -72 
78 addClause -50 7 55 
79 addClause -83 -42 -109 
80 addClause -40 -11 60 
81 addClause 122 120 87 
82 addClause 97 36 12 
83 addClause 60 77 25 
84 addClause 101 -115 58 
85 addClause -33 -138 77 
86 addClause 90 30 63 
87 addClause 114 -17 146 
88 addClause 16 51 -55 
89 addClause -94 143 120 
90 addClause 130 103 73 
91 addClause -58 -42 123 
92 addClause 83 133 17 
93 addClause 133 -126 56 
94 addClause 90 75 146 
95 addClause 129 83 96 
96 addClause 67 86 -46 
97 addClause -8 -41 -12 
98 addClause -17 125 3 
99 addClause 26 -144 95 
100 addClause 101 130 -76 
101 addClause -140 -73 100 
102 addClause -35 67 114 
103 addClause -108 -21 -72 
104 addClause -21 -45 33 
105 addClause 137 -18 -74 
106 addClause -42 -17 -23 
