1 init
2 Data Structure Factory : MixedDataStructureDanielHT
3 Order : VarOrderHeap/varDecay=0.019452994071192276
4 Phase Selection Strategy : PhaseCachingAutoEraseStrategy
5 Learning Strategy : PercentLengthLearning/maxpercent=100
6 Restart Strategy : LubyRestarts/factor=661
7 Simplification Type : NO_SIMPLIFICATION
8 Search Params : varDecay=0.9794394748843407/claDecay=1.1324601380923052/conflictBoundIncFactor=2.1693106691209603/initConflictBound=323
9 Learned Constraints Evaluation Type : LBD2
10 Random Walk : 0.7133268136920701
11 DB simplification
12 addClause -19 53 -140 
13 addClause 36 105 -37 
14 addClause 50 -92 121 
15 addClause 21 139 65 
16 addClause 136 115 22 
17 addClause 132 -117 -6 
18 addClause 138 -11 6 
19 addClause -88 62 -84 
20 addClause 53 -124 47 
21 addClause 47 23 63 
22 addClause -103 44 84 
23 addClause -93 41 113 
24 addClause 63 46 142 
25 addClause -32 54 139 
26 addClause -144 24 62 
27 addClause -107 41 130 
28 addClause -60 -111 -71 
29 addClause 89 -98 63 
30 addClause -91 116 24 
31 addClause 92 -25 -84 
32 addClause 147 -96 145 
33 addClause 5 32 -113 
34 addClause -110 -29 114 
35 addClause -82 -69 73 
36 addClause -120 -125 -61 
37 addClause 49 10 -111 
38 addClause 142 -85 -117 
39 addClause -17 -3 -52 
40 addClause 21 -92 143 
41 addClause -35 43 -94 
42 addClause -42 108 -89 
43 addClause 84 76 100 
44 addClause -60 -92 -93 
45 addClause -28 125 5 
46 addClause 140 -34 36 
47 addClause -30 -89 -42 
48 addClause -121 -110 25 
49 addClause 21 133 -127 
50 addClause -28 -87 -25 
51 addClause -44 -24 -78 
52 addClause -119 24 71 
53 addClause 132 95 -121 
54 addClause 102 108 13 
55 addClause 15 -23 30 
56 addClause -70 125 -23 
57 addClause -10 61 111 
58 addClause -59 91 -147 
59 addClause -27 -134 142 
60 addClause -125 96 36 
61 addClause -136 -54 -118 
62 addClause 88 71 -69 
63 addClause 71 -25 56 
64 addClause 142 28 19 
65 addClause 110 -43 -44 
66 addClause 23 -96 126 
67 addClause 98 -73 -7 
68 addClause 110 16 16 
69 addClause -7 -99 13 
70 addClause 54 89 -23 
71 addClause 22 -79 -28 
72 addClause 10 123 -125 
73 addClause -104 -81 50 
74 addClause -135 -124 28 
75 addClause 105 3 -116 
76 addClause -103 -84 -95 
77 addClause 143 -120 87 
78 addClause -29 114 -14 
79 addClause 6 93 -99 
80 addClause 142 -69 -5 
81 addClause -97 97 -36 
82 addClause -145 121 -114 
83 addClause 62 -23 -32 
84 addClause 44 54 -8 
85 addClause 61 -102 -128 
86 addClause 10 -146 21 
87 addClause 115 -97 65 
88 addClause 81 66 -84 
89 addClause -59 -52 -113 
90 addClause 139 141 55 
91 addClause 94 -129 -71 
92 addClause 143 -102 85 
93 addClause -70 -104 30 
94 addClause 14 -14 96 
95 addClause 2 -79 -130 
96 addClause 89 -137 109 
97 addClause 130 32 -87 
98 addClause -132 -81 147 
99 addClause -16 -37 123 
100 addClause 128 147 -1 
101 addClause 93 -120 106 
102 addClause -63 -77 42 
103 addClause -58 146 82 
104 addClause -100 -65 130 
105 addClause -119 -36 -39 
106 addClause -135 146 -60 
107 addClause 36 48 127 
108 addClause -124 63 50 
109 addClause 125 90 -71 
110 addClause 109 31 -20 
111 addClause -109 -11 122 
112 addClause -82 141 -97 
113 addClause -72 -137 51 
114 addClause -126 -36 62 
115 addClause 20 -143 -111 
116 addClause -118 47 -90 
117 addClause 142 -77 120 
118 addClause -86 -5 81 
119 addClause -99 -96 -144 
120 addClause 120 3 39 
121 addClause -131 61 65 
122 addClause -143 77 84 
123 addClause -6 -130 138 
124 addClause 63 -111 -12 
125 addClause -46 -54 24 
126 addClause -59 -25 129 
127 addClause 98 61 -60 
128 addClause -81 145 143 
129 addClause -61 140 -79 
130 addClause 35 -29 -119 
131 addClause -132 -106 -41 
132 addClause -45 -33 53 
133 addClause 114 -142 -127 
134 addClause -1 -18 46 
135 addClause 67 119 -12 
136 addClause -115 -13 -93 
137 addClause -58 -70 -5 
138 addClause 44 65 -99 
139 addClause 6 -94 -66 
140 addClause 123 -69 -29 
141 addClause -42 -118 89 
142 addClause -89 -115 67 
143 addClause -125 -61 -128 
144 addClause 29 77 96 
145 addClause 33 -62 -132 
146 addClause -144 73 64 
147 addClause -19 125 141 
148 addClause 102 -21 -74 
149 addClause -87 -144 108 
150 addClause 14 -112 114 
151 addClause -99 -94 54 
152 addClause 69 -63 103 
153 addClause -43 -24 -79 
154 addClause 102 -37 -2 
155 addClause 69 -26 141 
156 addClause 8 40 -92 
157 addClause 76 96 74 
158 addClause -128 102 -55 
159 addClause 72 -57 144 
160 addClause 29 -82 -23 
161 addClause -73 93 -44 
162 addClause -89 6 111 
163 addClause 118 115 -23 
164 addClause -121 -91 -21 
165 addClause -48 100 -5 
166 addClause 11 119 101 
167 addClause 60 86 18 
168 addClause 24 -105 -47 
169 addClause -90 -89 -84 
170 addClause 20 -53 96 
171 addClause -120 -58 93 
172 addClause -120 -140 36 
173 addClause 106 -37 -20 
174 addClause 5 -90 122 
175 addClause -117 93 145 
176 addClause -119 139 -20 
177 addClause 82 -12 138 
178 addClause -30 78 53 
179 addClause 104 -118 105 
180 addClause 5 5 -96 
181 addClause 76 141 120 
182 addClause 144 -73 63 
183 addClause 33 -115 62 
184 addClause 78 -96 106 
185 addClause -57 -130 -97 
186 addClause -80 -124 -30 
187 addClause 146 -59 -116 
188 addClause -87 -73 -147 
189 addClause 124 19 88 
190 addClause -8 -94 -3 
191 addClause -18 -128 90 
192 addClause -121 -41 109 
193 addClause 89 -73 80 
194 addClause 38 -73 -52 
195 addClause 77 86 -78 
196 addClause 56 77 -119 
197 addClause 125 66 -29 
198 addClause 2 39 136 
199 addClause -97 -6 -112 
200 addClause -58 -12 -129 
201 addClause -26 -91 -134 
202 addClause -1 -18 -45 
203 addClause 59 -113 -25 
204 addClause 106 147 -132 
205 addClause -136 -136 -8 
206 addClause -67 65 147 
207 addClause 1 -61 -82 
208 addClause 102 107 14 
209 addClause -56 13 -25 
210 addClause 70 94 -7 
211 addClause 7 75 66 
212 addClause -136 -145 -119 
213 addClause 38 -76 -72 
214 addClause -125 -36 -138 
215 addClause 79 -109 -147 
216 addClause 127 117 35 
217 addClause 41 -13 -56 
218 addClause 91 -35 90 
219 addClause -106 -97 67 
220 addClause -92 -39 92 
221 addClause -93 -127 118 
222 addClause -25 -1 -78 
223 addClause -24 -125 -123 
224 addClause -113 -63 109 
225 addClause -43 102 113 
226 addClause 5 -30 -115 
227 addClause 87 59 142 
228 addClause -4 -148 -108 
229 addClause -35 -102 -41 
230 addClause 112 52 -30 
231 addClause 147 -63 90 
232 addClause -119 -84 -39 
233 addClause 92 127 -16 
234 addClause 144 -57 88 
235 addClause 91 -119 -130 
236 addClause -2 -125 -39 
237 addClause -27 83 -141 
238 addClause 27 34 -14 
239 addClause -6 -21 -23 
240 addClause 27 28 94 
241 addClause -118 -113 -49 
242 addClause 96 110 -146 
243 addClause -36 -140 -12 
244 addClause 133 37 137 
245 addClause -86 34 131 
246 addClause -117 66 -5 
247 addClause -96 6 44 
248 addClause -92 -130 126 
249 addClause -142 102 58 
250 addClause 33 -76 -91 
251 addClause -127 -98 -1 
252 addClause 114 61 71 
253 addClause -148 48 -125 
254 addClause 18 131 -110 
255 addClause 85 70 107 
256 addClause -127 119 -128 
257 addClause 23 -141 24 
258 addClause 76 70 -34 
259 addClause -113 -39 142 
260 addClause -51 -57 13 
261 addClause -90 121 -103 
262 addClause -24 119 -47 
263 addClause -28 77 -41 
264 addClause -108 52 131 
265 addClause 122 83 116 
266 addClause 138 124 -44 
267 addClause 121 80 119 
268 addClause 145 140 -61 
269 addClause 14 -146 11 
270 addClause 89 52 73 
271 addClause 54 -5 12 
272 addClause 109 73 144 
273 addClause -66 7 139 
274 addClause -147 -102 65 
275 addClause 41 -93 -52 
276 addClause 68 -25 -127 
277 addClause 84 88 4 
278 addClause -61 119 -23 
279 addClause -10 113 112 
280 addClause 55 73 103 
281 addClause -80 10 141 
282 addClause 34 66 37 
283 addClause -87 -42 -65 
284 addClause 67 -52 121 
285 addClause -79 71 -99 
286 addClause -59 73 -95 
287 addClause -40 37 80 
288 addClause -122 44 -35 
289 addClause 3 106 49 
290 addClause -86 31 141 
291 addClause 111 19 -20 
292 addClause 135 57 43 
293 addClause -1 129 73 
294 addClause 12 63 -46 
295 addClause 61 130 40 
296 addClause 66 -121 -79 
297 addClause -42 111 66 
298 addClause 83 113 -143 
299 addClause 64 58 -17 
300 addClause 84 112 -89 
301 addClause 96 50 117 
302 addClause -108 147 98 
303 addClause 98 60 -131 
304 addClause 41 50 69 
305 addClause 113 -37 108 
306 addClause -145 51 142 
307 addClause -101 -84 -113 
308 addClause 140 139 84 
309 addClause 71 -53 63 
310 addClause -109 -143 -134 
311 addClause 104 41 78 
312 addClause 58 24 71 
313 addClause 47 -50 141 
314 addClause -111 67 113 
315 addClause -16 100 19 
316 addClause -125 -19 21 
317 addClause -34 119 -34 
318 addClause 139 -112 36 
319 addClause -120 90 93 
320 addClause -66 134 -59 
321 addClause -52 64 -84 
322 addClause 111 102 -55 
323 addClause -76 142 -82 
324 addClause 104 116 93 
325 addClause 2 141 -55 
326 addClause 37 -72 117 
327 addClause -139 71 4 
328 addClause 97 139 56 
329 addClause -147 132 -109 
330 addClause -103 -32 -33 
331 addClause 113 114 -109 
332 addClause 131 -48 -69 
333 addClause -84 -141 -84 
334 addClause 79 114 75 
335 addClause 93 -67 -31 
336 addClause 64 104 -76 
337 addClause -93 118 135 
338 addClause 34 2 -128 
339 addClause -16 145 82 
340 addClause -65 -37 -65 
341 addClause 147 -110 20 
342 addClause -88 -108 23 
343 addClause -23 -6 147 
344 addClause -29 -82 -123 
345 addClause -119 -13 124 
346 addClause 13 -126 120 
347 addClause 24 -123 130 
348 addClause 1 -41 -54 
349 addClause -13 95 -129 
350 addClause 121 19 -110 
351 addClause -31 142 -62 
352 addClause 123 59 42 
353 addClause 130 6 138 
354 addClause 104 111 -81 
355 addClause 36 -4 -26 
356 addClause 53 139 -8 
357 addClause 121 111 14 
358 addClause 133 -24 18 
359 addClause 81 -70 -76 
360 addClause 12 29 -76 
361 addClause -12 88 91 
362 addClause 98 -133 -66 
363 addClause 97 60 73 
364 addClause -122 103 16 
365 addClause -67 49 -141 
366 addClause -16 -100 -123 
367 addClause 128 147 -117 
368 addClause 131 -11 22 
369 addClause 89 -146 66 
370 addClause -33 40 -7 
371 addClause -106 -58 34 
372 addClause 62 124 41 
373 addClause -57 127 75 
374 addClause 138 4 91 
375 addClause -28 95 -72 
376 addClause 39 -129 77 
377 addClause -71 -35 -66 
378 addClause -126 -124 6 
379 addClause 11 6 -39 
380 addClause -96 -131 53 
381 addClause 20 -44 -91 
382 addClause -140 -105 -42 
383 addClause 40 117 21 
384 addClause -62 125 -56 
385 addClause -31 -88 14 
386 addClause -48 -115 -13 
387 addClause -13 -96 -144 
388 addClause -101 145 104 
389 addClause -41 69 26 
390 addClause 40 -5 -4 
391 addClause -25 87 -21 
392 addClause 119 -104 -24 
393 addClause -64 55 -133 
394 addClause 66 118 138 
395 addClause 11 -45 147 
396 addClause -31 -24 -48 
397 addClause 104 -142 52 
398 addClause -141 -108 -5 
399 addClause -58 122 56 
400 addClause 92 -9 40 
401 addClause -51 135 138 
402 addClause -38 -102 7 
403 addClause -23 -60 58 
404 addClause -86 -99 49 
405 addClause 53 -40 101 
406 addClause 30 -54 94 
407 addClause 11 -116 136 
408 addClause 102 -116 -109 
409 addClause -64 -136 83 
410 addClause -132 31 70 
411 addClause 130 106 -107 
412 addClause -132 146 -44 
413 addClause -104 -67 -105 
414 addClause -1 -82 -72 
415 addClause 10 8 -107 
416 addClause 50 140 126 
417 addClause -23 5 84 
418 addClause -50 113 29 
419 addClause 126 88 -10 
420 addClause 75 -119 -105 
421 addClause 106 59 10 
422 addClause -10 40 72 
423 addClause -6 14 102 
424 addClause 128 -127 124 
425 addClause -92 -118 -99 
426 addClause 95 64 -125 
427 addClause 19 -25 143 
428 addClause 143 9 49 
429 addClause -15 85 -11 
430 addClause -97 -102 -4 
431 addClause -130 84 -63 
432 addClause 57 -91 117 
433 addClause -49 27 143 
434 addClause 83 -147 77 
435 addClause -14 -107 -118 
436 addClause -14 33 75 
437 addClause -136 -64 -74 
438 addClause -115 26 -46 
439 addClause -45 -6 -36 
440 addClause -87 53 -92 
441 addClause -49 -75 -66 
442 addClause -88 -16 -34 
443 addClause 134 19 -117 
444 addClause 135 132 -144 
445 addClause 137 -14 -42 
446 addClause -121 -53 -42 
447 addClause 91 143 66 
448 addClause -52 -15 -116 
449 addClause 125 74 -55 
450 addClause 12 -58 -98 
451 addClause 19 -77 -71 
452 addClause 109 -106 -114 
453 addClause 146 -60 56 
