1 init
2 using solver DefaultAutoErasePhaseSaving
3 Random Walk : 0.057685432056216235
4 DB simplification
5 addClause 51 16 -57 
6 addClause -57 28 -41 
7 addClause -40 -29 50 
8 addClause -50 -58 -38 
9 addClause 39 -52 -34 
10 addClause 30 -9 -12 
11 addClause -27 49 10 
12 addClause 47 -15 38 
13 addClause -47 -19 -43 
14 addClause 3 -27 10 
15 addClause -24 14 -50 
16 addClause 34 -53 -7 
17 addClause -31 7 47 
18 addClause 57 51 31 
19 addClause 55 -25 33 
20 addClause 36 55 37 
21 addClause -29 3 26 
22 addClause -28 -32 -13 
23 addClause -48 -37 -20 
24 addClause 46 9 -5 
25 addClause 15 -4 7 
26 addClause -53 -26 -45 
27 addClause 34 29 32 
28 addClause 38 39 34 
29 addClause -41 16 -42 
30 addClause 45 -7 26 
31 addClause -3 22 33 
32 addClause 50 35 -42 
33 addClause 35 -1 -2 
34 addClause 53 -23 56 
35 addClause 34 -51 -23 
36 addClause 16 46 -50 
37 addClause -16 -40 20 
38 addClause -50 -56 -7 
39 addClause 8 22 -14 
40 addClause -58 -26 -52 
41 addClause 50 -19 -46 
42 addClause 8 -40 -30 
43 addClause 38 53 13 
44 addClause 20 -17 -28 
45 addClause 19 25 56 
46 addClause 33 6 23 
47 addClause -19 23 44 
48 addClause -4 -12 55 
49 addClause -32 -50 -10 
50 addClause 37 -4 43 
51 addClause 16 -7 -20 
52 addClause 53 -44 49 
53 addClause 43 47 20 
54 addClause 44 -19 8 
55 addClause 39 -52 34 
56 addClause 48 40 1 
57 addClause -45 4 -17 
58 addClause -43 11 -13 
59 addClause -14 -27 -51 
60 addClause 40 -39 14 
61 addClause 1 5 -10 
62 addClause 18 32 -51 
63 addClause -16 41 38 
64 addClause 29 51 -45 
65 addClause 56 -4 54 
66 addClause 44 -54 21 
67 addClause -47 -41 -17 
68 addClause -33 34 -15 
69 addClause -41 5 -18 
70 addClause 10 -41 49 
71 addClause 45 10 -19 
72 addClause -6 -33 -11 
73 addClause 42 -23 19 
74 addClause -50 29 12 
75 addClause 42 6 37 
76 addClause 34 -24 -35 
77 addClause 32 52 47 
78 addClause 10 -12 18 
79 addClause -19 35 -46 
80 addClause -22 -19 13 
81 addClause 17 -15 -47 
82 addClause 25 -35 -49 
83 addClause 36 29 2 
84 addClause 2 35 46 
85 addClause -11 -32 2 
86 addClause -58 -43 6 
87 addClause -4 -41 -54 
88 addClause -7 55 54 
89 addClause -13 19 51 
90 addClause -21 19 -49 
91 addClause 22 56 25 
92 addClause 55 -9 36 
93 addClause -8 -25 35 
94 addClause -1 1 19 
95 addClause 8 37 46 
96 addClause -54 -8 -9 
97 addClause 20 -6 -58 
98 addClause -52 53 -24 
99 addClause 31 -14 14 
100 addClause -51 -58 38 
101 addClause 43 46 -17 
102 addClause 17 -51 -8 
103 addClause 41 -46 48 
104 addClause -27 -22 38 
105 addClause 29 15 16 
106 addClause -24 -17 -26 
107 addClause 21 -14 30 
