1 init
2 Data Structure Factory : MixedDataStructureDanielWLConciseBinary
3 Order : VarOrderHeap/varDecay=0.8895767659650441
4 Phase Selection Strategy : UserFixedPhaseSelectionStrategy
5 Learning Strategy : MiniSATLearning
6 Restart Strategy : Glucose21Restarts
7 Simplification Type : expensiveSimplification
8 Search Params : varDecay=0.9589438919415262/claDecay=1.105099655621117/conflictBoundIncFactor=2.789029952948977/initConflictBound=923
9 Learned Constraints Evaluation Type : LBD2
10 Random Walk : 0.4370378152030453
11 DBS simplification
12 addClause 20 -43 1 
13 addClause -72 22 -16 
14 addClause -160 115 134 
15 addClause 74 -7 141 
16 addClause -141 78 97 
17 addClause 122 -109 -29 
18 addClause -17 20 144 
19 addClause -74 36 -165 
20 addClause 12 162 21 
21 addClause -90 -13 -101 
22 addClause 118 135 108 
23 addClause 75 -27 45 
24 addClause 123 68 96 
25 addClause -61 54 -124 
26 addClause 132 70 -62 
27 addClause -122 -156 51 
28 addClause 9 68 -158 
29 addClause 31 -166 58 
30 addClause -19 165 -121 
31 addClause -73 -168 -158 
32 addClause -163 -63 99 
33 addClause 86 55 -11 
34 addClause 102 80 58 
35 addClause -154 -82 148 
36 addClause -166 11 -137 
37 addClause 65 -61 26 
38 addClause 28 -3 76 
39 addClause -65 112 52 
40 addClause -17 -165 96 
41 addClause 4 -116 -86 
42 addClause 161 -76 -126 
43 addClause -3 38 158 
44 addClause -106 -74 59 
45 addClause 55 34 -13 
46 addClause -31 -48 -83 
47 addClause 129 37 117 
48 addClause -29 97 63 
49 addClause -77 113 24 
50 addClause -124 166 -145 
51 addClause 49 137 143 
52 addClause -54 93 117 
53 addClause -27 -19 91 
54 addClause 81 -45 155 
55 addClause 34 -82 -129 
56 addClause 156 -54 -141 
57 addClause -21 -30 27 
58 addClause 162 4 -26 
59 addClause -146 166 24 
60 addClause 52 127 -116 
61 addClause 69 -16 -28 
62 addClause 42 -4 3 
63 addClause 7 -64 148 
64 addClause -154 -129 90 
65 addClause -166 137 -83 
66 addClause 159 -122 -111 
67 addClause -46 25 10 
68 addClause -100 -162 -79 
69 addClause -125 2 19 
70 addClause -106 -62 -102 
71 addClause 152 26 84 
72 addClause -42 -134 25 
73 addClause 13 92 140 
74 addClause 23 -108 -31 
75 addClause -49 133 -88 
76 addClause -76 -36 -48 
77 addClause -16 -75 -66 
78 addClause -74 -161 32 
79 addClause -18 -43 22 
80 addClause 58 38 98 
81 addClause 100 7 70 
82 addClause 99 -71 -123 
83 addClause 5 74 -104 
84 addClause -152 -65 -66 
85 addClause -6 19 125 
86 addClause 71 -128 -96 
87 addClause 3 166 64 
88 addClause 92 -158 -65 
89 addClause -16 50 -162 
90 addClause -156 33 2 
91 addClause -55 63 -77 
92 addClause 62 78 -69 
93 addClause 134 -159 -54 
94 addClause 31 92 -11 
95 addClause 25 11 62 
96 addClause -129 3 118 
97 addClause 80 21 -91 
98 addClause -21 -70 -126 
99 addClause 87 97 -27 
100 addClause -62 160 136 
101 addClause -146 -14 48 
102 addClause 97 -28 35 
103 addClause 38 -128 -82 
104 addClause 94 -161 -38 
105 addClause -52 -31 -116 
106 addClause 104 -120 40 
107 addClause -34 -2 -168 
108 addClause 118 -143 -139 
109 addClause -124 34 98 
110 addClause -28 110 15 
111 addClause -34 126 163 
112 addClause -44 -135 -12 
113 addClause 92 -6 -24 
114 addClause -5 -63 -76 
115 addClause 11 56 11 
116 addClause 8 -37 -88 
117 addClause -44 -21 43 
118 addClause 157 14 28 
119 addClause -130 -30 28 
120 addClause 38 21 31 
121 addClause 17 25 -29 
122 addClause -104 19 -126 
123 addClause 79 48 59 
124 addClause -73 37 27 
125 addClause 157 -129 -86 
126 addClause 27 -98 153 
127 addClause -67 -138 30 
128 addClause 159 102 116 
129 addClause -168 -97 133 
130 addClause -136 50 99 
131 addClause 69 129 131 
132 addClause 17 -118 164 
133 addClause 34 -11 167 
134 addClause -123 45 112 
135 addClause -125 117 101 
136 addClause 125 134 -7 
137 addClause -106 -52 -163 
138 addClause 82 -124 45 
139 addClause 29 -2 -80 
140 addClause -134 84 -37 
141 addClause 27 -111 -86 
142 addClause -29 66 -131 
143 addClause 39 -55 -25 
144 addClause 144 95 -162 
145 addClause 16 -129 72 
146 addClause 15 88 26 
147 addClause 12 15 -44 
148 addClause -106 -134 -3 
149 addClause -64 25 -74 
150 addClause -78 136 -126 
151 addClause -127 -135 67 
152 addClause -110 35 75 
153 addClause 73 -149 149 
154 addClause 118 -155 67 
155 addClause -133 41 -91 
156 addClause -28 -146 -1 
157 addClause -18 -44 104 
158 addClause 21 93 109 
159 addClause -56 25 104 
160 addClause -168 -58 -110 
161 addClause 35 -118 33 
162 addClause -26 -1 -85 
163 addClause -109 -68 29 
164 addClause 46 -106 95 
165 addClause -48 146 -145 
166 addClause 139 -129 -155 
167 addClause -39 -121 106 
168 addClause 80 -19 31 
169 addClause 148 -93 -99 
170 addClause 124 127 -3 
171 addClause -32 162 -138 
172 addClause 39 -121 55 
173 addClause 19 30 -98 
174 addClause -117 -111 60 
175 addClause 79 152 43 
176 addClause -46 144 55 
177 addClause -29 -140 28 
178 addClause 12 -32 -143 
179 addClause 143 -16 -162 
180 addClause -3 107 137 
181 addClause 25 -147 -8 
182 addClause -120 68 78 
183 addClause -151 -82 51 
184 addClause -94 -151 28 
185 addClause 26 -8 51 
186 addClause 22 -68 -121 
187 addClause -143 18 -123 
188 addClause -42 -147 -93 
189 addClause -109 -5 -61 
190 addClause -35 31 -33 
191 addClause 135 -140 106 
192 addClause 43 -45 -10 
193 addClause -14 113 89 
194 addClause -63 4 -168 
195 addClause -41 98 11 
196 addClause 37 152 -5 
197 addClause -106 -45 -10 
198 addClause 16 -88 48 
199 addClause -114 47 25 
200 addClause 115 12 89 
201 addClause 106 157 -91 
202 addClause -79 150 -53 
203 addClause 68 -128 67 
204 addClause -75 108 -109 
205 addClause -168 -57 44 
206 addClause 50 89 -39 
207 addClause 128 -115 125 
208 addClause -132 36 -155 
209 addClause -111 -156 -157 
210 addClause -140 21 29 
211 addClause -130 42 -156 
212 addClause 107 -71 133 
213 addClause 145 66 111 
214 addClause 92 -68 -98 
215 addClause -91 40 164 
216 addClause -160 -132 143 
217 addClause 135 -90 -16 
218 addClause -81 165 118 
219 addClause -66 -92 -13 
220 addClause 23 50 -58 
221 addClause 59 155 62 
222 addClause 146 144 -3 
223 addClause 102 130 31 
224 addClause 83 104 -116 
225 addClause -47 -128 -102 
226 addClause 4 -163 -71 
227 addClause 108 -145 122 
228 addClause 33 -84 -43 
229 addClause -110 -140 -24 
230 addClause -46 -157 -164 
231 addClause 13 -119 79 
232 addClause 19 127 -155 
233 addClause -141 -90 146 
234 addClause 142 164 99 
235 addClause -44 84 85 
236 addClause 31 109 -69 
237 addClause -139 -139 47 
238 addClause 148 -26 -82 
239 addClause 136 19 40 
240 addClause 42 -58 66 
241 addClause -156 153 -38 
242 addClause -31 117 -151 
243 addClause -91 -120 -112 
244 addClause 140 15 -164 
245 addClause 68 69 166 
246 addClause -87 156 126 
247 addClause -61 146 34 
248 addClause 57 41 146 
249 addClause 78 -30 -121 
250 addClause 62 -69 109 
251 addClause 125 153 -6 
252 addClause -159 -117 -77 
253 addClause -15 64 -28 
254 addClause -145 123 -158 
255 addClause 145 -144 -93 
256 addClause -83 2 159 
257 addClause 59 -61 -16 
258 addClause -132 166 -152 
259 addClause 110 -2 86 
260 addClause -145 142 40 
261 addClause 127 -32 -112 
262 addClause 123 -5 119 
263 addClause 116 -126 103 
264 addClause 44 -31 158 
265 addClause -22 -149 78 
266 addClause 94 149 144 
267 addClause -115 -150 22 
268 addClause -47 152 156 
269 addClause 39 151 -13 
270 addClause -4 -45 -71 
271 addClause -143 -89 -151 
272 addClause -73 115 123 
273 addClause 121 97 155 
274 addClause -46 91 146 
275 addClause -2 8 127 
276 addClause 60 -40 -6 
277 addClause 158 97 74 
278 addClause 45 -112 -117 
279 addClause -18 72 -89 
280 addClause 89 11 -64 
281 addClause -167 -58 -124 
282 addClause 94 139 -105 
283 addClause -86 78 -56 
284 addClause 145 -126 -121 
285 addClause -63 -91 -142 
286 addClause 18 126 42 
287 addClause 100 153 162 
288 addClause -123 125 125 
289 addClause 29 166 87 
290 addClause -93 44 -94 
291 addClause 106 93 139 
292 addClause -119 90 145 
293 addClause -70 36 -6 
294 addClause 72 -147 93 
295 addClause -82 37 -35 
296 addClause 58 -82 -33 
297 addClause -20 103 86 
298 addClause -19 6 -113 
299 addClause 138 46 66 
300 addClause 167 103 -30 
301 addClause 104 -89 133 
302 addClause 40 -3 69 
303 addClause -167 -108 122 
304 addClause 96 38 140 
305 addClause -117 -57 -141 
306 addClause -128 -13 -92 
307 addClause -56 -76 -84 
308 addClause 88 -30 92 
309 addClause 124 -141 86 
310 addClause -45 83 16 
311 addClause -14 -9 161 
312 addClause -53 -33 -12 
313 addClause 165 -160 19 
314 addClause -165 15 97 
315 addClause 99 143 -153 
316 addClause 36 69 -67 
317 addClause -9 39 131 
318 addClause -27 -61 97 
319 addClause -101 137 41 
320 addClause 166 -44 -143 
321 addClause 163 -106 28 
322 addClause -24 26 2 
323 addClause 156 38 -76 
324 addClause 28 77 155 
325 addClause 14 -117 35 
326 addClause -139 100 8 
327 addClause -9 -66 -51 
328 addClause 104 -13 166 
329 addClause 37 -26 87 
330 addClause -88 -158 -37 
331 addClause 152 -53 -137 
332 addClause -3 88 71 
333 addClause 70 17 -95 
334 addClause 50 64 143 
335 addClause -166 -9 137 
336 addClause 113 -148 49 
337 addClause 151 39 142 
338 addClause 121 41 -150 
339 addClause -83 -54 -107 
340 addClause 138 -56 -67 
341 addClause -103 135 -25 
342 addClause 38 66 -87 
343 addClause -149 -134 155 
344 addClause 92 48 11 
345 addClause -99 155 -128 
346 addClause -78 -11 -9 
347 addClause -63 -40 -28 
348 addClause 53 62 -127 
349 addClause 64 82 -92 
350 addClause -154 -121 147 
