1 init
2 Order : PureOrder/period=22
3 Restart Strategy : ArminRestarts
4 Simplification Type : expensiveSimplification
5 addClause 55 136 -130 
6 addClause 18 94 25 
7 addClause 44 48 -9 
8 addClause 79 -63 2 
9 addClause 28 13 42 
10 addClause -137 -91 -28 
11 addClause -40 109 -127 
12 addClause -20 -98 104 
13 addClause -56 -27 -94 
14 addClause 123 87 -155 
15 addClause -59 129 24 
16 addClause 58 -119 100 
17 addClause -154 126 2 
18 addClause 26 -133 -15 
19 addClause 79 -115 92 
20 addClause -135 107 -109 
21 addClause 19 -105 -43 
22 addClause 64 113 -7 
23 addClause 33 138 48 
24 addClause 27 2 -46 
25 addClause -12 -28 108 
26 addClause -56 -112 128 
27 addClause 20 -102 84 
28 addClause -65 43 40 
29 addClause -36 -55 113 
30 addClause -137 -36 -92 
31 addClause 151 -15 96 
32 addClause 124 -59 -42 
33 addClause -88 77 -94 
34 addClause -103 -71 56 
35 addClause -79 -16 -74 
36 addClause 32 -72 153 
37 addClause -155 -144 -3 
38 addClause -106 -104 97 
39 addClause 77 -114 71 
40 addClause 94 119 -46 
41 addClause -138 125 -69 
42 addClause 135 -141 -9 
43 addClause -58 6 14 
44 addClause 86 64 84 
45 addClause 139 -156 -26 
46 addClause -88 -123 137 
47 addClause 24 -130 51 
48 addClause -78 143 24 
49 addClause 117 84 45 
50 addClause 100 125 -7 
51 addClause -120 113 -60 
52 addClause -111 -68 -53 
53 addClause -22 -124 86 
54 addClause 15 -87 -67 
55 addClause 47 26 -73 
56 addClause 104 37 -71 
57 addClause 114 -111 -105 
58 addClause 95 -63 18 
59 addClause 130 121 4 
60 addClause -140 -55 -11 
61 addClause -145 -139 138 
62 addClause 64 2 -135 
63 addClause -97 -18 -123 
64 addClause -124 20 136 
65 addClause 91 148 -144 
66 addClause 127 -112 -110 
67 addClause -50 -152 120 
68 addClause 99 79 -155 
69 addClause -10 -122 21 
70 addClause 20 21 -136 
71 addClause -2 72 -41 
72 addClause -117 43 13 
73 addClause -81 -83 100 
74 addClause -102 53 45 
75 addClause -101 55 77 
76 addClause 136 -143 -90 
77 addClause 84 65 96 
78 addClause 94 -23 -64 
79 addClause 103 -87 -132 
80 addClause -31 35 16 
81 addClause 134 -91 -112 
82 addClause 133 -36 54 
83 addClause 68 141 -31 
84 addClause 35 -116 -39 
85 addClause 94 -69 70 
86 addClause -71 -23 -113 
87 addClause 66 97 112 
88 addClause 48 13 8 
89 addClause 88 -112 27 
90 addClause -53 -130 -148 
91 addClause 72 129 33 
92 addClause 39 -20 135 
93 addClause -14 -102 121 
94 addClause 92 -118 -10 
95 addClause -86 -42 118 
96 addClause -68 73 3 
97 addClause -47 -12 117 
98 addClause 28 -137 -21 
99 addClause -33 -116 33 
100 addClause 40 111 -114 
101 addClause 73 60 32 
102 addClause -76 92 97 
103 addClause 60 -28 23 
104 addClause -117 21 -43 
105 addClause -9 92 50 
106 addClause -17 145 100 
107 addClause 2 96 -22 
108 addClause 53 95 -149 
109 addClause 61 -52 146 
110 addClause -20 39 -21 
111 addClause 16 110 56 
112 addClause 44 -114 53 
113 addClause -15 104 142 
114 addClause 87 148 150 
115 addClause 85 -92 20 
116 addClause 7 8 119 
117 addClause -102 109 -109 
118 addClause -147 -127 -108 
119 addClause 21 67 47 
120 addClause -63 28 -4 
121 addClause -88 -9 -80 
122 addClause -65 16 80 
123 addClause 87 -41 -83 
124 addClause 152 -36 -44 
125 addClause 135 -2 149 
126 addClause -106 13 76 
127 addClause -24 -22 -27 
128 addClause 69 -56 -26 
