1 init
2 Phase Selection Strategy : UserFixedPhaseSelectionStrategy
3 Learning Strategy : ActiveLearning/percent=0.9023273851547625
4 Restart Strategy : Glucose21Restarts
5 Search Params : varDecay=0.956112735251619/claDecay=1.2151138726879265/conflictBoundIncFactor=0.8083746944683149/initConflictBound=607
6 Learned Constraints Evaluation Type : ACTIVITY
7 addClause 27 -75 -157 
8 addClause 33 179 154 
9 addClause 26 79 -88 
10 addClause 89 155 40 
11 addClause 48 -22 -56 
12 addClause 140 18 -155 
13 addClause 84 -157 -160 
14 addClause -82 -60 77 
15 addClause 172 -100 -198 
16 addClause -63 -149 12 
17 addClause 23 -72 -52 
18 addClause 157 -19 -21 
19 addClause -120 22 -28 
20 addClause -40 -160 -159 
21 addClause -57 184 -127 
22 addClause -83 -195 -50 
23 addClause 54 21 -33 
24 addClause 119 159 -53 
25 addClause -195 115 -12 
26 addClause -26 190 32 
27 addClause -182 125 -154 
28 addClause 155 102 -176 
29 addClause 118 168 -85 
30 addClause -181 85 168 
31 addClause 57 99 -72 
32 addClause -89 181 -191 
33 addClause 51 24 36 
34 addClause 183 -121 -111 
35 addClause 62 99 5 
36 addClause -13 179 -41 
37 addClause 188 17 26 
38 addClause 141 152 186 
39 addClause -22 -159 74 
40 addClause 13 83 163 
41 addClause 47 -14 79 
42 addClause -20 129 138 
43 addClause 107 4 -21 
44 addClause 185 -43 178 
45 addClause 51 -199 -6 
46 addClause 47 150 6 
47 addClause 127 -15 -192 
48 addClause 55 81 9 
49 addClause -131 -8 156 
50 addClause -165 7 142 
51 addClause -170 89 72 
52 addClause 51 45 172 
53 addClause -58 -132 60 
54 addClause 73 -172 118 
55 addClause 158 -100 50 
56 addClause -174 -3 8 
57 addClause -101 -96 -42 
58 addClause -67 143 45 
59 addClause -91 -191 -55 
60 addClause 175 155 -102 
61 addClause 134 -90 -197 
62 addClause -114 55 13 
63 addClause 137 120 -90 
64 addClause 167 193 99 
65 addClause -10 50 163 
66 addClause 32 -40 -45 
67 addClause -63 -104 -14 
68 addClause -94 -198 -138 
69 addClause -122 123 101 
70 addClause -141 -32 173 
71 addClause 81 15 -28 
72 addClause -46 192 -51 
73 addClause -31 -179 -125 
74 addClause 83 46 -110 
75 addClause 114 182 -145 
76 addClause 86 119 19 
77 addClause -111 -102 131 
78 addClause 122 -63 23 
79 addClause 4 121 108 
80 addClause -91 -150 84 
81 addClause 20 7 -135 
82 addClause 114 -99 -21 
83 addClause -71 144 193 
84 addClause -28 86 183 
85 addClause -58 -83 46 
86 addClause 65 130 178 
87 addClause -4 189 39 
88 addClause 29 2 -136 
89 addClause -39 34 -120 
90 addClause 189 148 -4 
91 addClause 184 12 -4 
92 addClause -79 51 17 
93 addClause -140 69 136 
94 addClause -129 -152 -184 
95 addClause 32 -8 -111 
96 addClause -21 34 -20 
97 addClause -54 -157 -10 
98 addClause 167 -91 -108 
99 addClause 104 106 160 
100 addClause 70 110 -92 
101 addClause 106 28 9 
102 addClause 121 -192 -154 
103 addClause 192 -185 182 
104 addClause -177 141 47 
105 addClause -105 89 -123 
106 addClause 1 76 -84 
107 addClause -26 171 63 
108 addClause -105 71 7 
109 addClause -90 -160 -10 
110 addClause -48 -167 68 
111 addClause 42 98 -142 
112 addClause -22 183 188 
113 addClause -59 -174 -41 
114 addClause -178 -136 165 
115 addClause -157 -160 -102 
116 addClause -141 109 -150 
117 addClause 9 -115 62 
118 addClause -24 73 -3 
119 addClause -159 -117 81 
120 addClause 177 -58 73 
121 addClause 38 4 -38 
122 addClause -34 -94 117 
123 addClause -4 70 -151 
124 addClause -151 -29 -22 
125 addClause 8 58 143 
126 addClause 122 -108 -70 
127 addClause -50 129 -166 
128 addClause 93 -20 152 
129 addClause 46 -164 -40 
130 addClause -190 156 -194 
131 addClause 52 8 169 
132 addClause 37 -118 96 
133 addClause 29 96 34 
134 addClause 101 -73 -128 
135 addClause 162 59 14 
136 addClause -107 27 -159 
137 addClause 78 33 76 
138 addClause 88 -12 84 
139 addClause 163 -107 -184 
140 addClause -186 -98 26 
141 addClause -63 -86 -149 
142 addClause -106 -77 71 
143 addClause 44 -193 -78 
144 addClause 77 -134 -97 
145 addClause 172 85 -166 
146 addClause 27 -81 11 
147 addClause -27 162 63 
148 addClause -28 168 107 
149 addClause 30 165 93 
150 addClause -76 6 -41 
151 addClause -48 -78 -3 
152 addClause 67 -162 -131 
153 addClause 82 -58 -195 
154 addClause -170 167 99 
155 addClause 102 141 53 
156 addClause 137 32 -145 
157 addClause -133 -1 159 
158 addClause 104 116 87 
159 addClause 54 -98 -78 
160 addClause 61 152 38 
161 addClause -8 134 -74 
162 addClause -142 128 -168 
163 addClause -84 -34 -75 
164 addClause -54 52 -133 
165 addClause -92 21 197 
166 addClause 14 -106 117 
167 addClause 6 -123 129 
168 addClause -82 -161 31 
169 addClause 26 114 35 
170 addClause -170 -56 96 
171 addClause -98 -123 128 
172 addClause -137 16 -114 
173 addClause 129 164 -113 
